,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,310.5899999999593,-0.026027548233288567,1.0,-0.049999999999998934,0.24102879659503218,1.3203222330850137,1749058844,,False,1,f4cb3_00000,2025-06-04_18-40-44,32.028738260269165,32.028738260269165,3791122,cnl-brain9,155.198.99.250,32.028738260269165,1,0.05,f4cb3_00000
1,1.0,1.0,141.9300000000046,-0.023777716851482555,1.0,-0.049999999999998934,0.2686089952149304,1.8890243301920178,1749058836,,False,1,f4cb3_00001,2025-06-04_18-40-36,23.9717538356781,23.9717538356781,3791123,cnl-brain9,155.198.99.250,23.9717538356781,1,0.0675,f4cb3_00001
2,1.0,1.0,113.01000000000352,-0.019037999440773667,1.0,-0.049999999999998934,0.2899745161000453,2.0037336370626044,1749058833,,False,1,f4cb3_00002,2025-06-04_18-40-33,21.128219604492188,21.128219604492188,3791124,cnl-brain9,155.198.99.250,21.128219604492188,1,0.085,f4cb3_00002
3,1.0,1.0,93.9900000000028,-0.01868586542569517,1.25,-0.049999999999998934,0.31623635292957,1.9541602727190917,1749058830,,False,1,f4cb3_00003,2025-06-04_18-40-30,18.010786294937134,18.010786294937134,3791126,cnl-brain9,155.198.99.250,18.010786294937134,1,0.10250000000000001,f4cb3_00003
4,1.0,1.0,80.55000000000229,-0.013070398735279376,1.25,-0.049999999999998934,0.3388722207992756,1.7570013809708576,1749058828,,False,1,f4cb3_00004,2025-06-04_18-40-28,15.897565364837646,15.897565364837646,3791130,cnl-brain9,155.198.99.250,15.897565364837646,1,0.12000000000000001,f4cb3_00004
5,1.0,1.0,70.4700000000019,-0.010638344613226103,1.0,-0.049999999999998934,0.3609933762811015,1.6284395207290938,1749058825,,False,1,f4cb3_00005,2025-06-04_18-40-25,13.078911542892456,13.078911542892456,3791129,cnl-brain9,155.198.99.250,13.078911542892456,1,0.1375,f4cb3_00005
6,1.0,1.0,62.61000000000161,-0.011178453847096925,1.25,-0.049999999999998934,0.38274568980275303,1.5549267137181495,1749058827,,False,1,f4cb3_00006,2025-06-04_18-40-27,14.726986169815063,14.726986169815063,3791128,cnl-brain9,155.198.99.250,14.726986169815063,1,0.15500000000000003,f4cb3_00006
7,1.0,1.0,56.46000000000138,-0.008028333635854423,1.25,-0.049999999999998934,0.4049206915850978,1.4577886102927626,1749058826,,False,1,f4cb3_00007,2025-06-04_18-40-26,13.096000909805298,13.096000909805298,3791127,cnl-brain9,155.198.99.250,13.096000909805298,1,0.17250000000000001,f4cb3_00007
8,1.0,1.0,51.42000000000119,-0.00617498318257903,1.25,-0.049999999999998934,0.4325278522948284,1.3908235078393971,1749058823,,False,1,f4cb3_00008,2025-06-04_18-40-23,10.953526020050049,10.953526020050049,3792524,cnl-brain9,155.198.99.250,10.953526020050049,1,0.19,f4cb3_00008
9,1.0,1.0,47.16000000000103,-0.0016633690112337618,1.25,-0.049999999999998934,0.45716112385341257,1.3177978862657562,1749058823,,False,1,f4cb3_00009,2025-06-04_18-40-23,10.098306655883789,10.098306655883789,3792528,cnl-brain9,155.198.99.250,10.098306655883789,1,0.20750000000000002,f4cb3_00009
10,1.0,1.0,43.650000000000894,-0.0008122818824110034,1.25,-0.049999999999998934,0.4814502932111102,1.2812463369313203,1749058823,,False,1,f4cb3_00010,2025-06-04_18-40-23,10.744389533996582,10.744389533996582,3792529,cnl-brain9,155.198.99.250,10.744389533996582,1,0.22500000000000003,f4cb3_00010
11,1.0,1.0,40.56000000000078,-0.000645200918867328,1.25,-0.049999999999998934,0.5030350028979953,1.25422137197986,1749058823,,False,1,f4cb3_00011,2025-06-04_18-40-23,10.693472623825073,10.693472623825073,3792530,cnl-brain9,155.198.99.250,10.693472623825073,1,0.2425,f4cb3_00011
12,1.0,1.0,37.95000000000068,0.0043441722435075825,1.25,-0.049999999999998934,0.5268681992320343,1.2076094505660864,1749058821,,False,1,f4cb3_00012,2025-06-04_18-40-21,8.234235048294067,8.234235048294067,3792531,cnl-brain9,155.198.99.250,8.234235048294067,1,0.26,f4cb3_00012
13,1.0,1.0,35.61000000000059,0.004122152635127829,1.25,-0.049999999999998934,0.5474123954097929,1.191566081838856,1749058820,,False,1,f4cb3_00013,2025-06-04_18-40-20,7.771882772445679,7.771882772445679,3792556,cnl-brain9,155.198.99.250,7.771882772445679,1,0.2775,f4cb3_00013
14,2.0,1.0,33.660000000000515,0.006149803577002899,1.25,-0.049999999999998934,0.5707971151713283,1.2453922152639212,1749058820,,False,1,f4cb3_00014,2025-06-04_18-40-20,7.3240721225738525,7.3240721225738525,3792572,cnl-brain9,155.198.99.250,7.3240721225738525,1,0.29500000000000004,f4cb3_00014
