,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,157.5900000000052,-0.01959766531175866,1.0,-0.049999999999998934,0.28122037542515255,2.558619362443872,1759200139,,False,1,f9692_00000,2025-09-30_03-42-19,42.89513278007507,42.89513278007507,3988274,cnl-brain9,155.198.99.250,42.89513278007507,1,0.05,f9692_00000
1,1.0,1.0,136.2000000000044,-0.014753587809633206,1.25,-0.049999999999998934,0.3656372061994766,1.5403439739517524,1759200133,,False,1,f9692_00001,2025-09-30_03-42-13,37.487624406814575,37.487624406814575,3988337,cnl-brain9,155.198.99.250,37.487624406814575,1,0.0625,f9692_00001
2,1.0,1.0,108.06000000000333,-0.025737648195514495,1.25,-0.049999999999998934,0.2993620389639733,2.7975286774468024,1759200130,,False,1,f9692_00002,2025-09-30_03-42-10,33.68948268890381,33.68948268890381,3988439,cnl-brain9,155.198.99.250,33.68948268890381,1,0.07500000000000001,f9692_00002
3,1.0,1.0,107.4600000000033,-0.028747521029939715,1.25,-0.049999999999998934,0.27742517634728525,1.66839455604515,1759200125,,False,1,f9692_00003,2025-09-30_03-42-05,28.628658056259155,28.628658056259155,3988470,cnl-brain9,155.198.99.250,28.628658056259155,1,0.08750000000000001,f9692_00003
4,1.0,1.0,103.20000000000314,-0.027617889040238097,1.25,-0.049999999999998934,0.3082615729257574,2.2373777895857945,1759200126,,False,1,f9692_00004,2025-09-30_03-42-06,29.620808601379395,29.620808601379395,3988893,cnl-brain9,155.198.99.250,29.620808601379395,1,0.1,f9692_00004
5,1.0,1.0,84.21000000000242,-0.01690465863667212,1.0,-0.049999999999998934,0.30358238924686454,1.2747316174531615,1759200119,,False,1,f9692_00005,2025-09-30_03-41-59,23.447615385055542,23.447615385055542,3988892,cnl-brain9,155.198.99.250,23.447615385055542,1,0.1125,f9692_00005
6,1.0,1.0,73.68000000000202,-0.006056658982939833,1.25,-0.049999999999998934,0.39862446605910096,1.1658483633252656,1759200117,,False,1,f9692_00006,2025-09-30_03-41-57,21.432462215423584,21.432462215423584,3988891,cnl-brain9,155.198.99.250,21.432462215423584,1,0.125,f9692_00006
7,1.0,1.0,72.900000000002,-0.005954572525484814,1.25,-0.049999999999998934,0.4065607081884295,1.753507239827649,1759200118,,False,1,f9692_00007,2025-09-30_03-41-58,21.473728895187378,21.473728895187378,3988890,cnl-brain9,155.198.99.250,21.473728895187378,1,0.1375,f9692_00007
8,1.0,1.0,63.63000000000165,0.0020401160644549776,1.25,-0.049999999999998934,0.5303505860865676,1.402064575534735,1759200115,,False,1,f9692_00008,2025-09-30_03-41-55,19.4638352394104,19.4638352394104,3988894,cnl-brain9,155.198.99.250,19.4638352394104,1,0.15000000000000002,f9692_00008
9,1.0,1.0,61.380000000001566,-0.01903590889272122,1.25,-0.049999999999998934,0.37808298163293363,1.526927250277782,1759200115,,False,1,f9692_00009,2025-09-30_03-41-55,18.497499704360962,18.497499704360962,3988895,cnl-brain9,155.198.99.250,18.497499704360962,1,0.1625,f9692_00009
10,1.0,1.0,57.81000000000143,-0.014569153238994215,1.25,-0.049999999999998934,0.35031464970715787,1.6548170531932012,1759200111,,False,1,f9692_00010,2025-09-30_03-41-51,14.792914152145386,14.792914152145386,3988896,cnl-brain9,155.198.99.250,14.792914152145386,1,0.175,f9692_00010
11,1.0,1.0,53.91000000000128,0.0017264518227557701,1.25,-0.049999999999998934,0.5755748016331168,1.261604896403187,1759200113,,False,1,f9692_00011,2025-09-30_03-41-53,17.17653465270996,17.17653465270996,3988897,cnl-brain9,155.198.99.250,17.17653465270996,1,0.1875,f9692_00011
12,1.0,1.0,48.24000000000107,-0.004708563790683407,1.25,-0.049999999999998934,0.4481987798978242,1.3925780383626403,1759200109,,False,1,f9692_00012,2025-09-30_03-41-49,13.142776250839233,13.142776250839233,3988898,cnl-brain9,155.198.99.250,13.142776250839233,1,0.2,f9692_00012
13,1.0,1.0,45.48000000000096,-0.004733005597060469,1.25,-0.049999999999998934,0.4074856501846025,1.361685683756091,1759200110,,False,1,f9692_00013,2025-09-30_03-41-50,13.502674341201782,13.502674341201782,3988899,cnl-brain9,155.198.99.250,13.502674341201782,1,0.21250000000000002,f9692_00013
14,1.0,1.0,42.48000000000085,0.011911185093587573,1.25,-0.049999999999998934,0.5716266588338792,1.1985879874692205,1759200108,,False,1,f9692_00014,2025-09-30_03-41-48,12.066319704055786,12.066319704055786,3988900,cnl-brain9,155.198.99.250,12.066319704055786,1,0.22500000000000003,f9692_00014
15,1.0,1.0,42.360000000000845,0.01316574605636589,1.25,0.05000000000000071,0.6091323611377075,1.1368551938094753,1759200109,,False,1,f9692_00015,2025-09-30_03-41-49,12.718064308166504,12.718064308166504,3988901,cnl-brain9,155.198.99.250,12.718064308166504,1,0.2375,f9692_00015
16,1.0,1.0,39.420000000000734,0.007978823985353767,1.25,-0.049999999999998934,0.6076590576391099,1.1773817921205292,1759200108,,False,1,f9692_00016,2025-09-30_03-41-48,11.38980507850647,11.38980507850647,3988902,cnl-brain9,155.198.99.250,11.38980507850647,1,0.25,f9692_00016
17,1.0,1.0,36.270000000000614,0.002881821912280369,1.25,-0.049999999999998934,0.5013160105932299,1.2565752499844822,1759200108,,False,1,f9692_00017,2025-09-30_03-41-48,11.178237438201904,11.178237438201904,3988903,cnl-brain9,155.198.99.250,11.178237438201904,1,0.2625,f9692_00017
18,1.0,1.0,34.980000000000565,0.007578613316596705,1.25,-0.049999999999998934,0.6376508010098796,1.106536613998018,1759200107,,False,1,f9692_00018,2025-09-30_03-41-47,10.955316305160522,10.955316305160522,3988904,cnl-brain9,155.198.99.250,10.955316305160522,1,0.275,f9692_00018
19,1.0,1.0,35.9100000000006,0.012415711832408416,1.25,-0.049999999999998934,0.5565705930141505,1.1466445142955488,1759200107,,False,1,f9692_00019,2025-09-30_03-41-47,11.137197971343994,11.137197971343994,3988905,cnl-brain9,155.198.99.250,11.137197971343994,1,0.28750000000000003,f9692_00019
20,1.0,1.0,33.45000000000051,0.012829280109264651,1.25,-0.049999999999998934,0.5661383043481836,1.135772590647392,1759200106,,False,1,f9692_00020,2025-09-30_03-41-46,10.175488710403442,10.175488710403442,3988906,cnl-brain9,155.198.99.250,10.175488710403442,1,0.3,f9692_00020
