,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_shift,logdir
0,2.0,2.0,41.43000000000081,0.006660343508651412,1.25,2.45,0.4377085409271242,1.9314406779427287,1759200177,,False,1,1f7ba_00000,2025-09-30_03-42-57,16.944834232330322,16.944834232330322,3997619,cnl-brain9,155.198.99.250,16.944834232330322,1,-3.6,1f7ba_00000
1,2.0,2.0,38.940000000000715,0.0030126522422655455,1.25,2.45,0.3883685917904032,1.5140188570004849,1759200177,,False,1,1f7ba_00001,2025-09-30_03-42-57,17.275402307510376,17.275402307510376,3997688,cnl-brain9,155.198.99.250,17.275402307510376,1,-3.5,1f7ba_00001
2,2.0,2.0,40.230000000000764,0.011705737301552777,1.25,2.5500000000000003,0.46509300948201027,1.202232002251977,1759200177,,False,1,1f7ba_00002,2025-09-30_03-42-57,17.265755653381348,17.265755653381348,3997724,cnl-brain9,155.198.99.250,17.265755653381348,1,-3.4,1f7ba_00002
3,2.0,2.0,40.14000000000076,0.01152792542778558,1.25,2.6500000000000004,0.5188811152041802,0.9854352583451916,1759200177,,False,1,1f7ba_00003,2025-09-30_03-42-57,17.492267608642578,17.492267608642578,3997741,cnl-brain9,155.198.99.250,17.492267608642578,1,-3.3,1f7ba_00003
4,2.0,2.0,38.6100000000007,0.0024447921079659984,1.25,2.7500000000000004,0.4598475893977798,0.9145272695816743,1759200177,,False,1,1f7ba_00004,2025-09-30_03-42-57,17.38503670692444,17.38503670692444,3997809,cnl-brain9,155.198.99.250,17.38503670692444,1,-3.2,1f7ba_00004
5,2.0,2.0,34.86000000000056,0.007383439320558072,1.25,-0.049999999999998934,0.521248378529882,1.2754246306669021,1759200177,,False,1,1f7ba_00005,2025-09-30_03-42-57,17.56916570663452,17.56916570663452,3997808,cnl-brain9,155.198.99.250,17.56916570663452,1,-3.1,1f7ba_00005
6,2.0,2.0,38.97000000000072,0.0002818311380727856,1.25,-0.049999999999998934,0.4955027225720712,1.343179922078259,1759200177,,False,1,1f7ba_00006,2025-09-30_03-42-57,17.112770318984985,17.112770318984985,3997807,cnl-brain9,155.198.99.250,17.112770318984985,1,-3.0,1f7ba_00006
7,2.0,2.0,39.60000000000074,-0.005060952542873309,1.25,-0.049999999999998934,0.44691899741016083,1.267816385884643,1759200178,,False,1,1f7ba_00007,2025-09-30_03-42-58,18.199744701385498,18.199744701385498,3997806,cnl-brain9,155.198.99.250,18.199744701385498,1,-2.9,1f7ba_00007
8,2.0,2.0,39.12000000000072,0.01531733320395201,1.25,-2.8499999999999996,0.47713465016656165,0.9448240983924773,1759200178,,False,1,1f7ba_00008,2025-09-30_03-42-58,18.65694522857666,18.65694522857666,3997810,cnl-brain9,155.198.99.250,18.65694522857666,1,-2.8,1f7ba_00008
9,2.0,2.0,39.06000000000072,0.007576921589546259,1.25,-0.049999999999998934,0.5652059550082393,1.226030971485925,1759200178,,False,1,1f7ba_00009,2025-09-30_03-42-58,18.090633630752563,18.090633630752563,3997811,cnl-brain9,155.198.99.250,18.090633630752563,1,-2.7,1f7ba_00009
10,2.0,2.0,40.65000000000078,-0.0029077995836264137,1.25,-2.6499999999999995,0.40512839002910894,0.8711367245539786,1759200176,,False,1,1f7ba_00010,2025-09-30_03-42-56,16.514318227767944,16.514318227767944,3997812,cnl-brain9,155.198.99.250,16.514318227767944,1,-2.6,1f7ba_00010
11,2.0,2.0,39.87000000000075,0.003932424337076412,1.25,-0.049999999999998934,0.556041397378344,1.2378488044391918,1759200178,,False,1,1f7ba_00011,2025-09-30_03-42-58,17.730673789978027,17.730673789978027,3997813,cnl-brain9,155.198.99.250,17.730673789978027,1,-2.5,1f7ba_00011
12,2.0,2.0,38.4900000000007,-0.001681747388006638,1.25,-0.049999999999998934,0.4983771767045093,1.2501436643353006,1759200177,,False,1,1f7ba_00012,2025-09-30_03-42-57,17.422682523727417,17.422682523727417,3997814,cnl-brain9,155.198.99.250,17.422682523727417,1,-2.4,1f7ba_00012
