,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,9.0,2.0,51.96,-0.02642590090939967,4.5,-0.049999999999998934,0.5169499729439888,2.074172865692466,1.1646864738125284,6.015685509208809,9.0,2.0,444.33,0.024052658424448037,11.5,0.05000000000000071,0.5602650177174557,0.7668550245052795,1.1636339309680956,7.5952807284866894,9.0,2.0,838.44,-0.024573086660699683,10.0,0.05000000000000071,0.5206134245782423,0.8152986344856328,1.1773209681393633,7.053814942420798,1776488428,,False,1,5af3d_00000,2026-04-18_06-00-28,67.67155027389526,67.67155027389526,1836552,cnl-brain9,155.198.99.250,67.67155027389526,1,0.1,0.2,0.5,5af3d_00000
1,9.0,2.0,54.72,0.04901939109530984,9.25,-0.049999999999998934,0.5717159691839324,1.7066763740838875,1.1624401495946175,6.0219854061136875,9.0,2.0,445.74,-0.0026348770287496492,5.25,0.05000000000000071,0.6627987687174048,0.8085516848585219,1.143999399642778,6.576184156006725,9.0,2.0,837.51,-0.029624916392744005,10.5,0.05000000000000071,0.5787355108623897,0.8941962949501832,1.1651941864745279,7.309412566915713,1776488428,,False,1,5af3d_00001,2026-04-18_06-00-28,67.23142051696777,67.23142051696777,1836553,cnl-brain9,155.198.99.250,67.23142051696777,1,0.1,0.25,0.5,5af3d_00001
2,9.0,2.0,50.82,0.00922539766787489,8.25,-0.049999999999998934,0.5292486255840818,1.7287229986534638,1.174952242549495,6.084402198254311,9.0,2.0,427.65,-0.03185909093906414,6.0,0.05000000000000071,0.5577990735110334,0.6608912215131153,1.15916405225576,7.028091477929219,9.0,2.0,822.42,-0.005791704881223936,8.25,0.05000000000000071,0.5795976998862047,0.7033370992225565,1.1646496373921138,6.715531851516897,1776488430,,False,1,5af3d_00002,2026-04-18_06-00-30,68.86590266227722,68.86590266227722,1836556,cnl-brain9,155.198.99.250,68.86590266227722,1,0.1,0.30000000000000004,0.5,5af3d_00002
3,9.0,2.0,56.55,0.039760421700233195,7.25,-0.049999999999998934,0.5332703644623149,2.206641385364112,1.1750237529350263,7.035866201973938,9.0,2.0,403.98,-0.0029351574891007814,6.75,0.05000000000000071,0.5759895303928975,0.9840370669199032,1.1950657470779478,6.920343599847674,9.0,2.0,803.37,-0.005448852955832084,4.75,0.05000000000000071,0.5717954181539926,0.863074652812278,1.1570960485352442,6.899150818450931,1776488429,,False,1,5af3d_00003,2026-04-18_06-00-29,68.07796597480774,68.07796597480774,1836555,cnl-brain9,155.198.99.250,68.07796597480774,1,0.1,0.35000000000000003,0.5,5af3d_00003
4,9.0,2.0,45.57,0.0034418888483580545,6.0,-0.049999999999998934,0.5621853656922449,2.0006667307925987,1.151380070793714,5.391974363571844,9.0,1.0,422.37,-0.010427424335777591,4.75,-0.049999999999998934,0.6335342949832792,1.002299396916585,1.1514244628898163,6.852518586729339,9.0,2.0,821.4,-0.05216482781371834,8.0,-0.049999999999998934,0.5663880699929971,1.053463953302543,1.177110625181565,6.874825687985809,1776488431,,False,1,5af3d_00004,2026-04-18_06-00-31,69.93224811553955,69.93224811553955,1836554,cnl-brain9,155.198.99.250,69.93224811553955,1,0.1,0.4,0.5,5af3d_00004
5,2.0,2.0,51.66,0.02286845325100506,1.0,-0.049999999999998934,0.5959074751807192,1.1769717466303022,0.7828449492340993,3.225155637987781,0.0,0.0,,,0.75,-0.049999999999998934,0.5959074751807192,1.1769717466303022,,3.8223456697636897,0.0,0.0,,,0.75,-0.049999999999998934,0.5959074751807192,1.1769717466303022,,3.81546853197709,1776488425,,False,1,5af3d_00005,2026-04-18_06-00-25,64.25346422195435,64.25346422195435,1836564,cnl-brain9,155.198.99.250,64.25346422195435,1,0.1,0.2,0.875,5af3d_00005
6,2.0,1.0,85.47,0.0456197393858333,1.25,-0.049999999999998934,0.6689925705099338,1.1904285397534637,0.7795564682178445,2.9753236362433872,1.0,1.0,603.39,-0.0528979463867687,1.0,-0.049999999999998934,0.7628042581569714,1.1531532698199127,0.8490193431048443,4.0724468085520735,0.0,0.0,,,0.75,-0.049999999999998934,0.7628042581569714,1.1531532698199127,,4.6748526347285875,1776488425,,False,1,5af3d_00006,2026-04-18_06-00-25,64.15252828598022,64.15252828598022,1836562,cnl-brain9,155.198.99.250,64.15252828598022,1,0.1,0.25,0.875,5af3d_00006
7,3.0,2.0,49.77,0.07018430342461013,1.25,-0.049999999999998934,0.5334109524146813,1.2162903896780657,0.849866065363418,4.4763226943787044,1.0,1.0,547.53,-0.011995613817222583,1.25,-0.049999999999998934,0.5410601091352163,1.1182408891477122,0.9540124933547255,5.622639553696636,0.0,0.0,,,0.5,-0.049999999999998934,0.5410601091352163,1.1182408891477122,,6.1503845603914655,1776488425,,False,1,5af3d_00007,2026-04-18_06-00-25,64.3993763923645,64.3993763923645,1836560,cnl-brain9,155.198.99.250,64.3993763923645,1,0.1,0.30000000000000004,0.875,5af3d_00007
8,3.0,2.0,49.8,0.0188166758270758,1.5,-0.049999999999998934,0.5812604715106406,1.2780607959870482,0.865686359226172,4.426258478582712,2.0,1.0,637.11,-0.05515272164146445,1.25,-0.049999999999998934,0.7228549768888484,1.18138599101045,1.0343864761455985,5.4087006841713245,0.0,0.0,,,0.75,-0.049999999999998934,0.7228549768888484,1.18138599101045,,6.060778851559857,1776488431,,False,1,5af3d_00008,2026-04-18_06-00-31,69.70118808746338,69.70118808746338,1836559,cnl-brain9,155.198.99.250,69.70118808746338,1,0.1,0.35000000000000003,0.875,5af3d_00008
9,3.0,1.0,48.45,0.045308866815529036,1.25,-0.049999999999998934,0.6920945094093631,1.0664479341930615,0.8622078859477961,4.4054506649547225,1.0,1.0,459.96,-0.05535631518918649,1.0,-0.049999999999998934,0.7754250568848748,1.060580891485385,0.9499645556742475,6.007215339677385,2.0,2.0,861.36,-0.06887837985112721,1.25,-0.049999999999998934,0.8765226526904364,1.0649332300839165,1.0695404983101262,6.3489704248898535,1776488428,,False,1,5af3d_00009,2026-04-18_06-00-28,67.55975818634033,67.55975818634033,1836558,cnl-brain9,155.198.99.250,67.55975818634033,1,0.1,0.4,0.875,5af3d_00009
