,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,2.0,1.0,45.84000000000098,0.008409000717301662,1.25,-0.049999999999998934,0.41867917949683076,1.1299500594822887,0.0,0.0,,,0.75,-0.049999999999998934,0.41867917949683076,1.1299500594822887,0.0,0.0,,,0.0,-0.049999999999998934,0.41867917949683076,1.1299500594822887,1759203824,,False,1,8b00c_00000,2025-09-30_04-43-44,49.833566188812256,49.833566188812256,4050591,cnl-brain9,155.198.99.250,49.833566188812256,1,0.12,0.2,0.8,8b00c_00000
1,2.0,1.0,152.61000000000502,0.0029744194045684402,1.5,-0.049999999999998934,0.5830913967333955,1.1062898545125357,1.0,1.0,441.68999999984004,-0.01134235427758945,1.0,0.05000000000000071,0.6405224409803445,1.0856031776498576,0.0,0.0,,,0.0,0.05000000000000071,0.6405224409803445,1.0856031776498576,1759203824,,False,1,8b00c_00001,2025-09-30_04-43-44,49.39098405838013,49.39098405838013,4050685,cnl-brain9,155.198.99.250,49.39098405838013,1,0.12,0.25,0.8,8b00c_00001
2,3.0,2.0,49.980000000001134,-0.015208776335834173,1.5,0.05000000000000071,0.652387501583942,1.4675044716447179,2.0,1.0,336.65999999993556,-0.040600851401077165,1.25,-0.049999999999998934,0.7213569563586826,1.2157617457253487,3.0,2.0,630.5699999996683,-0.0019297023792392842,1.25,0.05000000000000071,0.7790780829866208,1.1459365788882587,1759203826,,False,1,8b00c_00002,2025-09-30_04-43-46,51.22887849807739,51.22887849807739,4050750,cnl-brain9,155.198.99.250,51.22887849807739,1,0.12,0.30000000000000004,0.8,8b00c_00002
3,3.0,2.0,47.52000000000104,0.04243086242801741,1.5,-0.049999999999998934,0.6920997107896052,1.2178579787181372,6.0,2.0,333.50999999993843,-0.02285334432365893,2.25,-0.049999999999998934,0.7720269388896943,0.9318138801346532,10.0,2.0,561.4199999997312,-0.018354941387736634,3.5,-0.049999999999998934,0.5585942717695969,1.1444654358645239,1759203829,,False,1,8b00c_00003,2025-09-30_04-43-49,54.48614859580994,54.48614859580994,4050751,cnl-brain9,155.198.99.250,54.48614859580994,1,0.12,0.35000000000000003,0.8,8b00c_00003
4,4.0,1.0,44.190000000000914,0.059035547063280625,1.5,0.05000000000000071,0.7348639045554943,1.2595466785363687,5.0,2.0,327.2699999999441,0.00022897012417377738,1.75,0.05000000000000071,0.7546326511302848,1.0317910460685988,7.0,2.0,655.5299999996456,-0.005739097535877313,3.75,0.05000000000000071,0.6906345028343441,0.9003502547374171,1759203828,,False,1,8b00c_00004,2025-09-30_04-43-48,53.0893611907959,53.0893611907959,4050752,cnl-brain9,155.198.99.250,53.0893611907959,1,0.12,0.4,0.8,8b00c_00004
5,2.0,1.0,48.51000000000108,0.028637619937617043,1.0,-0.049999999999998934,0.8150379054541363,1.069469797863133,0.0,0.0,,,0.5,-0.049999999999998934,0.8150379054541363,1.069469797863133,0.0,0.0,,,0.5,-0.049999999999998934,0.8150379054541363,1.069469797863133,1759203827,,False,1,8b00c_00005,2025-09-30_04-43-47,51.71093535423279,51.71093535423279,4050756,cnl-brain9,155.198.99.250,51.71093535423279,1,0.12,0.2,0.9,8b00c_00005
6,2.0,1.0,41.1000000000008,0.02028319818861668,1.25,0.05000000000000071,0.6503251867937152,1.016765651943468,0.0,0.0,,,0.5,0.05000000000000071,0.6503251867937152,1.016765651943468,0.0,0.0,,,0.75,0.05000000000000071,0.6503251867937152,1.016765651943468,1759203822,,False,1,8b00c_00006,2025-09-30_04-43-42,46.85836958885193,46.85836958885193,4050755,cnl-brain9,155.198.99.250,46.85836958885193,1,0.12,0.25,0.9,8b00c_00006
7,2.0,1.0,46.65000000000101,0.022094702620860218,1.25,-0.049999999999998934,0.7489511837093126,1.1255610308860913,0.0,0.0,,,0.75,-0.049999999999998934,0.7489511837093126,1.1255610308860913,0.0,0.0,,,0.75,-0.049999999999998934,0.7489511837093126,1.1255610308860913,1759203828,,False,1,8b00c_00007,2025-09-30_04-43-48,53.573962926864624,53.573962926864624,4050754,cnl-brain9,155.198.99.250,53.573962926864624,1,0.12,0.30000000000000004,0.9,8b00c_00007
8,2.0,1.0,45.48000000000096,0.016019909068309968,1.5,0.05000000000000071,0.7684755532860867,1.1759555429137074,1.0,1.0,369.9299999999053,-0.020416419176004563,1.0,0.05000000000000071,0.8087158607028058,1.0909367005563526,0.0,0.0,,,0.75,0.05000000000000071,0.8087158607028058,1.0909367005563526,1759203824,,False,1,8b00c_00008,2025-09-30_04-43-44,49.40911817550659,49.40911817550659,4050753,cnl-brain9,155.198.99.250,49.40911817550659,1,0.12,0.35000000000000003,0.9,8b00c_00008
9,3.0,2.0,49.80000000000113,0.015580544033401367,1.5,-0.049999999999998934,0.6440696186697918,1.1137580067222708,1.0,1.0,366.2099999999087,-0.03846683937494655,1.0,-0.049999999999998934,0.7222942952374147,1.1075059803895968,0.0,0.0,,,0.75,-0.049999999999998934,0.7222942952374147,1.1075059803895968,1759203825,,False,1,8b00c_00009,2025-09-30_04-43-45,50.5955548286438,50.5955548286438,4050757,cnl-brain9,155.198.99.250,50.5955548286438,1,0.12,0.4,0.9,8b00c_00009
