,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_FWHM_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_FWHM_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_FWHM_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,2.0,1.0,53.10000000000125,0.006091564646029113,1.25,-0.049999999999998934,0.6679632148828536,1.2394618780972224,0.0,0.0,,,0.0,-0.049999999999998934,0.6679632148828536,1.2394618780972224,0.0,0.0,,,0.0,-0.049999999999998934,0.6679632148828536,1.2394618780972224,1748700689,,False,1,f444b_00000,2025-05-31_15-11-29,78.42789316177368,78.42789316177368,1539302,cnl-brain9,155.198.99.250,78.42789316177368,1,0.12,0.2,0.8,f444b_00000
1,2.0,1.0,56.13000000000137,0.004934346607803786,1.25,-0.049999999999998934,0.6524353192551131,1.2652965261881026,0.0,0.0,,,0.0,-0.049999999999998934,0.6524353192551131,1.2652965261881026,0.0,0.0,,,0.0,-0.049999999999998934,0.6524353192551131,1.2652965261881026,1748700697,,False,1,f444b_00001,2025-05-31_15-11-37,86.46254587173462,86.46254587173462,1539303,cnl-brain9,155.198.99.250,86.46254587173462,1,0.12,0.25,0.8,f444b_00001
2,2.0,2.0,55.98000000000136,0.0005445215531314496,1.5,-0.049999999999998934,0.6554312498582013,1.3091063346092944,0.0,0.0,,,0.0,-0.049999999999998934,0.6554312498582013,1.3091063346092944,0.0,0.0,,,0.0,-0.049999999999998934,0.6554312498582013,1.3091063346092944,1748700689,,False,1,f444b_00002,2025-05-31_15-11-29,78.52716588973999,78.52716588973999,1539304,cnl-brain9,155.198.99.250,78.52716588973999,1,0.12,0.30000000000000004,0.8,f444b_00002
3,2.0,1.0,55.44000000000134,0.012712064510959742,1.5,-0.049999999999998934,0.6724092705894003,1.224985241037732,1.0,1.0,296.21999999997234,-0.007777525504173433,1.25,-0.049999999999998934,0.6711738730401668,1.0967122232948103,0.0,0.0,,,0.0,-0.049999999999998934,0.6711738730401668,1.0967122232948103,1748700701,,False,1,f444b_00003,2025-05-31_15-11-41,90.62649035453796,90.62649035453796,1539305,cnl-brain9,155.198.99.250,90.62649035453796,1,0.12,0.35000000000000003,0.8,f444b_00003
4,2.0,2.0,56.070000000001365,-0.00474667619288649,2.0,-0.049999999999998934,0.664598429673958,1.2605414493671274,1.0,1.0,294.8399999999736,0.0034938262502577366,1.75,-0.049999999999998934,0.659253103011082,1.1142695930389204,2.0,2.0,779.0399999995333,-0.0005205024260148683,1.0,0.05000000000000071,0.6793457858694221,0.9127314709349891,1748700690,,False,1,f444b_00004,2025-05-31_15-11-30,79.3363401889801,79.3363401889801,1539306,cnl-brain9,155.198.99.250,79.3363401889801,1,0.12,0.4,0.8,f444b_00004
5,1.0,1.0,55.590000000001346,0.0052935726928988736,1.0,-0.049999999999998934,0.6570614569018889,1.1638595970648578,0.0,0.0,,,0.5,-0.049999999999998934,0.6570614569018889,1.1638595970648578,0.0,0.0,,,0.75,-0.049999999999998934,0.6570614569018889,1.1638595970648578,1748700689,,False,1,f444b_00005,2025-05-31_15-11-29,78.30220127105713,78.30220127105713,1539307,cnl-brain9,155.198.99.250,78.30220127105713,1,0.12,0.2,0.9,f444b_00005
6,2.0,1.0,54.63000000000131,0.0028218120402394575,1.25,-0.049999999999998934,0.6705126292745915,1.243811705813605,0.0,0.0,,,0.0,-0.049999999999998934,0.6705126292745915,1.243811705813605,0.0,0.0,,,0.0,-0.049999999999998934,0.6705126292745915,1.243811705813605,1748700692,,False,1,f444b_00006,2025-05-31_15-11-32,81.58062171936035,81.58062171936035,1539313,cnl-brain9,155.198.99.250,81.58062171936035,1,0.12,0.25,0.9,f444b_00006
7,2.0,1.0,55.23000000000133,0.0094507852937884,1.25,-0.049999999999998934,0.7047794370321645,1.210972015501836,0.0,0.0,,,0.0,-0.049999999999998934,0.7047794370321645,1.210972015501836,0.0,0.0,,,0.0,-0.049999999999998934,0.7047794370321645,1.210972015501836,1748700686,,False,1,f444b_00007,2025-05-31_15-11-26,76.00324606895447,76.00324606895447,1539312,cnl-brain9,155.198.99.250,76.00324606895447,1,0.12,0.30000000000000004,0.9,f444b_00007
8,2.0,1.0,54.72000000000131,0.004602944096384842,1.5,-0.049999999999998934,0.6510494639709559,1.2549031086574316,0.0,0.0,,,0.0,-0.049999999999998934,0.6510494639709559,1.2549031086574316,0.0,0.0,,,0.0,-0.049999999999998934,0.6510494639709559,1.2549031086574316,1748700685,,False,1,f444b_00008,2025-05-31_15-11-25,75.00453042984009,75.00453042984009,1539311,cnl-brain9,155.198.99.250,75.00453042984009,1,0.12,0.35000000000000003,0.9,f444b_00008
9,2.0,1.0,53.430000000001264,0.010735630566501175,1.5,-0.049999999999998934,0.6942458107110627,1.2186519940447842,0.0,0.0,,,0.0,-0.049999999999998934,0.6942458107110627,1.2186519940447842,0.0,0.0,,,0.0,-0.049999999999998934,0.6942458107110627,1.2186519940447842,1748700683,,False,1,f444b_00009,2025-05-31_15-11-23,73.00446796417236,73.00446796417236,1539310,cnl-brain9,155.198.99.250,73.00446796417236,1,0.12,0.4,0.9,f444b_00009
