,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,9.0,2.0,58.29,0.015575623401494543,5.25,-0.049999999999998934,0.5023046961934381,2.5289425996112485,1.1710918336093215,6.250644102174499,9.0,1.0,473.52,0.017448403062995776,5.5,0.05000000000000071,0.44209634867714875,0.5249409623506848,1.1753785889389414,7.309550153095434,9.0,2.0,923.07,-0.019121515659394905,5.25,0.05000000000000071,0.45363367171360824,0.6353948301072465,1.1656197118718115,7.041261847082553,1776483562,,False,1,00146_00000,2026-04-18_04-39-22,77.78840112686157,77.78840112686157,1688155,cnl-brain9,155.198.99.250,77.78840112686157,1,0.1,0.2,0.5,00146_00000
1,9.0,1.0,61.35,-0.00027004867997648674,5.25,-0.049999999999998934,0.5013679153871049,2.790235891711304,1.170217732562987,6.157219164791718,9.0,1.0,476.97,0.019008572701244564,6.5,0.05000000000000071,0.4579903503672931,0.5416977714856126,1.1634983543629565,7.287049905100007,9.0,2.0,927.27,-0.029920165265858945,5.75,0.05000000000000071,0.4630230599091405,0.6256795168411591,1.1696054498186832,7.100336211872836,1776483558,,False,1,00146_00001,2026-04-18_04-39-18,74.19767713546753,74.19767713546753,1688157,cnl-brain9,155.198.99.250,74.19767713546753,1,0.1,0.25,0.5,00146_00001
2,9.0,2.0,58.29,0.009774238002888236,5.5,-0.049999999999998934,0.5147430096978196,2.5037333449322507,1.1656154941924721,6.2086223347921985,9.0,1.0,452.7,0.021050488748430407,6.5,0.05000000000000071,0.4629816829122464,0.560186066440957,1.1647222268012654,7.250667665739781,9.0,2.0,900.9,-0.02208094925054427,5.25,0.05000000000000071,0.47558538316724697,0.6912740418003019,1.1521999619073935,6.987526759690331,1776483561,,False,1,00146_00002,2026-04-18_04-39-21,76.94067621231079,76.94067621231079,1688159,cnl-brain9,155.198.99.250,76.94067621231079,1,0.1,0.30000000000000004,0.5,00146_00002
3,9.0,1.0,60.18,0.0017337207315453185,5.75,-0.049999999999998934,0.5073412661806023,2.756995497711358,1.1682910137735603,6.2999077931755485,9.0,1.0,500.58,0.02449144332017772,6.25,0.05000000000000071,0.4634580724983235,0.5753022577642765,1.1576269289613648,7.334209072539097,9.0,2.0,948.09,-0.026853910094868372,5.75,0.05000000000000071,0.46603516418090507,0.6263402761440512,1.1662584281018087,7.035231736122076,1776483563,,False,1,00146_00003,2026-04-18_04-39-23,79.12378573417664,79.12378573417664,1688156,cnl-brain9,155.198.99.250,79.12378573417664,1,0.1,0.35000000000000003,0.5,00146_00003
4,9.0,1.0,59.79,-0.0011939302255337125,5.75,-0.049999999999998934,0.5101297509780851,2.704925174436496,1.1665167637191078,6.32275527633593,9.0,1.0,473.16,0.023204111744596023,6.75,0.05000000000000071,0.4778863904456321,0.5633881037089223,1.1600219191262808,7.34012724936293,9.0,2.0,920.28,-0.024444327457142645,5.75,0.05000000000000071,0.44587795311059564,0.6044428791081404,1.1675699294020554,7.247026499019191,1776483557,,False,1,00146_00004,2026-04-18_04-39-17,73.04320478439331,73.04320478439331,1688160,cnl-brain9,155.198.99.250,73.04320478439331,1,0.1,0.4,0.5,00146_00004
5,1.0,1.0,61.86,0.009006857555614811,1.0,-0.049999999999998934,0.4865917342123538,1.1466378720447838,0.7232752681818899,1.8113653372941534,1.0,1.0,544.38,0.002970291626929189,1.0,0.05000000000000071,0.47281625857013054,0.9739035554755948,0.799540394556662,3.8751627948541185,0.0,0.0,,,0.0,0.05000000000000071,0.47281625857013054,0.9739035554755948,,4.09454947949184,1776483562,,False,1,00146_00005,2026-04-18_04-39-22,78.52189612388611,78.52189612388611,1688158,cnl-brain9,155.198.99.250,78.52189612388611,1,0.1,0.2,0.875,00146_00005
6,2.0,1.0,59.13,0.014823471860429205,1.25,-0.049999999999998934,0.5568534828245961,1.2031166957244475,0.7970904334920934,2.3512512882204493,0.0,0.0,,,0.0,-0.049999999999998934,0.5568534828245961,1.2031166957244475,,4.088070516559441,0.0,0.0,,,0.0,-0.049999999999998934,0.5568534828245961,1.2031166957244475,,4.051002974431835,1776483562,,False,1,00146_00006,2026-04-18_04-39-22,77.76286101341248,77.76286101341248,1688162,cnl-brain9,155.198.99.250,77.76286101341248,1,0.1,0.25,0.875,00146_00006
7,2.0,2.0,59.28,0.006118375875454163,1.5,-0.049999999999998934,0.5057694606591094,1.2406259074734391,0.8020594009439623,3.9406589786096062,1.0,1.0,518.37,-0.02400447058558708,1.0,-0.049999999999998934,0.5125302207664921,1.1391637477578218,0.9047402703884675,5.354424401851773,0.0,0.0,,,0.0,-0.049999999999998934,0.5125302207664921,1.1391637477578218,,5.653010575788621,1776483561,,False,1,00146_00007,2026-04-18_04-39-21,76.76413154602051,76.76413154602051,1688168,cnl-brain9,155.198.99.250,76.76413154602051,1,0.1,0.30000000000000004,0.875,00146_00007
8,2.0,2.0,58.53,0.005884398430357152,1.5,-0.049999999999998934,0.4944025557388074,1.250080332548705,0.8047739902614239,3.9521676785602375,1.0,1.0,515.85,-0.019111494253180705,1.0,-0.049999999999998934,0.49173821081413127,1.1175303203053684,0.9163231132232432,5.675001074810189,0.0,0.0,,,0.0,-0.049999999999998934,0.49173821081413127,1.1175303203053684,,5.748620609581572,1776483559,,False,1,00146_00008,2026-04-18_04-39-19,75.31035876274109,75.31035876274109,1688165,cnl-brain9,155.198.99.250,75.31035876274109,1,0.1,0.35000000000000003,0.875,00146_00008
9,3.0,2.0,58.2,0.01914729534170201,1.5,-0.049999999999998934,0.5761391129511697,1.2529818726280515,0.9014744489885275,4.81228802790656,0.0,0.0,,,0.25,-0.049999999999998934,0.5761391129511697,1.2529818726280515,,5.595231061809822,0.0,0.0,,,0.0,-0.049999999999998934,0.5761391129511697,1.2529818726280515,,5.596121339483425,1776483562,,False,1,00146_00009,2026-04-18_04-39-22,77.94000768661499,77.94000768661499,1688164,cnl-brain9,155.198.99.250,77.94000768661499,1,0.1,0.4,0.875,00146_00009
10,0.0,0.0,,,0.75,,0.0,,,0.7632857469443619,0.0,0.0,,,0.75,,0.0,,,0.7637392993345644,0.0,0.0,,,0.75,,0.0,,,0.7587466976700448,1776483561,,False,1,00146_00010,2026-04-18_04-39-21,76.68891859054565,76.68891859054565,1688166,cnl-brain9,155.198.99.250,76.68891859054565,1,0.1,0.2,1.25,00146_00010
11,1.0,1.0,60.24,0.009132834714297822,1.0,-0.049999999999998934,0.5114933068761225,1.1160130429566197,0.7227858014311696,1.777976038223465,0.0,0.0,,,0.75,-0.049999999999998934,0.5114933068761225,1.1160130429566197,,2.3085076830459896,0.0,0.0,,,0.5,-0.049999999999998934,0.5114933068761225,1.1160130429566197,,2.131284640014598,1776483560,,False,1,00146_00011,2026-04-18_04-39-20,75.8482916355133,75.8482916355133,1688161,cnl-brain9,155.198.99.250,75.8482916355133,1,0.1,0.25,1.25,00146_00011
12,1.0,1.0,104.94,0.021120161290016704,1.0,-0.049999999999998934,0.5713483879933441,1.0954974880326076,0.7200639802038589,1.5208320423058188,0.0,0.0,,,0.75,-0.049999999999998934,0.5713483879933441,1.0954974880326076,,2.161122621293681,0.0,0.0,,,0.75,-0.049999999999998934,0.5713483879933441,1.0954974880326076,,2.002824141581619,1776483560,,False,1,00146_00012,2026-04-18_04-39-20,76.06076765060425,76.06076765060425,1688163,cnl-brain9,155.198.99.250,76.06076765060425,1,0.1,0.30000000000000004,1.25,00146_00012
13,1.0,1.0,59.16,0.012323589412233105,1.0,-0.049999999999998934,0.5192598598358438,1.1336386873278463,0.7227828432900867,1.9215750462126744,1.0,1.0,742.08,0.0042984821749709745,1.0,0.05000000000000071,0.5076399333329404,0.9635657539968533,0.7988415382769926,2.5144493534477617,0.0,0.0,,,0.0,0.05000000000000071,0.5076399333329404,0.9635657539968533,,4.028548132958691,1776483562,,False,1,00146_00013,2026-04-18_04-39-22,78.385657787323,78.385657787323,1688167,cnl-brain9,155.198.99.250,78.385657787323,1,0.1,0.35000000000000003,1.25,00146_00013
