,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,0,0,,0.0,,,,1705546056,,False,1,e826f_00000,2024-01-18_02-47-36,8.898839950561523,8.898839950561523,33687,cnl-brain10,155.198.100.139,8.898839950561523,1,0.3,200.0,4.5,e826f_00000
1,0,0,,0.0,,,,1705546056,,False,1,e826f_00001,2024-01-18_02-47-36,9.198786973953247,9.198786973953247,33688,cnl-brain10,155.198.100.139,9.198786973953247,1,0.35,200.0,4.5,e826f_00001
2,1,1,92.04000000000272,1.0,1.2192202384077744,0.01792376010399055,0.046875,1705546056,,False,1,e826f_00002,2024-01-18_02-47-36,9.148630619049072,9.148630619049072,33689,cnl-brain10,155.198.100.139,9.148630619049072,1,0.4,200.0,4.5,e826f_00002
3,1,1,94.38000000000281,1.25,1.4660066337819067,0.045653539323204706,0.046875,1705546055,,False,1,e826f_00003,2024-01-18_02-47-35,8.605793476104736,8.605793476104736,33691,cnl-brain10,155.198.100.139,8.605793476104736,1,0.45,200.0,4.5,e826f_00003
4,1,1,94.1100000000028,1.25,0.8558011471189589,0.05947523758272477,0.140625,1705546056,,False,1,e826f_00004,2024-01-18_02-47-36,8.997150421142578,8.997150421142578,33690,cnl-brain10,155.198.100.139,8.997150421142578,1,0.5,200.0,4.5,e826f_00004
5,0,0,,0.0,,,,1705546056,,False,1,e826f_00005,2024-01-18_02-47-36,8.787951707839966,8.787951707839966,33695,cnl-brain10,155.198.100.139,8.787951707839966,1,0.3,200.0,4.0,e826f_00005
6,0,0,,0.0,,,,1705546056,,False,1,e826f_00006,2024-01-18_02-47-36,9.31684398651123,9.31684398651123,33694,cnl-brain10,155.198.100.139,9.31684398651123,1,0.35,200.0,4.0,e826f_00006
7,1,1,93.48000000000278,1.25,1.2537476000385284,0.02581261988237249,0.046875,1705546056,,False,1,e826f_00007,2024-01-18_02-47-36,9.269938230514526,9.269938230514526,33693,cnl-brain10,155.198.100.139,9.269938230514526,1,0.4,200.0,4.0,e826f_00007
8,1,1,90.90000000000268,1.5,1.5606647729675984,0.047845690964927634,0.046875,1705546055,,False,1,e826f_00008,2024-01-18_02-47-35,8.63344693183899,8.63344693183899,33692,cnl-brain10,155.198.100.139,8.63344693183899,1,0.45,200.0,4.0,e826f_00008
9,1,1,93.84000000000279,1.5,0.885506747371942,0.05973206617005067,0.140625,1705546056,,False,1,e826f_00009,2024-01-18_02-47-36,9.305506706237793,9.305506706237793,33696,cnl-brain10,155.198.100.139,9.305506706237793,1,0.5,200.0,4.0,e826f_00009
10,0,0,,0.0,,,,1705546057,,False,1,e826f_00010,2024-01-18_02-47-37,9.35266661643982,9.35266661643982,33697,cnl-brain10,155.198.100.139,9.35266661643982,1,0.3,200.0,3.5,e826f_00010
11,0,0,,0.0,,,,1705546056,,False,1,e826f_00011,2024-01-18_02-47-36,9.22008204460144,9.22008204460144,33698,cnl-brain10,155.198.100.139,9.22008204460144,1,0.35,200.0,3.5,e826f_00011
12,1,1,93.93000000000279,1.75,1.290986165855461,0.023685312011645587,0.046875,1705546056,,False,1,e826f_00012,2024-01-18_02-47-36,8.388948917388916,8.388948917388916,33699,cnl-brain10,155.198.100.139,8.388948917388916,1,0.4,200.0,3.5,e826f_00012
13,1,1,94.53000000000281,1.75,1.4532311550598636,0.049218397810548487,0.046875,1705546056,,False,1,e826f_00013,2024-01-18_02-47-36,8.618895530700684,8.618895530700684,33700,cnl-brain10,155.198.100.139,8.618895530700684,1,0.45,200.0,3.5,e826f_00013
14,1,1,91.17000000000269,2.0,0.8538775573720837,0.06232232445294361,0.140625,1705546057,,False,1,e826f_00014,2024-01-18_02-47-37,9.387800931930542,9.387800931930542,33701,cnl-brain10,155.198.100.139,9.387800931930542,1,0.5,200.0,3.5,e826f_00014
15,0,0,,0.0,,,,1705546056,,False,1,e826f_00015,2024-01-18_02-47-36,8.493926048278809,8.493926048278809,33705,cnl-brain10,155.198.100.139,8.493926048278809,1,0.3,200.0,3.0,e826f_00015
16,1,1,96.33000000000288,1.5,1.0151565442326418,-0.012401042800519235,0.046875,1705546056,,False,1,e826f_00016,2024-01-18_02-47-36,9.374694585800171,9.374694585800171,33704,cnl-brain10,155.198.100.139,9.374694585800171,1,0.35,200.0,3.0,e826f_00016
17,1,1,92.61000000000274,2.0,1.340924485106849,0.032448716513282516,0.046875,1705546057,,False,1,e826f_00017,2024-01-18_02-47-37,9.279125452041626,9.279125452041626,33703,cnl-brain10,155.198.100.139,9.279125452041626,1,0.4,200.0,3.0,e826f_00017
18,1,1,91.5600000000027,2.25,1.5117988414207508,0.05171304332403315,0.046875,1705546056,,False,1,e826f_00018,2024-01-18_02-47-36,8.753926515579224,8.753926515579224,33702,cnl-brain10,155.198.100.139,8.753926515579224,1,0.45,200.0,3.0,e826f_00018
