,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00000,2024-07-31_03-15-34,9.10440707206726,9.10440707206726,54114,cnl-brain10,155.198.100.139,9.10440707206726,1,0.3,200.0,4.5,bd2ac_00000
1,0,0,,0.0,,,,1722392133,,False,1,bd2ac_00001,2024-07-31_03-15-33,8.723453998565674,8.723453998565674,54179,cnl-brain10,155.198.100.139,8.723453998565674,1,0.35,200.0,4.5,bd2ac_00001
2,1,1,92.79000000000275,1.25,1.2411571001871708,0.018432402266679748,0.046875,1722392134,,False,1,bd2ac_00002,2024-07-31_03-15-34,9.253088235855103,9.253088235855103,54212,cnl-brain10,155.198.100.139,9.253088235855103,1,0.4,200.0,4.5,bd2ac_00002
3,1,1,92.40000000000273,1.25,1.4474410967593037,0.04485653316213245,0.046875,1722392134,,False,1,bd2ac_00003,2024-07-31_03-15-34,9.134814977645874,9.134814977645874,54214,cnl-brain10,155.198.100.139,9.134814977645874,1,0.45,200.0,4.5,bd2ac_00003
4,1,1,93.09000000000276,1.25,0.8471956939807421,0.05944681866835788,0.140625,1722392134,,False,1,bd2ac_00004,2024-07-31_03-15-34,8.819169282913208,8.819169282913208,54267,cnl-brain10,155.198.100.139,8.819169282913208,1,0.5,200.0,4.5,bd2ac_00004
5,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00005,2024-07-31_03-15-34,9.090870141983032,9.090870141983032,54266,cnl-brain10,155.198.100.139,9.090870141983032,1,0.3,200.0,4.0,bd2ac_00005
6,0,0,,0.0,,,,1722392132,,False,1,bd2ac_00006,2024-07-31_03-15-32,7.741357803344727,7.741357803344727,54249,cnl-brain10,155.198.100.139,7.741357803344727,1,0.35,200.0,4.0,bd2ac_00006
7,1,1,94.47000000000281,1.25,1.2426412355690089,0.023574777453785334,0.046875,1722392133,,False,1,bd2ac_00007,2024-07-31_03-15-33,8.130728006362915,8.130728006362915,54284,cnl-brain10,155.198.100.139,8.130728006362915,1,0.4,200.0,4.0,bd2ac_00007
8,1,1,94.44000000000281,1.5,1.5505475594241167,0.04907883128690438,0.046875,1722392134,,False,1,bd2ac_00008,2024-07-31_03-15-34,9.435290813446045,9.435290813446045,54333,cnl-brain10,155.198.100.139,9.435290813446045,1,0.45,200.0,4.0,bd2ac_00008
9,1,1,91.20000000000269,1.5,0.7799342652012454,0.060492819247274676,0.140625,1722392134,,False,1,bd2ac_00009,2024-07-31_03-15-34,9.3403959274292,9.3403959274292,54351,cnl-brain10,155.198.100.139,9.3403959274292,1,0.5,200.0,4.0,bd2ac_00009
10,0,0,,0.0,,,,1722392132,,False,1,bd2ac_00010,2024-07-31_03-15-32,7.599162578582764,7.599162578582764,54416,cnl-brain10,155.198.100.139,7.599162578582764,1,0.3,200.0,3.5,bd2ac_00010
11,0,0,,0.0,,,,1722392132,,False,1,bd2ac_00011,2024-07-31_03-15-32,7.5475592613220215,7.5475592613220215,54417,cnl-brain10,155.198.100.139,7.5475592613220215,1,0.35,200.0,3.5,bd2ac_00011
12,1,1,95.82000000000286,1.5,1.3523745558978326,0.0259955355839252,0.046875,1722392132,,False,1,bd2ac_00012,2024-07-31_03-15-32,7.28095817565918,7.28095817565918,54434,cnl-brain10,155.198.100.139,7.28095817565918,1,0.4,200.0,3.5,bd2ac_00012
13,1,1,94.56000000000282,1.75,1.5941116431504945,0.05191589470005398,0.046875,1722392132,,False,1,bd2ac_00013,2024-07-31_03-15-32,7.6168458461761475,7.6168458461761475,54451,cnl-brain10,155.198.100.139,7.6168458461761475,1,0.45,200.0,3.5,bd2ac_00013
14,1,1,92.91000000000275,1.75,0.8773914466774698,0.06426738057244763,0.140625,1722392133,,False,1,bd2ac_00014,2024-07-31_03-15-33,8.123009443283081,8.123009443283081,54452,cnl-brain10,155.198.100.139,8.123009443283081,1,0.5,200.0,3.5,bd2ac_00014
15,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00015,2024-07-31_03-15-34,8.94441032409668,8.94441032409668,54453,cnl-brain10,155.198.100.139,8.94441032409668,1,0.3,200.0,3.0,bd2ac_00015
