,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,7,2,51.42000000000119,4.25,0.9767760114352863,-0.017640066392302867,0.049999999999998934,1746725522,,False,1,494fe_00000,2025-05-08_18-32-02,22.510852336883545,22.510852336883545,2715300,cnl-brain9,155.198.99.250,22.510852336883545,1,0.11,0.2,0.6,494fe_00000
1,6,2,78.2700000000022,4.0,1.0488630640157433,-0.009673164506442955,0.049999999999998934,1746725523,,False,1,494fe_00001,2025-05-08_18-32-03,24.43469738960266,24.43469738960266,2715301,cnl-brain9,155.198.99.250,24.43469738960266,1,0.11,0.3,0.6,494fe_00001
2,6,2,69.96000000000188,3.0,1.2564242791756068,-0.012752115425508137,-0.05000000000000071,1746725524,,False,1,494fe_00002,2025-05-08_18-32-04,25.492494344711304,25.492494344711304,2715302,cnl-brain9,155.198.99.250,25.492494344711304,1,0.11,0.4,0.6,494fe_00002
3,7,2,46.020000000000984,4.25,0.9215400868401267,-0.026110187817244945,0.049999999999998934,1746725521,,False,1,494fe_00003,2025-05-08_18-32-01,22.293478965759277,22.293478965759277,2715303,cnl-brain9,155.198.99.250,22.293478965759277,1,0.11,0.5,0.6,494fe_00003
4,7,2,40.68000000000078,18.25,0.9617178171682529,-0.05761291863666251,0.049999999999998934,1746725521,,False,1,494fe_00004,2025-05-08_18-32-01,22.430924654006958,22.430924654006958,2715304,cnl-brain9,155.198.99.250,22.430924654006958,1,0.11,0.6,0.6,494fe_00004
5,2,2,75.7800000000021,1.5,1.1557429402713646,-0.04517522942070373,-0.05000000000000071,1746725520,,False,1,494fe_00005,2025-05-08_18-32-00,21.204960107803345,21.204960107803345,2715305,cnl-brain9,155.198.99.250,21.204960107803345,1,0.11,0.2,0.8,494fe_00005
6,3,2,41.91000000000083,1.5,0.9499719496419926,0.014515488283097344,0.049999999999998934,1746725517,,False,1,494fe_00006,2025-05-08_18-31-57,18.59537172317505,18.59537172317505,2716988,cnl-brain9,155.198.99.250,18.59537172317505,1,0.11,0.3,0.8,494fe_00006
7,7,2,46.290000000000994,5.5,0.9497421640796174,-0.010538896416787402,0.049999999999998934,1746725524,,False,1,494fe_00007,2025-05-08_18-32-04,25.767261743545532,25.767261743545532,2716987,cnl-brain9,155.198.99.250,25.767261743545532,1,0.11,0.4,0.8,494fe_00007
8,7,2,44.37000000000092,11.75,1.0001343325153569,0.01223866563564302,0.049999999999998934,1746725522,,False,1,494fe_00008,2025-05-08_18-32-02,23.10036563873291,23.10036563873291,2716983,cnl-brain9,155.198.99.250,23.10036563873291,1,0.11,0.5,0.8,494fe_00008
9,6,2,50.46000000000115,4.0,0.9285802632364856,-0.06499088686699395,0.049999999999998934,1746725519,,False,1,494fe_00009,2025-05-08_18-31-59,19.919629335403442,19.919629335403442,2716982,cnl-brain9,155.198.99.250,19.919629335403442,1,0.11,0.6,0.8,494fe_00009
10,2,1,149.01000000000488,1.0,1.044319229916244,-0.030048971646922773,-0.05000000000000071,1746725521,,False,1,494fe_00010,2025-05-08_18-32-01,22.36079239845276,22.36079239845276,2716981,cnl-brain9,155.198.99.250,22.36079239845276,1,0.11,0.2,1.0,494fe_00010
11,2,1,47.85000000000105,1.0,1.3229977661173993,-0.048683654690186096,-0.1500000000000008,1746725524,,False,1,494fe_00011,2025-05-08_18-32-04,24.751842737197876,24.751842737197876,2716980,cnl-brain9,155.198.99.250,24.751842737197876,1,0.11,0.3,1.0,494fe_00011
12,3,1,49.92000000000113,1.25,0.9300392475793064,-0.018302353040197783,0.049999999999998934,1746725527,,False,1,494fe_00012,2025-05-08_18-32-07,28.261120319366455,28.261120319366455,2716992,cnl-brain9,155.198.99.250,28.261120319366455,1,0.11,0.4,1.0,494fe_00012
13,3,1,52.83000000000124,1.5,0.9530947162006612,-0.010096305809012218,0.049999999999998934,1746725521,,False,1,494fe_00013,2025-05-08_18-32-01,22.428287506103516,22.428287506103516,2716993,cnl-brain9,155.198.99.250,22.428287506103516,1,0.11,0.5,1.0,494fe_00013
14,4,2,40.44000000000077,2.25,0.9716801092365756,-0.05573616819892235,0.049999999999998934,1746725517,,False,1,494fe_00014,2025-05-08_18-31-57,18.695669174194336,18.695669174194336,2716994,cnl-brain9,155.198.99.250,18.695669174194336,1,0.11,0.6,1.0,494fe_00014
15,0,0,,0.75,,,,1746725522,,False,1,494fe_00015,2025-05-08_18-32-02,22.926887035369873,22.926887035369873,2716995,cnl-brain9,155.198.99.250,22.926887035369873,1,0.11,0.2,1.2,494fe_00015
16,2,1,81.99000000000234,1.0,1.2354864772730454,-0.012564913551492918,-0.05000000000000071,1746725525,,False,1,494fe_00016,2025-05-08_18-32-05,25.882918119430542,25.882918119430542,2716996,cnl-brain9,155.198.99.250,25.882918119430542,1,0.11,0.3,1.2,494fe_00016
17,2,1,89.40000000000262,1.25,1.0221507638964231,0.007527632583665067,0.049999999999998934,1746725521,,False,1,494fe_00017,2025-05-08_18-32-01,22.13399600982666,22.13399600982666,2716997,cnl-brain9,155.198.99.250,22.13399600982666,1,0.11,0.4,1.2,494fe_00017
18,2,2,45.510000000000964,1.0,1.0952221401920958,-0.04504829634414209,0.049999999999998934,1746725524,,False,1,494fe_00018,2025-05-08_18-32-04,25.04305601119995,25.04305601119995,2716998,cnl-brain9,155.198.99.250,25.04305601119995,1,0.11,0.5,1.2,494fe_00018
19,3,1,46.350000000000996,1.25,1.009588235637003,-0.027978536790349118,0.049999999999998934,1746725521,,False,1,494fe_00019,2025-05-08_18-32-01,22.47051191329956,22.47051191329956,2716999,cnl-brain9,155.198.99.250,22.47051191329956,1,0.11,0.6,1.2,494fe_00019
