,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,2,1,45.06000000000095,3.75,0.9404138321717797,0.016915613960944764,0.11666666666666647,1740568803,,False,1,97afd_00000,2025-02-26_11-20-03,11.145457983016968,11.145457983016968,1007542,cnl-brain9,155.198.99.250,11.145457983016968,1,0.4,50.0,0.8,97afd_00000
1,1,1,43.35000000000088,2.5,0.9272557241934631,0.01757238896451918,0.11666666666666647,1740568803,,False,1,97afd_00001,2025-02-26_11-20-03,11.272730350494385,11.272730350494385,1007618,cnl-brain9,155.198.99.250,11.272730350494385,1,0.4,50.0,1.3,97afd_00001
2,1,1,43.26000000000088,1.75,0.9562933881285504,0.0002184515580301305,0.11666666666666647,1740568805,,False,1,97afd_00002,2025-02-26_11-20-05,12.98828649520874,12.98828649520874,1007715,cnl-brain9,155.198.99.250,12.98828649520874,1,0.4,50.0,1.8,97afd_00002
3,1,1,152.85000000000502,1.0,0.9578545169834853,-0.004691641358170795,0.11666666666666647,1740568804,,False,1,97afd_00003,2025-02-26_11-20-04,12.459710359573364,12.459710359573364,1007812,cnl-brain9,155.198.99.250,12.459710359573364,1,0.4,50.0,3.0,97afd_00003
4,0,0,,0.0,,,,1740568804,,False,1,97afd_00004,2025-02-26_11-20-04,12.135937213897705,12.135937213897705,1007813,cnl-brain9,155.198.99.250,12.135937213897705,1,0.4,50.0,5.0,97afd_00004
5,3,1,43.140000000000875,3.25,0.9482297040426705,0.011450276658847791,0.11666666666666647,1740568803,,False,1,97afd_00005,2025-02-26_11-20-03,11.639009952545166,11.639009952545166,1007882,cnl-brain9,155.198.99.250,11.639009952545166,1,0.4,75.0,0.8,97afd_00005
6,1,1,43.35000000000088,2.25,0.9903501546985164,0.011012067959905947,0.11666666666666647,1740568803,,False,1,97afd_00006,2025-02-26_11-20-03,10.988918542861938,10.988918542861938,1007881,cnl-brain9,155.198.99.250,10.988918542861938,1,0.4,75.0,1.3,97afd_00006
7,1,1,43.35000000000088,1.75,0.9692717645174954,0.007703994120500823,0.11666666666666647,1740568805,,False,1,97afd_00007,2025-02-26_11-20-05,13.254518508911133,13.254518508911133,1007880,cnl-brain9,155.198.99.250,13.254518508911133,1,0.4,75.0,1.8,97afd_00007
8,1,1,43.710000000000896,1.0,1.0934257237098095,-0.010503459438145013,0.016666666666666385,1740568805,,False,1,97afd_00008,2025-02-26_11-20-05,13.133925199508667,13.133925199508667,1007879,cnl-brain9,155.198.99.250,13.133925199508667,1,0.4,75.0,3.0,97afd_00008
9,0,0,,0.0,,,,1740568804,,False,1,97afd_00009,2025-02-26_11-20-04,12.735766887664795,12.735766887664795,1007878,cnl-brain9,155.198.99.250,12.735766887664795,1,0.4,75.0,5.0,97afd_00009
10,1,1,43.11000000000087,3.0,0.9571630258417869,0.002147371158269351,0.11666666666666647,1740568804,,False,1,97afd_00010,2025-02-26_11-20-04,12.593055248260498,12.593055248260498,1007883,cnl-brain9,155.198.99.250,12.593055248260498,1,0.4,100.0,0.8,97afd_00010
11,1,1,43.56000000000089,2.25,0.9318667970268781,0.013241219810128602,0.11666666666666647,1740568804,,False,1,97afd_00011,2025-02-26_11-20-04,11.817975044250488,11.817975044250488,1007884,cnl-brain9,155.198.99.250,11.817975044250488,1,0.4,100.0,1.3,97afd_00011
12,1,1,44.52000000000093,1.75,0.9532893461123209,0.012979911205212913,0.11666666666666647,1740568804,,False,1,97afd_00012,2025-02-26_11-20-04,11.693641424179077,11.693641424179077,1007885,cnl-brain9,155.198.99.250,11.693641424179077,1,0.4,100.0,1.8,97afd_00012
13,1,1,43.140000000000875,1.0,1.1586824975505008,-0.0009301066843512285,0.016666666666666385,1740568805,,False,1,97afd_00013,2025-02-26_11-20-05,13.209892749786377,13.209892749786377,1007886,cnl-brain9,155.198.99.250,13.209892749786377,1,0.4,100.0,3.0,97afd_00013
14,0,0,,0.0,,,,1740568805,,False,1,97afd_00014,2025-02-26_11-20-05,13.14641523361206,13.14641523361206,1007887,cnl-brain9,155.198.99.250,13.14641523361206,1,0.4,100.0,5.0,97afd_00014
15,6,5,42.72000000000086,26.25,0.9646704414314593,0.013244225806891663,1.0166666666666666,1740568804,,False,1,97afd_00015,2025-02-26_11-20-04,11.82746434211731,11.82746434211731,1007888,cnl-brain9,155.198.99.250,11.82746434211731,1,0.4,125.0,0.8,97afd_00015
16,1,1,43.170000000000876,2.25,1.0020747767927083,-0.000867183649898573,0.11666666666666647,1740568804,,False,1,97afd_00016,2025-02-26_11-20-04,12.662357568740845,12.662357568740845,1007889,cnl-brain9,155.198.99.250,12.662357568740845,1,0.4,125.0,1.3,97afd_00016
17,1,1,44.34000000000092,1.5,0.9796433870334692,-0.0061739840074830354,0.11666666666666647,1740568805,,False,1,97afd_00017,2025-02-26_11-20-05,13.047643184661865,13.047643184661865,1007890,cnl-brain9,155.198.99.250,13.047643184661865,1,0.4,125.0,1.8,97afd_00017
18,1,1,42.78000000000086,1.0,0.9441632929528275,0.0005720169649769957,0.11666666666666647,1740568805,,False,1,97afd_00018,2025-02-26_11-20-05,13.088563442230225,13.088563442230225,1007891,cnl-brain9,155.198.99.250,13.088563442230225,1,0.4,125.0,3.0,97afd_00018
19,0,0,,0.0,,,,1740568805,,False,1,97afd_00019,2025-02-26_11-20-05,12.872063398361206,12.872063398361206,1007892,cnl-brain9,155.198.99.250,12.872063398361206,1,0.4,125.0,5.0,97afd_00019
20,3,2,43.920000000000904,16.0,0.9369740357982641,0.012999428275618952,0.11666666666666647,1740568805,,False,1,97afd_00020,2025-02-26_11-20-05,13.24138331413269,13.24138331413269,1007893,cnl-brain9,155.198.99.250,13.24138331413269,1,0.4,150.0,0.8,97afd_00020
21,1,1,43.980000000000906,2.25,0.9489595038276175,0.009896137041360387,0.11666666666666647,1740568804,,False,1,97afd_00021,2025-02-26_11-20-04,11.7667076587677,11.7667076587677,1007894,cnl-brain9,155.198.99.250,11.7667076587677,1,0.4,150.0,1.3,97afd_00021
22,1,1,43.7400000000009,1.5,0.9935531859431842,0.003812017809568191,0.11666666666666647,1740568805,,False,1,97afd_00022,2025-02-26_11-20-05,12.900142669677734,12.900142669677734,1007895,cnl-brain9,155.198.99.250,12.900142669677734,1,0.4,150.0,1.8,97afd_00022
23,6,5,43.410000000000885,22.25,0.8625128703213719,0.003994884314065139,1.4166666666666667,1740568804,,False,1,97afd_00023,2025-02-26_11-20-04,11.448331117630005,11.448331117630005,1007896,cnl-brain9,155.198.99.250,11.448331117630005,1,0.4,150.0,3.0,97afd_00023
24,0,0,,0.0,,,,1740568803,,False,1,97afd_00024,2025-02-26_11-20-03,11.101989507675171,11.101989507675171,1007897,cnl-brain9,155.198.99.250,11.101989507675171,1,0.4,150.0,5.0,97afd_00024
25,3,1,43.7700000000009,3.75,0.9971349141402192,0.011676441727184628,0.11666666666666647,1740568805,,False,1,97afd_00025,2025-02-26_11-20-05,13.132277488708496,13.132277488708496,1007898,cnl-brain9,155.198.99.250,13.132277488708496,1,0.5,50.0,0.8,97afd_00025
26,2,1,43.32000000000088,2.25,0.9470436647799461,0.004578244915338647,0.11666666666666647,1740568805,,False,1,97afd_00026,2025-02-26_11-20-05,12.750826358795166,12.750826358795166,1007899,cnl-brain9,155.198.99.250,12.750826358795166,1,0.5,50.0,1.3,97afd_00026
