,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,6,2,54.72000000000131,13.25,1.1205709392695666,-0.006534887631453046,0.049999999999998934,1746727248,,False,1,4e41c_00000,2025-05-08_19-00-48,24.40858292579651,24.40858292579651,2762383,cnl-brain9,155.198.99.250,24.40858292579651,1,0.11,0.2,0.6,4e41c_00000
1,6,1,55.92000000000136,12.0,1.1985549541704315,0.0008933028577624569,0.049999999999998934,1746727251,,False,1,4e41c_00001,2025-05-08_19-00-51,27.04555344581604,27.04555344581604,2762384,cnl-brain9,155.198.99.250,27.04555344581604,1,0.11,0.3,0.6,4e41c_00001
2,6,2,55.65000000000135,11.25,1.2533285703746526,-0.007725727725275355,0.049999999999998934,1746727247,,False,1,4e41c_00002,2025-05-08_19-00-47,23.27114200592041,23.27114200592041,2762385,cnl-brain9,155.198.99.250,23.27114200592041,1,0.11,0.4,0.6,4e41c_00002
3,6,2,55.560000000001345,13.5,1.1938054998487009,0.00025159740804836517,0.049999999999998934,1746727246,,False,1,4e41c_00003,2025-05-08_19-00-46,21.998406648635864,21.998406648635864,2762386,cnl-brain9,155.198.99.250,21.998406648635864,1,0.11,0.5,0.6,4e41c_00003
4,6,2,56.73000000000139,12.0,1.2088225571618134,-0.005590070424617011,0.049999999999998934,1746727244,,False,1,4e41c_00004,2025-05-08_19-00-44,19.79319453239441,19.79319453239441,2762387,cnl-brain9,155.198.99.250,19.79319453239441,1,0.11,0.6,0.6,4e41c_00004
5,2,1,53.49000000000127,1.25,0.941283344745506,-0.007068306811802927,0.049999999999998934,1746727242,,False,1,4e41c_00005,2025-05-08_19-00-42,18.085461854934692,18.085461854934692,2762391,cnl-brain9,155.198.99.250,18.085461854934692,1,0.11,0.2,0.8,4e41c_00005
6,2,2,55.020000000001325,1.75,0.96750001795806,0.0017767916986963783,0.049999999999998934,1746727249,,False,1,4e41c_00006,2025-05-08_19-00-49,24.86412286758423,24.86412286758423,2762390,cnl-brain9,155.198.99.250,24.86412286758423,1,0.11,0.3,0.8,4e41c_00006
7,2,1,56.880000000001395,1.75,0.9481220515742501,0.002079821751885369,0.049999999999998934,1746727249,,False,1,4e41c_00007,2025-05-08_19-00-49,25.711277723312378,25.711277723312378,2762389,cnl-brain9,155.198.99.250,25.711277723312378,1,0.11,0.4,0.8,4e41c_00007
8,3,2,55.68000000000135,2.25,0.9418905050357034,0.00378764764583428,0.049999999999998934,1746727246,,False,1,4e41c_00008,2025-05-08_19-00-46,21.826600313186646,21.826600313186646,2762388,cnl-brain9,155.198.99.250,21.826600313186646,1,0.11,0.5,0.8,4e41c_00008
9,3,2,55.290000000001335,2.0,0.9737729129723279,-0.0012610634894798523,0.049999999999998934,1746727242,,False,1,4e41c_00009,2025-05-08_19-00-42,18.254207372665405,18.254207372665405,2762392,cnl-brain9,155.198.99.250,18.254207372665405,1,0.11,0.6,0.8,4e41c_00009
10,1,1,175.53000000000588,1.0,0.9794515506161345,0.0011654274630354955,0.049999999999998934,1746727245,,False,1,4e41c_00010,2025-05-08_19-00-45,21.27614116668701,21.27614116668701,2762393,cnl-brain9,155.198.99.250,21.27614116668701,1,0.11,0.2,1.0,4e41c_00010
11,1,1,54.57000000000131,1.25,0.9770428975312181,-0.0002803613894513113,0.049999999999998934,1746727247,,False,1,4e41c_00011,2025-05-08_19-00-47,22.863178730010986,22.863178730010986,2762394,cnl-brain9,155.198.99.250,22.863178730010986,1,0.11,0.3,1.0,4e41c_00011
12,2,1,55.260000000001334,1.25,0.9273844217577103,-0.007209081289833552,0.049999999999998934,1746727245,,False,1,4e41c_00012,2025-05-08_19-00-45,21.36453104019165,21.36453104019165,2762395,cnl-brain9,155.198.99.250,21.36453104019165,1,0.11,0.4,1.0,4e41c_00012
13,2,2,53.91000000000128,1.75,0.9461082681524308,0.00168239036221296,0.049999999999998934,1746727243,,False,1,4e41c_00013,2025-05-08_19-00-43,19.07423973083496,19.07423973083496,2762396,cnl-brain9,155.198.99.250,19.07423973083496,1,0.11,0.5,1.0,4e41c_00013
14,2,2,55.08000000000133,1.75,0.9536784077642981,-0.0006172030547832996,0.049999999999998934,1746727245,,False,1,4e41c_00014,2025-05-08_19-00-45,20.73480248451233,20.73480248451233,2762397,cnl-brain9,155.198.99.250,20.73480248451233,1,0.11,0.6,1.0,4e41c_00014
15,0,0,,0.75,,,,1746727248,,False,1,4e41c_00015,2025-05-08_19-00-48,23.897902965545654,23.897902965545654,2762398,cnl-brain9,155.198.99.250,23.897902965545654,1,0.11,0.2,1.2,4e41c_00015
16,1,1,56.850000000001394,1.0,0.9777462193616427,-0.0018828782266222532,0.049999999999998934,1746727249,,False,1,4e41c_00016,2025-05-08_19-00-49,25.175881385803223,25.175881385803223,2762399,cnl-brain9,155.198.99.250,25.175881385803223,1,0.11,0.3,1.2,4e41c_00016
17,1,1,54.84000000000132,1.25,0.9548638822449567,-0.006972515866982665,0.049999999999998934,1746727244,,False,1,4e41c_00017,2025-05-08_19-00-44,20.5248281955719,20.5248281955719,2762400,cnl-brain9,155.198.99.250,20.5248281955719,1,0.11,0.4,1.2,4e41c_00017
18,2,2,57.21000000000141,1.25,0.9696588075733137,-0.01801342713860654,0.049999999999998934,1746727251,,False,1,4e41c_00018,2025-05-08_19-00-51,26.945290565490723,26.945290565490723,2762401,cnl-brain9,155.198.99.250,26.945290565490723,1,0.11,0.5,1.2,4e41c_00018
19,2,2,55.71000000000135,1.75,0.9491826200270946,0.00033273267274269713,0.049999999999998934,1746727249,,False,1,4e41c_00019,2025-05-08_19-00-49,25.13463592529297,25.13463592529297,2762402,cnl-brain9,155.198.99.250,25.13463592529297,1,0.11,0.6,1.2,4e41c_00019
20,0,0,,0.5,,,,1746727252,,False,1,4e41c_00020,2025-05-08_19-00-52,27.44678497314453,27.44678497314453,2762403,cnl-brain9,155.198.99.250,27.44678497314453,1,0.11,0.2,1.8,4e41c_00020
