,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,1,1,0,1,1,0,119.76000000000377,252.2100000000088,,2.25,2.0,0.0,1.072384728738504,2.395085259676425,2.395085259676425,0.05553663949855603,-0.06864488538321412,,0.171875,-0.203125,-0.203125,1705272585,,False,1,26fc2_00000,2024-01-14_22-49-45,22.480466842651367,22.480466842651367,26093,cnl-brain10,155.198.100.139,22.480466842651367,1,0.5,100.0,4.5,26fc2_00000
1,0,1,1,0,1,1,,218.1600000000075,382.94999999989346,0.75,2.5,1.75,,1.4343812510511658,0.7716378571540117,,-0.06631005851742455,0.07006958719140721,,-0.203125,0.171875,1705272587,,False,1,26fc2_00001,2024-01-14_22-49-47,24.16160750389099,24.16160750389099,26110,cnl-brain10,155.198.100.139,24.16160750389099,1,0.55,100.0,4.5,26fc2_00001
2,1,1,0,1,1,0,79.83000000000226,256.95000000000806,,2.5,2.25,0.0,1.3390580890837227,1.6375361625735427,1.6375361625735427,0.07897173308740307,-0.08402460706692616,,0.171875,-0.203125,-0.203125,1705272587,,False,1,26fc2_00002,2024-01-14_22-49-47,23.893457651138306,23.893457651138306,26125,cnl-brain10,155.198.100.139,23.893457651138306,1,0.6,100.0,4.5,26fc2_00002
3,1,1,0,1,1,0,81.42000000000232,254.37000000000887,,2.5,2.0,0.0,1.513983741731528,1.5804853802688397,1.5804853802688397,0.0837229748293431,-0.09045943602164863,,0.171875,-0.203125,-0.203125,1705272588,,False,1,26fc2_00003,2024-01-14_22-49-48,24.760886430740356,24.760886430740356,26162,cnl-brain10,155.198.100.139,24.760886430740356,1,0.6499999999999999,100.0,4.5,26fc2_00003
4,1,1,0,1,1,0,80.49000000000228,255.93000000000893,,2.5,2.0,0.0,1.89297285598418,1.309479904248877,1.309479904248877,0.08907178013424671,-0.09396496593043702,,0.171875,-0.203125,-0.203125,1705272587,,False,1,26fc2_00004,2024-01-14_22-49-47,24.11340594291687,24.11340594291687,26195,cnl-brain10,155.198.100.139,24.11340594291687,1,0.7,100.0,4.5,26fc2_00004
5,0,1,1,0,1,1,,251.22000000000875,413.7899999998654,0.75,2.5,2.25,,1.3443138219174673,0.7376718928883558,,-0.05719339923042366,0.0659442926410777,,-0.203125,0.171875,1705272587,,False,1,26fc2_00005,2024-01-14_22-49-47,23.751208782196045,23.751208782196045,26196,cnl-brain10,155.198.100.139,23.751208782196045,1,0.5,100.0,4.0,26fc2_00005
6,1,1,0,1,1,0,79.86000000000226,219.24000000000754,,2.75,2.75,0.0,1.4104496287813586,1.8004449860303535,1.8004449860303535,0.0665468515074194,-0.07198886097773816,,0.171875,-0.203125,-0.203125,1705272587,,False,1,26fc2_00006,2024-01-14_22-49-47,23.704667806625366,23.704667806625366,26362,cnl-brain10,155.198.100.139,23.704667806625366,1,0.55,100.0,4.0,26fc2_00006
7,1,1,0,1,1,0,80.9700000000023,220.6500000000076,,2.75,2.5,0.0,1.2916538467016967,1.6089455156342478,1.6089455156342478,0.07683985746715771,-0.08050060183307584,,0.171875,-0.203125,-0.203125,1705272586,,False,1,26fc2_00007,2024-01-14_22-49-46,23.300851106643677,23.300851106643677,26345,cnl-brain10,155.198.100.139,23.300851106643677,1,0.6,100.0,4.0,26fc2_00007
8,1,1,0,1,1,0,79.20000000000223,220.5600000000076,,3.0,2.75,0.0,1.685320320960163,1.5230081327526135,1.5230081327526135,0.08601958433732876,-0.08907923060208456,,0.171875,-0.203125,-0.203125,1705272588,,False,1,26fc2_00008,2024-01-14_22-49-48,25.22225046157837,25.22225046157837,26328,cnl-brain10,155.198.100.139,25.22225046157837,1,0.6499999999999999,100.0,4.0,26fc2_00008
9,1,1,0,1,1,0,81.63000000000233,251.37000000000876,,3.0,2.5,0.0,1.7539674220062662,1.3810408146959745,1.3810408146959745,0.0884178432141976,-0.09614325619220687,,0.171875,-0.203125,-0.203125,1705272587,,False,1,26fc2_00009,2024-01-14_22-49-47,23.798568964004517,23.798568964004517,26320,cnl-brain10,155.198.100.139,23.798568964004517,1,0.7,100.0,4.0,26fc2_00009
10,0,1,1,0,1,1,,254.10000000000886,419.15999999986053,0.75,3.25,2.75,,1.641666190915032,0.6308195808104884,,-0.05627295816492406,0.06263714588304403,,-0.203125,0.171875,1705272589,,False,1,26fc2_00010,2024-01-14_22-49-49,25.448915481567383,25.448915481567383,26294,cnl-brain10,155.198.100.139,25.448915481567383,1,0.5,100.0,3.5,26fc2_00010
11,1,1,0,1,1,0,79.50000000000225,252.2400000000088,,3.25,3.0,0.0,1.306843001765,1.4370654246053944,1.4370654246053944,0.06547483635346685,-0.07336621693738987,,0.171875,-0.203125,-0.203125,1705272587,,False,1,26fc2_00011,2024-01-14_22-49-47,24.26831817626953,24.26831817626953,26277,cnl-brain10,155.198.100.139,24.26831817626953,1,0.55,100.0,3.5,26fc2_00011
12,1,1,0,1,1,0,81.75000000000233,255.93000000000893,,3.25,3.0,0.0,1.7316195650712563,1.4360502021925046,1.4360502021925046,0.07327247477601795,-0.07994255022132601,,0.171875,-0.203125,-0.203125,1705272588,,False,1,26fc2_00012,2024-01-14_22-49-48,24.441649675369263,24.441649675369263,26379,cnl-brain10,155.198.100.139,24.441649675369263,1,0.6,100.0,3.5,26fc2_00012
