,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393566,,False,1,09e20_00000,2024-07-31_03-39-26,24.15449833869934,24.15449833869934,62035,cnl-brain10,155.198.100.139,24.15449833869934,1,0.3,200.0,4.5,09e20_00000
1,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393568,,False,1,09e20_00001,2024-07-31_03-39-28,26.097410440444946,26.097410440444946,62087,cnl-brain10,155.198.100.139,26.097410440444946,1,0.35,200.0,4.5,09e20_00001
2,1,0,0,1,0,0,79.89000000000226,,,1.25,0.0,0.0,1.077428464804618,1.077428464804618,1.077428464804618,0.022131962020333074,,,0.078125,0.078125,0.078125,1722393567,,False,1,09e20_00002,2024-07-31_03-39-27,24.918396949768066,24.918396949768066,62105,cnl-brain10,155.198.100.139,24.918396949768066,1,0.4,200.0,4.5,09e20_00002
3,1,0,1,1,0,1,81.51000000000232,,404.1599999998742,1.25,0.75,1.0,1.21791004201792,1.21791004201792,0.7374700918390168,0.044785370046333484,,-0.07224730314800532,0.078125,0.078125,-0.015625,1722393565,,False,1,09e20_00003,2024-07-31_03-39-25,23.135749578475952,23.135749578475952,62122,cnl-brain10,155.198.100.139,23.135749578475952,1,0.45,200.0,4.5,09e20_00003
4,1,1,0,1,1,0,80.46000000000228,253.53000000000884,,1.25,1.0,0.0,1.2799257616844217,1.2382964569819772,1.2382964569819772,0.058942030790172406,-0.08450302928526132,,0.078125,-0.109375,-0.109375,1722393567,,False,1,09e20_00004,2024-07-31_03-39-27,24.617225885391235,24.617225885391235,62127,cnl-brain10,155.198.100.139,24.617225885391235,1,0.5,200.0,4.5,09e20_00004
5,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393567,,False,1,09e20_00005,2024-07-31_03-39-27,24.911404132843018,24.911404132843018,62173,cnl-brain10,155.198.100.139,24.911404132843018,1,0.3,200.0,4.0,09e20_00005
6,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393567,,False,1,09e20_00006,2024-07-31_03-39-27,24.89383816719055,24.89383816719055,62190,cnl-brain10,155.198.100.139,24.89383816719055,1,0.35,200.0,4.0,09e20_00006
7,1,0,0,1,0,0,80.64000000000229,,,1.5,0.0,0.0,1.0551647091711984,1.0551647091711984,1.0551647091711984,0.02969753036390599,,,0.078125,0.078125,0.078125,1722393566,,False,1,09e20_00007,2024-07-31_03-39-26,24.020193815231323,24.020193815231323,62228,cnl-brain10,155.198.100.139,24.020193815231323,1,0.4,200.0,4.0,09e20_00007
8,1,1,0,1,1,0,79.89000000000226,219.09000000000754,,1.5,1.0,0.0,1.2439917123513724,1.3172047289483095,1.3172047289483095,0.05224320615604078,-0.07783829843148682,,0.078125,-0.109375,-0.109375,1722393566,,False,1,09e20_00008,2024-07-31_03-39-26,24.31327223777771,24.31327223777771,62294,cnl-brain10,155.198.100.139,24.31327223777771,1,0.45,200.0,4.0,09e20_00008
9,1,1,0,1,1,0,80.16000000000227,217.59000000000748,,1.5,1.25,0.0,1.366337539400065,1.2514317985680583,1.2514317985680583,0.0656242815345735,-0.08040438593192456,,0.078125,-0.109375,-0.109375,1722393568,,False,1,09e20_00009,2024-07-31_03-39-28,26.120057821273804,26.120057821273804,62275,cnl-brain10,155.198.100.139,26.120057821273804,1,0.5,200.0,4.0,09e20_00009
10,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393563,,False,1,09e20_00010,2024-07-31_03-39-23,21.531549215316772,21.531549215316772,62257,cnl-brain10,155.198.100.139,21.531549215316772,1,0.3,200.0,3.5,09e20_00010
11,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393568,,False,1,09e20_00011,2024-07-31_03-39-28,25.77477765083313,25.77477765083313,62311,cnl-brain10,155.198.100.139,25.77477765083313,1,0.35,200.0,3.5,09e20_00011
12,1,1,0,1,1,0,83.7300000000024,255.66000000000892,,1.75,1.25,0.0,1.0956465490029201,1.2739148473869746,1.2739148473869746,0.03038934802114035,-0.07011227656378816,,0.078125,-0.109375,-0.109375,1722393568,,False,1,09e20_00012,2024-07-31_03-39-28,25.906606674194336,25.906606674194336,62344,cnl-brain10,155.198.100.139,25.906606674194336,1,0.4,200.0,3.5,09e20_00012
