,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,4,5,8,1,2,2,35.9400000000006,284.0699999999834,536.2799999997541,2.25,4.0,22.75,1.0680186265193925,1.008223942160513,0.9519922172410947,-0.023478196925326378,-0.05109097752445546,0.014645981685865284,0.11666666666666647,-0.0833333333333337,0.016666666666666385,1740567890,,False,1,68432_00000,2025-02-26_11-04-50,36.542545557022095,36.542545557022095,988219,cnl-brain9,155.198.99.250,36.542545557022095,1,0.4,50.0,0.8,68432_00000
1,1,2,0,1,1,0,40.05000000000076,299.72999999996915,,2.0,1.75,0.0,0.9184775846871406,1.0332276669034408,1.0332276669034408,0.048236833865009654,0.0055380938488514,,0.11666666666666647,0.016666666666666385,0.016666666666666385,1740567890,,False,1,68432_00001,2025-02-26_11-04-50,36.29816269874573,36.29816269874573,988430,cnl-brain9,155.198.99.250,36.29816269874573,1,0.4,50.0,1.3,68432_00001
2,2,1,0,1,1,0,37.68000000000067,308.42999999996124,,1.25,1.0,0.0,0.9330742544490701,0.9824257161473345,0.9824257161473345,-0.06251640361219435,0.046478964203032325,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567894,,False,1,68432_00002,2025-02-26_11-04-54,40.41357111930847,40.41357111930847,988553,cnl-brain9,155.198.99.250,40.41357111930847,1,0.4,50.0,1.8,68432_00002
3,1,0,0,1,0,0,40.17000000000076,,,1.0,0.0,0.0,1.061181766135155,1.061181766135155,1.061181766135155,-0.004051283599599387,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567891,,False,1,68432_00003,2025-02-26_11-04-51,37.341553926467896,37.341553926467896,988607,cnl-brain9,155.198.99.250,37.341553926467896,1,0.4,50.0,3.0,68432_00003
4,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567890,,False,1,68432_00004,2025-02-26_11-04-50,36.40795922279358,36.40795922279358,988667,cnl-brain9,155.198.99.250,36.40795922279358,1,0.4,50.0,5.0,68432_00004
5,3,6,9,1,2,3,35.220000000000574,292.37999999997584,586.2299999997086,3.5,6.75,18.0,0.9626174048833944,0.9686975733762758,1.0702540614638971,-0.051379203181567856,-0.040883278258062594,0.038854886741960026,0.11666666666666647,-0.18333333333333357,0.016666666666666385,1740567891,,False,1,68432_00005,2025-02-26_11-04-51,37.372706174850464,37.372706174850464,988803,cnl-brain9,155.198.99.250,37.372706174850464,1,0.4,75.0,0.8,68432_00005
6,1,1,1,1,1,1,43.53000000000089,356.12999999991786,801.5999999995128,2.5,1.5,1.75,1.209180841422559,0.9707435033021058,1.0848572320230432,-0.017683653106191688,0.002305351742430961,0.01007662787524044,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567894,,False,1,68432_00006,2025-02-26_11-04-54,40.698941707611084,40.698941707611084,988840,cnl-brain9,155.198.99.250,40.698941707611084,1,0.4,75.0,1.3,68432_00006
7,1,0,0,1,0,0,37.110000000000646,,,1.5,0.0,0.75,1.0708205571088043,1.0708205571088043,1.0708205571088043,-0.0085931759260236,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567890,,False,1,68432_00007,2025-02-26_11-04-50,36.348016023635864,36.348016023635864,988839,cnl-brain9,155.198.99.250,36.348016023635864,1,0.4,75.0,1.8,68432_00007
8,1,0,0,1,0,0,34.470000000000546,,,1.0,0.0,0.0,1.171896102848914,1.171896102848914,1.171896102848914,0.02136057725591889,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567890,,False,1,68432_00008,2025-02-26_11-04-50,36.564574003219604,36.564574003219604,988838,cnl-brain9,155.198.99.250,36.564574003219604,1,0.4,75.0,3.0,68432_00008
9,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567892,,False,1,68432_00009,2025-02-26_11-04-52,38.85645937919617,38.85645937919617,988837,cnl-brain9,155.198.99.250,38.85645937919617,1,0.4,75.0,5.0,68432_00009
10,7,10,8,5,5,3,37.98000000000068,275.66999999999103,578.6099999997156,27.5,19.75,13.75,1.0158267950563244,0.9430329723719904,1.1050336897981987,0.0259782230529928,0.028983969416411792,0.0073758290488399325,0.7166666666666666,-0.5833333333333337,-0.0833333333333337,1740567894,,False,1,68432_00010,2025-02-26_11-04-54,40.43892002105713,40.43892002105713,988836,cnl-brain9,155.198.99.250,40.43892002105713,1,0.4,100.0,0.8,68432_00010
11,2,1,0,1,1,0,36.99000000000064,371.339999999904,,1.75,1.5,0.0,1.0160771383073934,0.9194351067970657,0.9194351067970657,-0.02073971380377171,-0.014229211990852697,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567894,,False,1,68432_00011,2025-02-26_11-04-54,40.79184818267822,40.79184818267822,988841,cnl-brain9,155.198.99.250,40.79184818267822,1,0.4,100.0,1.3,68432_00011
12,1,0,0,1,0,0,36.300000000000615,,,1.5,0.0,0.0,1.0288468563665034,1.0288468563665034,1.0288468563665034,-0.04053293538128244,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567894,,False,1,68432_00012,2025-02-26_11-04-54,41.111366987228394,41.111366987228394,988842,cnl-brain9,155.198.99.250,41.111366987228394,1,0.4,100.0,1.8,68432_00012
13,1,0,0,1,0,0,34.83000000000056,,,1.0,0.0,0.0,0.9219633598743793,0.9219633598743793,0.9219633598743793,-0.07659499864472519,,,0.6166666666666665,0.6166666666666665,0.6166666666666665,1740567895,,False,1,68432_00013,2025-02-26_11-04-55,41.37223768234253,41.37223768234253,988843,cnl-brain9,155.198.99.250,41.37223768234253,1,0.4,100.0,3.0,68432_00013
14,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567892,,False,1,68432_00014,2025-02-26_11-04-52,38.190836668014526,38.190836668014526,988844,cnl-brain9,155.198.99.250,38.190836668014526,1,0.4,100.0,5.0,68432_00014
15,2,3,9,1,1,2,35.43000000000058,285.599999999982,558.5099999997339,4.0,3.25,12.25,0.964062340342611,0.934166726553555,0.9404719435028208,0.04308717454880706,-0.008534009610825732,0.038830245103755434,0.11666666666666647,0.016666666666666385,0.016666666666666385,1740567891,,False,1,68432_00015,2025-02-26_11-04-51,37.47846174240112,37.47846174240112,988845,cnl-brain9,155.198.99.250,37.47846174240112,1,0.4,125.0,0.8,68432_00015
16,2,1,0,2,1,0,40.11000000000076,324.6299999999465,,1.25,1.75,0.0,1.0500077666673633,0.9724086595834084,0.9724086595834084,-0.09576970456651934,0.008155884054577012,,-0.0833333333333337,0.016666666666666385,0.016666666666666385,1740567894,,False,1,68432_00016,2025-02-26_11-04-54,40.30489730834961,40.30489730834961,988846,cnl-brain9,155.198.99.250,40.30489730834961,1,0.4,125.0,1.3,68432_00016
17,1,1,0,1,1,0,36.33000000000062,347.189999999926,,1.0,1.25,0.0,1.0340517882103326,0.8468292512326159,0.8468292512326159,-0.11245972899497225,0.001640574459127686,,0.21666666666666634,0.21666666666666634,0.21666666666666634,1740567891,,False,1,68432_00017,2025-02-26_11-04-51,37.57039713859558,37.57039713859558,988848,cnl-brain9,155.198.99.250,37.57039713859558,1,0.4,125.0,1.8,68432_00017
18,1,0,0,1,0,0,74.52000000000206,,,1.0,0.0,0.0,1.0275593909578906,1.0275593909578906,1.0275593909578906,-0.03217542206798418,,,0.21666666666666634,0.21666666666666634,0.21666666666666634,1740567893,,False,1,68432_00018,2025-02-26_11-04-53,39.39681959152222,39.39681959152222,988850,cnl-brain9,155.198.99.250,39.39681959152222,1,0.4,125.0,3.0,68432_00018
19,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567892,,False,1,68432_00019,2025-02-26_11-04-52,38.275715351104736,38.275715351104736,988851,cnl-brain9,155.198.99.250,38.275715351104736,1,0.4,125.0,5.0,68432_00019
20,4,4,8,3,1,2,33.120000000000495,322.7399999999482,572.8799999997208,8.5,4.75,14.0,1.0633954676125636,1.0294079839446095,1.0495822823285708,-0.06794755814979969,0.007382601606380046,0.0714103561432935,0.21666666666666634,-0.0833333333333337,-0.5833333333333337,1740567893,,False,1,68432_00020,2025-02-26_11-04-53,40.02699065208435,40.02699065208435,988852,cnl-brain9,155.198.99.250,40.02699065208435,1,0.4,150.0,0.8,68432_00020
