,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,7,7,9,2,2,4,48.00000000000106,283.7399999999837,551.5799999997402,4.0,20.75,38.75,1.2117557855423138,0.9342202578339981,1.027458921081772,-0.04958603613222401,-0.06422547741538676,0.2879390628796741,0.049999999999998934,-0.05000000000000071,-0.2500000000000009,1746725715,,False,1,a232c_00000,2025-05-08_18-35-15,67.92565178871155,67.92565178871155,2731099,cnl-brain9,155.198.99.250,67.92565178871155,1,0.11,0.2,0.6,a232c_00000
1,7,7,9,2,2,4,41.91000000000083,276.65999999999013,547.1699999997442,2.75,16.5,42.0,1.0607165268373153,0.9500125345395485,0.8902238876661526,-0.04802192920577264,-0.04362937107056686,0.21968327144506672,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746725713,,False,1,a232c_00001,2025-05-08_18-35-13,66.04692673683167,66.04692673683167,2731100,cnl-brain9,155.198.99.250,66.04692673683167,1,0.11,0.3,0.6,a232c_00001
2,7,7,9,2,2,4,49.1400000000011,295.88999999997264,567.9299999997253,4.25,22.75,35.0,1.1148750114965442,0.8736373286592952,0.89937991852078,0.02484624030387117,-0.07603586838085219,0.2429481409285783,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746725721,,False,1,a232c_00002,2025-05-08_18-35-21,74.17571949958801,74.17571949958801,2731101,cnl-brain9,155.198.99.250,74.17571949958801,1,0.11,0.4,0.6,a232c_00002
3,7,7,9,2,2,3,49.32000000000111,309.50999999996026,596.819999999699,4.5,30.75,45.0,1.0940161009996971,1.024015894098431,1.0945699717352284,-0.06148661957239332,-0.10944501295298092,0.22842488347406764,0.049999999999998934,-0.1500000000000008,-0.2500000000000009,1746725724,,False,1,a232c_00003,2025-05-08_18-35-24,76.73301315307617,76.73301315307617,2731102,cnl-brain9,155.198.99.250,76.73301315307617,1,0.11,0.5,0.6,a232c_00003
4,7,7,9,2,2,2,48.180000000001066,283.91999999998353,575.879999999718,11.5,34.0,39.5,0.7828608499251812,0.8431173561898713,0.9684950752172776,0.004341567295975235,-0.08176085035018676,0.30663347665103746,0.14999999999999902,0.049999999999998934,0.049999999999998934,1746725726,,False,1,a232c_00004,2025-05-08_18-35-26,78.57595443725586,78.57595443725586,2731103,cnl-brain9,155.198.99.250,78.57595443725586,1,0.11,0.6,0.6,a232c_00004
5,2,1,0,1,1,0,45.99000000000098,296.63999999997196,,1.0,1.0,0.75,0.983622307640718,1.0132067280709058,1.0132067280709058,-0.051234582832618614,0.03211094571542761,,-0.05000000000000071,-0.05000000000000071,-0.05000000000000071,1746725716,,False,1,a232c_00005,2025-05-08_18-35-16,69.49101161956787,69.49101161956787,2731104,cnl-brain9,155.198.99.250,69.49101161956787,1,0.11,0.2,0.8,a232c_00005
6,3,4,9,2,2,4,51.90000000000121,322.8599999999481,586.1099999997087,1.75,15.75,34.75,1.029902684451488,0.8912692497849265,1.086052046305587,0.011882244613574677,0.02923265026679811,0.14569106136671284,0.049999999999998934,0.049999999999998934,-0.05000000000000071,1746725723,,False,1,a232c_00006,2025-05-08_18-35-23,75.81289982795715,75.81289982795715,2731109,cnl-brain9,155.198.99.250,75.81289982795715,1,0.11,0.3,0.8,a232c_00006
7,4,6,9,1,3,3,45.84000000000098,316.97999999995346,566.009999999727,1.25,20.5,31.25,0.9484271610630826,1.2459592505945785,0.8215537497840947,-0.029359581268253,0.012520828309876553,0.1568631685162325,0.049999999999998934,-0.1500000000000008,0.049999999999998934,1746725710,,False,1,a232c_00007,2025-05-08_18-35-10,63.4502911567688,63.4502911567688,2731108,cnl-brain9,155.198.99.250,63.4502911567688,1,0.11,0.4,0.8,a232c_00007
8,6,6,9,2,2,4,45.90000000000098,314.7299999999555,567.4199999997257,3.25,21.75,38.25,0.8093587089037738,1.0939970015708425,1.0705438203612452,-0.060198079903557744,-0.13130452968669504,0.20325918086413264,0.049999999999998934,-0.1500000000000008,-0.1500000000000008,1746725725,,False,1,a232c_00008,2025-05-08_18-35-25,77.98529410362244,77.98529410362244,2731107,cnl-brain9,155.198.99.250,77.98529410362244,1,0.11,0.5,0.8,a232c_00008
9,6,7,9,2,2,3,83.85000000000241,279.17999999998784,564.2999999997286,6.5,17.25,32.5,0.8890126419698723,0.7985308529075955,1.0101105943168829,-0.02876539581125348,-0.09420187485525666,0.18670438394397415,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746725717,,False,1,a232c_00009,2025-05-08_18-35-17,70.40678071975708,70.40678071975708,2731106,cnl-brain9,155.198.99.250,70.40678071975708,1,0.11,0.6,0.8,a232c_00009
