,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,2,6,9,1,3,2,44.82000000000094,307.2899999999623,554.1899999997378,3.5,17.75,19.75,0.967540983915939,1.09528174385253,1.068997299717245,0.013288179360499752,-0.060381769494315396,0.05083003353631832,0.11666666666666647,-0.3833333333333335,-0.18333333333333357,1740568986,,False,1,f4778_00000,2025-02-26_11-23-06,38.2469642162323,38.2469642162323,1016467,cnl-brain9,155.198.99.250,38.2469642162323,1,0.4,50.0,0.8,f4778_00000
1,1,0,0,1,0,0,44.190000000000914,,,2.25,0.0,0.0,0.9336881952784178,0.9336881952784178,0.9336881952784178,0.013392619426604746,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00001,2025-02-26_11-23-08,40.3274450302124,40.3274450302124,1016501,cnl-brain9,155.198.99.250,40.3274450302124,1,0.4,50.0,1.3,f4778_00001
2,1,0,0,1,0,0,42.51000000000085,,,1.75,0.0,0.0,1.1318374368575195,1.1318374368575195,1.1318374368575195,0.004462482073943619,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740568986,,False,1,f4778_00002,2025-02-26_11-23-06,38.676209688186646,38.676209688186646,1016566,cnl-brain9,155.198.99.250,38.676209688186646,1,0.4,50.0,1.8,f4778_00002
3,1,0,0,1,0,0,114.60000000000358,,,1.0,0.0,0.0,0.9338646900207332,0.9338646900207332,0.9338646900207332,-0.004296070944198371,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568987,,False,1,f4778_00003,2025-02-26_11-23-07,39.47512364387512,39.47512364387512,1016654,cnl-brain9,155.198.99.250,39.47512364387512,1,0.4,50.0,3.0,f4778_00003
4,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568987,,False,1,f4778_00004,2025-02-26_11-23-07,39.30827236175537,39.30827236175537,1016699,cnl-brain9,155.198.99.250,39.30827236175537,1,0.4,50.0,5.0,f4778_00004
5,1,7,9,1,5,4,43.47000000000089,286.3799999999813,571.499999999722,3.25,20.75,18.0,1.0005484896370653,0.9422417956333647,1.0652055026719285,0.00839858943014904,-0.049027356362886465,0.025314231146642996,0.11666666666666647,-0.6833333333333333,-0.0833333333333337,1740568987,,False,1,f4778_00005,2025-02-26_11-23-07,39.70041751861572,39.70041751861572,1016698,cnl-brain9,155.198.99.250,39.70041751861572,1,0.4,75.0,0.8,f4778_00005
6,1,0,0,1,0,0,44.760000000000936,,,2.0,0.0,0.0,1.1355906257124078,1.1355906257124078,1.1355906257124078,-0.0028508315526407646,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740568986,,False,1,f4778_00006,2025-02-26_11-23-06,38.627214431762695,38.627214431762695,1016697,cnl-brain9,155.198.99.250,38.627214431762695,1,0.4,75.0,1.3,f4778_00006
7,1,0,0,1,0,0,45.69000000000097,,,1.5,0.0,0.0,0.9867024453853709,0.9867024453853709,0.9867024453853709,0.00930067986956673,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00007,2025-02-26_11-23-08,40.83738398551941,40.83738398551941,1016696,cnl-brain9,155.198.99.250,40.83738398551941,1,0.4,75.0,1.8,f4778_00007
8,1,0,0,1,0,0,44.10000000000091,,,1.0,0.0,0.0,0.9212703067006861,0.9212703067006861,0.9212703067006861,0.0016975757251818102,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568990,,False,1,f4778_00008,2025-02-26_11-23-10,42.255406618118286,42.255406618118286,1016700,cnl-brain9,155.198.99.250,42.255406618118286,1,0.4,75.0,3.0,f4778_00008
9,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568985,,False,1,f4778_00009,2025-02-26_11-23-05,37.9917516708374,37.9917516708374,1016701,cnl-brain9,155.198.99.250,37.9917516708374,1,0.4,75.0,5.0,f4778_00009
10,1,6,9,1,5,4,43.8300000000009,340.97999999993164,587.1599999997078,3.5,20.25,20.75,1.0019874823252628,1.0921443559140624,1.0132254512073033,0.013577722915214308,-0.059765227443635105,0.0013318928536953933,0.11666666666666647,-0.7833333333333334,-0.0833333333333337,1740568988,,False,1,f4778_00010,2025-02-26_11-23-08,40.730777740478516,40.730777740478516,1016702,cnl-brain9,155.198.99.250,40.730777740478516,1,0.4,100.0,0.8,f4778_00010
11,1,0,0,1,0,0,43.11000000000087,,,2.25,0.0,0.0,0.9541372844628969,0.9541372844628969,0.9541372844628969,0.007531196630016224,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00011,2025-02-26_11-23-08,40.79992699623108,40.79992699623108,1016703,cnl-brain9,155.198.99.250,40.79992699623108,1,0.4,100.0,1.3,f4778_00011
12,1,0,0,1,0,0,43.170000000000876,,,1.5,0.0,0.0,0.9602603967179326,0.9602603967179326,0.9602603967179326,0.005834739977735648,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00012,2025-02-26_11-23-08,40.326531648635864,40.326531648635864,1016704,cnl-brain9,155.198.99.250,40.326531648635864,1,0.4,100.0,1.8,f4778_00012
13,1,0,0,1,0,0,43.26000000000088,,,1.0,0.0,0.0,0.9303855302357309,0.9303855302357309,0.9303855302357309,-0.006723015153107248,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00013,2025-02-26_11-23-08,40.43345808982849,40.43345808982849,1016705,cnl-brain9,155.198.99.250,40.43345808982849,1,0.4,100.0,3.0,f4778_00013
14,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568986,,False,1,f4778_00014,2025-02-26_11-23-06,38.06547713279724,38.06547713279724,1016706,cnl-brain9,155.198.99.250,38.06547713279724,1,0.4,100.0,5.0,f4778_00014
15,1,8,10,1,6,3,45.030000000000946,285.9299999999817,570.6599999997228,3.25,21.5,20.5,1.0009548898580682,1.0853951651122549,0.9238420035503436,0.011248810925833297,-0.07010415508439416,0.0031141860631149765,0.11666666666666647,-1.0833333333333337,-0.0833333333333337,1740568987,,False,1,f4778_00015,2025-02-26_11-23-07,39.784642696380615,39.784642696380615,1016707,cnl-brain9,155.198.99.250,39.784642696380615,1,0.4,125.0,0.8,f4778_00015
16,1,0,0,1,0,0,43.8900000000009,,,2.25,0.0,0.0,0.9360558464047406,0.9360558464047406,0.9360558464047406,0.0012636160280630193,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568990,,False,1,f4778_00016,2025-02-26_11-23-10,42.42460060119629,42.42460060119629,1016708,cnl-brain9,155.198.99.250,42.42460060119629,1,0.4,125.0,1.3,f4778_00016
17,1,0,0,1,0,0,44.88000000000094,,,1.75,0.0,0.0,0.9627297795435691,0.9627297795435691,0.9627297795435691,0.006900737652811628,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568985,,False,1,f4778_00017,2025-02-26_11-23-05,37.668328046798706,37.668328046798706,1016709,cnl-brain9,155.198.99.250,37.668328046798706,1,0.4,125.0,1.8,f4778_00017
18,1,0,0,1,0,0,80.49000000000228,,,1.0,0.0,0.0,0.9208493710656878,0.9208493710656878,0.9208493710656878,-0.0019049778215534108,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568986,,False,1,f4778_00018,2025-02-26_11-23-06,38.37028527259827,38.37028527259827,1016710,cnl-brain9,155.198.99.250,38.37028527259827,1,0.4,125.0,3.0,f4778_00018
19,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568990,,False,1,f4778_00019,2025-02-26_11-23-10,41.98461437225342,41.98461437225342,1016711,cnl-brain9,155.198.99.250,41.98461437225342,1,0.4,125.0,5.0,f4778_00019
20,3,7,10,2,6,3,43.56000000000089,343.0799999999297,591.7799999997036,14.5,24.0,23.0,0.9934966924883635,0.9640280312682028,0.930846947763898,0.016628845903324585,-0.06909375811215757,-8.257671004341383e-05,0.11666666666666647,-0.8833333333333335,-0.0833333333333337,1740568987,,False,1,f4778_00020,2025-02-26_11-23-07,39.58886408805847,39.58886408805847,1016712,cnl-brain9,155.198.99.250,39.58886408805847,1,0.4,150.0,0.8,f4778_00020
21,1,0,0,1,0,0,44.91000000000094,,,2.25,0.0,0.0,0.9653680344647894,0.9653680344647894,0.9653680344647894,0.011051298432222412,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568989,,False,1,f4778_00021,2025-02-26_11-23-09,41.75771927833557,41.75771927833557,1016713,cnl-brain9,155.198.99.250,41.75771927833557,1,0.4,150.0,1.3,f4778_00021
22,9,0,0,8,0,0,42.84000000000086,,,150.25,0.0,0.0,1.174037910976141,1.039644208347007,1.039644208347007,0.025749692134396263,,,1.6166666666666667,1.6166666666666667,1.6166666666666667,1740568987,,False,1,f4778_00022,2025-02-26_11-23-07,39.61015176773071,39.61015176773071,1016714,cnl-brain9,155.198.99.250,39.61015176773071,1,0.4,150.0,1.8,f4778_00022
23,1,0,0,1,0,0,188.04000000000636,,,1.0,0.0,0.0,1.1327740680945304,1.1327740680945304,1.1327740680945304,-0.015398184294247885,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740568988,,False,1,f4778_00023,2025-02-26_11-23-08,40.494935274124146,40.494935274124146,1016715,cnl-brain9,155.198.99.250,40.494935274124146,1,0.4,150.0,3.0,f4778_00023
24,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568989,,False,1,f4778_00024,2025-02-26_11-23-09,41.39760756492615,41.39760756492615,1016716,cnl-brain9,155.198.99.250,41.39760756492615,1,0.4,150.0,5.0,f4778_00024
25,3,7,8,1,2,2,43.23000000000088,322.0799999999488,606.77999999969,3.25,9.0,8.0,0.9791833785132271,0.8826562588954788,0.8849229811894129,0.009429109884254716,-0.05790098718785641,0.05218411283147528,0.11666666666666647,-0.18333333333333357,0.016666666666666385,1740568989,,False,1,f4778_00025,2025-02-26_11-23-09,41.57306528091431,41.57306528091431,1016717,cnl-brain9,155.198.99.250,41.57306528091431,1,0.5,50.0,0.8,f4778_00025
26,2,1,0,1,1,0,43.35000000000088,486.3899999997994,,2.25,1.0,0.0,1.1732602211784189,1.0245667152825852,1.0245667152825852,0.012036412026844356,0.032970593865814024,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740568989,,False,1,f4778_00026,2025-02-26_11-23-09,41.86145329475403,41.86145329475403,1016718,cnl-brain9,155.198.99.250,41.86145329475403,1,0.5,50.0,1.3,f4778_00026
27,1,0,1,1,0,1,43.35000000000088,,854.2799999994648,1.75,0.0,1.25,0.9337264570313868,0.9337264570313868,1.0543678820768725,0.007125200620886174,,-0.03833892413041773,0.11666666666666647,0.11666666666666647,-0.0833333333333337,1740568989,,False,1,f4778_00027,2025-02-26_11-23-09,40.996840953826904,40.996840953826904,1016719,cnl-brain9,155.198.99.250,40.996840953826904,1,0.5,50.0,1.8,f4778_00027
28,1,0,0,1,0,0,44.730000000000935,,,1.0,0.0,0.0,1.1407152976548542,1.1407152976548542,1.1407152976548542,0.004444248736030776,,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740568988,,False,1,f4778_00028,2025-02-26_11-23-08,40.09383416175842,40.09383416175842,1016720,cnl-brain9,155.198.99.250,40.09383416175842,1,0.5,50.0,3.0,f4778_00028
29,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568989,,False,1,f4778_00029,2025-02-26_11-23-09,41.05559420585632,41.05559420585632,1016721,cnl-brain9,155.198.99.250,41.05559420585632,1,0.5,50.0,5.0,f4778_00029
30,2,7,9,1,3,3,43.950000000000905,302.099999999967,587.6699999997073,3.25,11.25,12.25,0.998727757637923,1.018339484504506,1.123686756898261,0.00720664854465225,-0.0472774903307398,0.05485679377392394,0.11666666666666647,-0.3833333333333335,-0.0833333333333337,1740568989,,False,1,f4778_00030,2025-02-26_11-23-09,41.642191648483276,41.642191648483276,1016722,cnl-brain9,155.198.99.250,41.642191648483276,1,0.5,75.0,0.8,f4778_00030
31,1,1,0,1,1,0,42.99000000000087,319.73999999995095,,2.25,1.5,0.0,0.9804228059374849,1.1362935106592085,1.1362935106592085,0.010478986281369895,-0.011865395193966677,,0.11666666666666647,-0.0833333333333337,-0.0833333333333337,1740568991,,False,1,f4778_00031,2025-02-26_11-23-11,42.930036544799805,42.930036544799805,1016723,cnl-brain9,155.198.99.250,42.930036544799805,1,0.5,75.0,1.3,f4778_00031
32,1,0,0,1,0,0,43.50000000000089,,,1.75,0.0,0.0,0.9577774435354883,0.9577774435354883,0.9577774435354883,0.012017121745288017,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568989,,False,1,f4778_00032,2025-02-26_11-23-09,41.79334259033203,41.79334259033203,1016724,cnl-brain9,155.198.99.250,41.79334259033203,1,0.5,75.0,1.8,f4778_00032
33,1,0,0,1,0,0,44.55000000000093,,,1.0,0.0,0.0,0.9328596614002799,0.9328596614002799,0.9328596614002799,0.0009435683111860271,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00033,2025-02-26_11-23-08,40.32693696022034,40.32693696022034,1016725,cnl-brain9,155.198.99.250,40.32693696022034,1,0.5,75.0,3.0,f4778_00033
34,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568988,,False,1,f4778_00034,2025-02-26_11-23-08,40.362143754959106,40.362143754959106,1016726,cnl-brain9,155.198.99.250,40.362143754959106,1,0.5,75.0,5.0,f4778_00034
35,2,7,9,1,3,3,43.8000000000009,285.65999999998195,568.1699999997251,3.5,10.75,11.75,0.9857055945981048,0.9361191770754484,1.0657896654872936,0.015505177043251717,-0.05912743203602866,0.04618905674765461,0.11666666666666647,-0.3833333333333335,-0.0833333333333337,1740568988,,False,1,f4778_00035,2025-02-26_11-23-08,39.93093919754028,39.93093919754028,1016727,cnl-brain9,155.198.99.250,39.93093919754028,1,0.5,100.0,0.8,f4778_00035
36,1,1,0,1,1,0,43.26000000000088,393.8099999998836,,2.25,1.0,0.0,0.9393258808100281,0.9438144848329469,0.9438144848329469,0.007294416827831718,0.009587070090837146,,0.11666666666666647,0.016666666666666385,0.016666666666666385,1740568988,,False,1,f4778_00036,2025-02-26_11-23-08,40.84746813774109,40.84746813774109,1016728,cnl-brain9,155.198.99.250,40.84746813774109,1,0.5,100.0,1.3,f4778_00036
37,1,0,0,1,0,0,44.28000000000092,,,1.5,0.0,0.0,0.9332522398428343,0.9332522398428343,0.9332522398428343,0.007116654224783581,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568987,,False,1,f4778_00037,2025-02-26_11-23-07,39.75437378883362,39.75437378883362,1016729,cnl-brain9,155.198.99.250,39.75437378883362,1,0.5,100.0,1.8,f4778_00037
38,1,0,0,1,0,0,43.26000000000088,,,1.0,0.0,0.0,0.9212889505564559,0.9212889505564559,0.9212889505564559,-0.008511925409120602,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00038,2025-02-26_11-23-08,40.54043483734131,40.54043483734131,1016731,cnl-brain9,155.198.99.250,40.54043483734131,1,0.5,100.0,3.0,f4778_00038
39,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568990,,False,1,f4778_00039,2025-02-26_11-23-10,42.51864218711853,42.51864218711853,1016733,cnl-brain9,155.198.99.250,42.51864218711853,1,0.5,100.0,5.0,f4778_00039
40,4,7,10,2,4,3,44.79000000000094,287.30999999998045,568.5599999997247,9.0,16.25,12.75,0.9581932521967776,0.9681163931965903,1.0300943441220196,0.007844836464738325,-0.06427683307689991,0.018702902904683905,0.11666666666666647,-0.5833333333333337,-0.0833333333333337,1740568989,,False,1,f4778_00040,2025-02-26_11-23-09,41.15765404701233,41.15765404701233,1016734,cnl-brain9,155.198.99.250,41.15765404701233,1,0.5,125.0,0.8,f4778_00040
41,1,0,0,1,0,0,43.26000000000088,,,2.25,0.0,0.0,0.9433062386420663,0.9433062386420663,0.9433062386420663,0.006057005088034417,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568989,,False,1,f4778_00041,2025-02-26_11-23-09,41.598337173461914,41.598337173461914,1016735,cnl-brain9,155.198.99.250,41.598337173461914,1,0.5,125.0,1.3,f4778_00041
42,1,0,0,1,0,0,43.680000000000895,,,1.5,0.0,0.0,0.9680945201110838,0.9680945201110838,0.9680945201110838,0.008679265248856094,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740568988,,False,1,f4778_00042,2025-02-26_11-23-08,40.51095747947693,40.51095747947693,1016740,cnl-brain9,155.198.99.250,40.51095747947693,1,0.5,125.0,1.8,f4778_00042
