,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,6,6,9,2,2,3,54.3300000000013,309.2699999999605,599.6699999996964,11.75,21.0,36.0,1.182895092622671,0.996158208150616,0.9722363231844112,-0.004457198307725729,-0.08701415750394803,0.24972575970102362,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727460,,False,1,a7eb7_00000,2025-05-08_19-04-20,85.35669684410095,85.35669684410095,2777655,cnl-brain9,155.198.99.250,85.35669684410095,1,0.11,0.2,0.6,a7eb7_00000
1,6,5,9,2,1,3,53.700000000001275,331.4399999999403,575.1899999997187,11.25,21.75,33.75,1.219510031113057,1.182061628505909,0.9663311881705406,-0.0027963467795575347,-0.08952655430318934,0.27113826036766886,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727451,,False,1,a7eb7_00001,2025-05-08_19-04-11,76.53796648979187,76.53796648979187,2777656,cnl-brain9,155.198.99.250,76.53796648979187,1,0.11,0.3,0.6,a7eb7_00001
2,6,6,9,2,2,3,57.0000000000014,310.82999999995906,596.9999999996988,11.25,22.5,36.5,1.1490343806771308,0.9518168201873882,1.1192103227761463,-0.008115862838563359,-0.0943656820219343,0.24926295367853868,0.049999999999998934,-0.05000000000000071,-0.2500000000000009,1746727452,,False,1,a7eb7_00002,2025-05-08_19-04-12,77.9987587928772,77.9987587928772,2777657,cnl-brain9,155.198.99.250,77.9987587928772,1,0.11,0.4,0.6,a7eb7_00002
3,6,5,9,2,2,3,55.41000000000134,333.2399999999387,582.9899999997116,13.0,23.0,34.25,1.1702004908548331,1.1561860251006515,0.9517089980282483,-0.004080434092166296,-0.08521257310277441,0.26858335934135624,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727447,,False,1,a7eb7_00003,2025-05-08_19-04-07,72.98015332221985,72.98015332221985,2777658,cnl-brain9,155.198.99.250,72.98015332221985,1,0.11,0.5,0.6,a7eb7_00003
4,6,6,9,2,2,3,57.60000000000142,310.40999999995944,596.2199999996996,12.75,23.75,36.5,1.1819586523488717,0.9603764781427099,1.135147590497315,-0.004973722390162916,-0.08166754243732877,0.25481457837751886,0.049999999999998934,-0.05000000000000071,-0.2500000000000009,1746727458,,False,1,a7eb7_00004,2025-05-08_19-04-18,83.91103911399841,83.91103911399841,2777659,cnl-brain9,155.198.99.250,83.91103911399841,1,0.11,0.6,0.6,a7eb7_00004
5,2,0,0,1,0,0,55.35000000000134,,,1.0,0.0,0.0,0.9384620468784379,0.9384620468784379,0.9384620468784379,-0.004950026129578511,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746727450,,False,1,a7eb7_00005,2025-05-08_19-04-10,75.81147170066833,75.81147170066833,2777664,cnl-brain9,155.198.99.250,75.81147170066833,1,0.11,0.2,0.8,a7eb7_00005
6,2,1,0,2,1,0,55.71000000000135,333.2399999999387,,1.25,1.0,0.0,0.9529555384409281,0.833954331347404,0.833954331347404,-0.009095846694581411,0.013130539509013772,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746727447,,False,1,a7eb7_00006,2025-05-08_19-04-07,72.81245470046997,72.81245470046997,2777663,cnl-brain9,155.198.99.250,72.81245470046997,1,0.11,0.3,0.8,a7eb7_00006
7,3,5,9,2,1,3,55.38000000000134,335.069999999937,581.0699999997133,1.75,15.25,27.5,0.9226481618343598,0.8388879227784711,0.8729034519110709,-0.009140011542699611,-0.0026547683255713217,0.13179542423049506,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727464,,False,1,a7eb7_00007,2025-05-08_19-04-24,89.8613350391388,89.8613350391388,2777662,cnl-brain9,155.198.99.250,89.8613350391388,1,0.11,0.4,0.8,a7eb7_00007
8,3,6,9,2,2,2,54.96000000000132,307.9199999999617,595.5299999997002,2.0,18.75,34.75,0.9486666778094656,0.7181417692759579,0.9066216085200871,-0.004136155433491329,-0.014196775257904193,0.12182297089874483,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727457,,False,1,a7eb7_00008,2025-05-08_19-04-17,82.29995727539062,82.29995727539062,2777661,cnl-brain9,155.198.99.250,82.29995727539062,1,0.11,0.5,0.8,a7eb7_00008
9,5,6,9,2,2,3,55.44000000000134,308.7899999999609,597.3299999996985,7.5,21.0,35.25,0.9400560089334631,0.8435130910959987,0.8557454727274733,-0.001311424747719947,-0.09105156340277087,0.1957374142780739,0.049999999999998934,-0.05000000000000071,0.049999999999998934,1746727448,,False,1,a7eb7_00009,2025-05-08_19-04-08,73.42184376716614,73.42184376716614,2777660,cnl-brain9,155.198.99.250,73.42184376716614,1,0.11,0.6,0.8,a7eb7_00009
10,1,0,0,1,0,0,57.630000000001424,,,1.0,0.0,0.0,0.9756261982964067,0.9756261982964067,0.9756261982964067,-0.003644303813185701,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746727448,,False,1,a7eb7_00010,2025-05-08_19-04-08,73.63822817802429,73.63822817802429,2777665,cnl-brain9,155.198.99.250,73.63822817802429,1,0.11,0.2,1.0,a7eb7_00010
11,1,1,0,1,1,0,54.96000000000132,413.129999999866,,1.25,1.0,0.0,0.9523694492815595,1.1806380755329733,1.1806380755329733,-0.010210109397355893,-0.0029752646876968214,,0.049999999999998934,-0.05000000000000071,-0.05000000000000071,1746727452,,False,1,a7eb7_00011,2025-05-08_19-04-12,77.43400359153748,77.43400359153748,2777666,cnl-brain9,155.198.99.250,77.43400359153748,1,0.11,0.3,1.0,a7eb7_00011
12,2,0,0,2,0,0,55.62000000000135,,,1.5,0.0,0.0,0.9474654987958988,0.9474654987958988,0.9474654987958988,0.0010701248135660535,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746727447,,False,1,a7eb7_00012,2025-05-08_19-04-07,73.04106092453003,73.04106092453003,2777667,cnl-brain9,155.198.99.250,73.04106092453003,1,0.11,0.4,1.0,a7eb7_00012
13,2,0,0,2,0,0,57.0000000000014,,,1.75,0.75,0.75,0.9534038149057702,0.9534038149057702,0.9534038149057702,0.0008573403084213282,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1746727453,,False,1,a7eb7_00013,2025-05-08_19-04-13,78.37115669250488,78.37115669250488,2777668,cnl-brain9,155.198.99.250,78.37115669250488,1,0.11,0.5,1.0,a7eb7_00013
