,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394287,,False,1,b6dad_00000,2024-07-31_03-51-27,24.81530523300171,24.81530523300171,71191,cnl-brain10,155.198.100.139,24.81530523300171,1,0.3,200.0,4.5,b6dad_00000
1,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394286,,False,1,b6dad_00001,2024-07-31_03-51-26,24.40975260734558,24.40975260734558,71219,cnl-brain10,155.198.100.139,24.40975260734558,1,0.35,200.0,4.5,b6dad_00001
2,1,1,0,1,1,0,79.71000000000225,251.67000000000877,,1.25,1.25,0.0,0.896173656556354,0.8553932420581616,0.8553932420581616,0.022986069710374424,-0.028310416115717718,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394287,,False,1,b6dad_00002,2024-07-31_03-51-27,25.490272760391235,25.490272760391235,71222,cnl-brain10,155.198.100.139,25.490272760391235,1,0.4,200.0,4.5,b6dad_00002
3,1,1,0,1,1,0,79.62000000000225,252.3900000000088,,1.25,1.5,0.0,1.0668490465093388,0.7808571792746595,0.7808571792746595,0.044517164614460814,-0.04790159768353641,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00003,2024-07-31_03-51-26,24.454323768615723,24.454323768615723,71276,cnl-brain10,155.198.100.139,24.454323768615723,1,0.45,200.0,4.5,b6dad_00003
4,1,1,0,1,1,0,76.71000000000214,220.6200000000076,,1.25,1.5,0.0,1.0927877287857395,1.1511830334037014,1.1511830334037014,0.06065624974904438,-0.06201450543045561,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394287,,False,1,b6dad_00004,2024-07-31_03-51-27,24.95469570159912,24.95469570159912,71275,cnl-brain10,155.198.100.139,24.95469570159912,1,0.5,200.0,4.5,b6dad_00004
5,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394286,,False,1,b6dad_00005,2024-07-31_03-51-26,24.29421830177307,24.29421830177307,71329,cnl-brain10,155.198.100.139,24.29421830177307,1,0.3,200.0,4.0,b6dad_00005
6,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394285,,False,1,b6dad_00006,2024-07-31_03-51-25,23.60734486579895,23.60734486579895,71382,cnl-brain10,155.198.100.139,23.60734486579895,1,0.35,200.0,4.0,b6dad_00006
7,1,1,0,1,1,0,79.32000000000224,251.79000000000877,,1.25,1.5,0.0,0.8376741138428286,0.868348964678743,0.868348964678743,0.023592085105711313,-0.031173932706827223,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00007,2024-07-31_03-51-26,24.24770975112915,24.24770975112915,71417,cnl-brain10,155.198.100.139,24.24770975112915,1,0.4,200.0,4.0,b6dad_00007
8,1,1,0,1,1,0,78.1500000000022,251.88000000000878,,1.5,1.75,0.0,0.990430283371658,0.7529053697128256,0.7529053697128256,0.04373113671441714,-0.04766147359958617,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00008,2024-07-31_03-51-26,24.427343130111694,24.427343130111694,71418,cnl-brain10,155.198.100.139,24.427343130111694,1,0.45,200.0,4.0,b6dad_00008
9,1,1,1,1,1,1,78.4800000000022,218.55000000000751,387.9899999998889,1.5,1.75,1.0,1.1592673122866686,1.2472189954675923,1.178283659798016,0.06381433216899357,-0.0642210976872446,0.07516707884330531,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394287,,False,1,b6dad_00009,2024-07-31_03-51-27,25.110124349594116,25.110124349594116,71452,cnl-brain10,155.198.100.139,25.110124349594116,1,0.5,200.0,4.0,b6dad_00009
10,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394286,,False,1,b6dad_00010,2024-07-31_03-51-26,24.898757934570312,24.898757934570312,71457,cnl-brain10,155.198.100.139,24.898757934570312,1,0.3,200.0,3.5,b6dad_00010
11,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394287,,False,1,b6dad_00011,2024-07-31_03-51-27,25.5311439037323,25.5311439037323,71458,cnl-brain10,155.198.100.139,25.5311439037323,1,0.35,200.0,3.5,b6dad_00011
12,1,1,0,1,1,0,81.48000000000232,253.62000000000884,,1.5,1.75,0.0,0.9055794411337232,0.8486527212856939,0.8486527212856939,0.028651509187788304,-0.03118203329329894,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00012,2024-07-31_03-51-26,24.56562352180481,24.56562352180481,71459,cnl-brain10,155.198.100.139,24.56562352180481,1,0.4,200.0,3.5,b6dad_00012
13,1,1,0,1,1,0,79.41000000000224,255.78000000000893,,1.75,2.0,0.0,1.0807192515132025,1.2045787902759837,1.2045787902759837,0.05106171663113562,-0.05256601495772273,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394286,,False,1,b6dad_00013,2024-07-31_03-51-26,24.152053117752075,24.152053117752075,71492,cnl-brain10,155.198.100.139,24.152053117752075,1,0.45,200.0,3.5,b6dad_00013
14,1,1,1,1,1,1,78.3600000000022,220.05000000000757,386.60999999989014,2.0,2.25,1.25,1.1589580341102237,1.193879697233327,1.2722987249098574,0.06248602990156488,-0.0603694330027289,0.08079522720988264,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394286,,False,1,b6dad_00014,2024-07-31_03-51-26,24.49425482749939,24.49425482749939,71498,cnl-brain10,155.198.100.139,24.49425482749939,1,0.5,200.0,3.5,b6dad_00014
15,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394287,,False,1,b6dad_00015,2024-07-31_03-51-27,25.80544352531433,25.80544352531433,71495,cnl-brain10,155.198.100.139,25.80544352531433,1,0.3,200.0,3.0,b6dad_00015
16,1,1,0,1,1,0,81.0000000000023,251.85000000000878,,1.5,1.75,0.0,1.2782202898169595,1.07387857551563,1.07387857551563,-0.012058125069256131,-0.0014287802936229221,,0.005208333333333315,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00016,2024-07-31_03-51-26,24.129774808883667,24.129774808883667,71494,cnl-brain10,155.198.100.139,24.129774808883667,1,0.35,200.0,3.0,b6dad_00016
17,1,1,0,1,1,0,79.83000000000226,218.4900000000075,,2.0,2.25,0.0,0.9233345576885417,0.7956541771474135,0.7956541771474135,0.03531321717865288,-0.032473629872559306,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394285,,False,1,b6dad_00017,2024-07-31_03-51-25,23.643722772598267,23.643722772598267,71493,cnl-brain10,155.198.100.139,23.643722772598267,1,0.4,200.0,3.0,b6dad_00017
18,1,1,1,1,1,1,80.58000000000229,253.98000000000886,422.0399999998579,2.25,2.5,1.25,1.0901177543951697,0.7398227958488185,0.7398227958488185,0.050228977827364574,-0.05200062694063268,0.07721166363470011,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394287,,False,1,b6dad_00018,2024-07-31_03-51-27,25.104129791259766,25.104129791259766,71513,cnl-brain10,155.198.100.139,25.104129791259766,1,0.45,200.0,3.0,b6dad_00018
19,1,2,1,1,2,1,78.1800000000022,217.53000000000748,383.6699999998928,2.5,2.75,1.5,1.1570356370994632,1.1858929272751573,1.260099689941838,0.06226571852584989,-0.06642843522952802,0.08440767528315873,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394287,,False,1,b6dad_00019,2024-07-31_03-51-27,25.561362981796265,25.561362981796265,71514,cnl-brain10,155.198.100.139,25.561362981796265,1,0.5,200.0,3.0,b6dad_00019
20,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394285,,False,1,b6dad_00020,2024-07-31_03-51-25,23.874702215194702,23.874702215194702,71543,cnl-brain10,155.198.100.139,23.874702215194702,1,0.3,200.0,2.5,b6dad_00020
21,1,1,0,1,1,0,77.01000000000215,221.1300000000076,,1.75,2.25,0.0,1.4355600641702613,1.0964386282495158,1.0964386282495158,-0.005304153441839099,-0.004870631572687634,,0.005208333333333315,-0.03645833333333337,-0.03645833333333337,1722394285,,False,1,b6dad_00021,2024-07-31_03-51-25,23.06035089492798,23.06035089492798,71545,cnl-brain10,155.198.100.139,23.06035089492798,1,0.35,200.0,2.5,b6dad_00021
22,1,1,0,1,1,0,79.17000000000223,252.7500000000088,,2.5,2.75,0.0,0.9297972247054108,0.8467058121429036,0.8467058121429036,0.032713240546957456,-0.03337753911844832,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394285,,False,1,b6dad_00022,2024-07-31_03-51-25,23.41436505317688,23.41436505317688,71546,cnl-brain10,155.198.100.139,23.41436505317688,1,0.4,200.0,2.5,b6dad_00022
23,1,1,1,1,1,1,78.51000000000221,215.4000000000074,420.869999999859,3.0,3.5,1.75,1.1415130547612744,1.2526579561060383,1.2526579561060383,0.053230026027705435,-0.0521650661618015,0.08503575169536992,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394287,,False,1,b6dad_00023,2024-07-31_03-51-27,25.77235770225525,25.77235770225525,71548,cnl-brain10,155.198.100.139,25.77235770225525,1,0.45,200.0,2.5,b6dad_00023
24,1,1,1,1,1,1,77.37000000000216,214.74000000000737,418.82999999986083,3.5,3.75,2.25,1.1898146720242457,1.0843385140014696,1.0843385140014696,0.06757533677342753,-0.0633914197050699,0.08323804596682449,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394288,,False,1,b6dad_00024,2024-07-31_03-51-28,26.59539294242859,26.59539294242859,71541,cnl-brain10,155.198.100.139,26.59539294242859,1,0.5,200.0,2.5,b6dad_00024
25,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394284,,False,1,b6dad_00025,2024-07-31_03-51-24,22.457011461257935,22.457011461257935,71538,cnl-brain10,155.198.100.139,22.457011461257935,1,0.3,200.0,2.0,b6dad_00025
26,1,1,0,1,1,0,82.14000000000235,254.31000000000887,,2.5,2.75,0.0,0.8196394889744815,0.9218863170313097,0.9218863170313097,0.007254434328962889,-0.0075722740407204725,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00026,2024-07-31_03-51-26,24.831199884414673,24.831199884414673,71518,cnl-brain10,155.198.100.139,24.831199884414673,1,0.35,200.0,2.0,b6dad_00026
27,1,1,1,1,1,1,78.2100000000022,215.8800000000074,422.99999999985704,3.5,4.0,1.75,0.9791084316017933,0.7963487221687463,0.7963487221687463,0.03620763169150548,-0.03599035675474116,0.04163975695159139,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394287,,False,1,b6dad_00027,2024-07-31_03-51-27,24.931912899017334,24.931912899017334,71515,cnl-brain10,155.198.100.139,24.931912899017334,1,0.4,200.0,2.0,b6dad_00027
28,1,1,2,1,1,2,77.31000000000216,218.1000000000075,384.59999999989196,4.5,4.5,3.25,1.0810289034506495,1.3060534352951305,1.3974917003461378,0.05648740483565684,-0.05543666106842249,0.09184789678910477,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394286,,False,1,b6dad_00028,2024-07-31_03-51-26,24.813642024993896,24.813642024993896,71552,cnl-brain10,155.198.100.139,24.813642024993896,1,0.45,200.0,2.0,b6dad_00028
29,1,2,2,1,1,2,78.63000000000221,219.06000000000753,387.35999999988945,4.75,5.5,4.0,1.2241070906771319,1.1755161802500602,1.2582411865194514,0.071578277844429,-0.060566706074296484,0.10427487958174508,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394288,,False,1,b6dad_00029,2024-07-31_03-51-28,26.497045040130615,26.497045040130615,71550,cnl-brain10,155.198.100.139,26.497045040130615,1,0.5,200.0,2.0,b6dad_00029
30,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394285,,False,1,b6dad_00030,2024-07-31_03-51-25,23.246402502059937,23.246402502059937,71567,cnl-brain10,155.198.100.139,23.246402502059937,1,0.3,250.0,4.5,b6dad_00030
