,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,6,6,10,1,1,3,35.46000000000058,305.1899999999642,574.2899999997195,2.5,4.0,16.25,1.0677479699283745,1.0305472640102256,1.047348173314549,-0.06237511250134631,0.0613356761187025,0.01965923469481501,0.016666666666666385,-0.11666666666666714,-0.01666666666666705,1740568359,,False,1,7fa3c_00000,2025-02-26_11-12-39,36.92933416366577,36.92933416366577,998267,cnl-brain9,155.198.99.250,36.92933416366577,1,0.4,50.0,0.8,7fa3c_00000
1,1,3,1,1,1,1,35.220000000000574,310.7999999999591,576.6299999997174,2.25,1.75,1.5,1.0176145112018415,1.0577577498026351,0.9884173468128299,0.015460714496727146,0.0829825227093437,-0.007969998448906335,0.11666666666666647,-0.516666666666667,-0.11666666666666714,1740568359,,False,1,7fa3c_00001,2025-02-26_11-12-39,36.88494324684143,36.88494324684143,998456,cnl-brain9,155.198.99.250,36.88494324684143,1,0.4,50.0,1.3,7fa3c_00001
2,1,2,1,1,2,1,37.620000000000665,318.8999999999517,586.979999999708,1.5,1.5,1.5,1.035528010789689,1.019688772756793,0.947755494340857,-0.02924570447039132,0.11583058258376866,-0.007833913535281845,0.21666666666666634,-0.3166666666666669,0.08333333333333304,1740568360,,False,1,7fa3c_00002,2025-02-26_11-12-40,37.939725160598755,37.939725160598755,998557,cnl-brain9,155.198.99.250,37.939725160598755,1,0.4,50.0,1.8,7fa3c_00002
3,1,1,0,1,1,0,71.61000000000195,293.1899999999751,,1.0,1.0,0.75,1.101769929881301,1.008709820874377,1.008709820874377,-0.06092762551165731,-0.019134876641163423,,-0.0833333333333337,-0.01666666666666705,-0.01666666666666705,1740568359,,False,1,7fa3c_00003,2025-02-26_11-12-39,36.553462743759155,36.553462743759155,998622,cnl-brain9,155.198.99.250,36.553462743759155,1,0.4,50.0,3.0,7fa3c_00003
4,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568360,,False,1,7fa3c_00004,2025-02-26_11-12-40,38.043819427490234,38.043819427490234,998663,cnl-brain9,155.198.99.250,38.043819427490234,1,0.4,50.0,5.0,7fa3c_00004
5,5,6,8,2,3,1,42.600000000000854,286.22999999998143,573.1499999997205,6.25,10.25,8.25,0.9889448168945516,0.8923251093870019,1.079945824194646,-0.025090719505686865,0.06578735604979791,-0.005134204417384325,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740568361,,False,1,7fa3c_00005,2025-02-26_11-12-41,39.06970953941345,39.06970953941345,998662,cnl-brain9,155.198.99.250,39.06970953941345,1,0.4,75.0,0.8,7fa3c_00005
6,1,2,3,1,1,1,37.68000000000067,281.9999999999853,555.8999999997362,2.5,1.5,2.25,1.0860252931857595,0.990806593700346,0.9331636322667529,0.01004152620291987,0.04896713681966469,0.027250670520841958,0.016666666666666385,-0.01666666666666705,0.08333333333333304,1740568359,,False,1,7fa3c_00006,2025-02-26_11-12-39,37.33179497718811,37.33179497718811,998661,cnl-brain9,155.198.99.250,37.33179497718811,1,0.4,75.0,1.3,7fa3c_00006
7,1,1,0,1,1,0,35.790000000000596,324.47999999994664,,1.25,1.5,0.0,1.0066248804689157,1.0280119707328093,1.0280119707328093,-0.0637332011189844,0.006016512869427171,,0.016666666666666385,-0.11666666666666714,-0.11666666666666714,1740568360,,False,1,7fa3c_00007,2025-02-26_11-12-40,38.3621711730957,38.3621711730957,998660,cnl-brain9,155.198.99.250,38.3621711730957,1,0.4,75.0,1.8,7fa3c_00007
8,1,1,0,1,1,0,103.65000000000316,350.51999999992296,,1.0,1.0,0.75,1.176779681544861,1.1227064353959246,1.1227064353959246,0.0038189171070517336,0.018785640329005204,,0.016666666666666385,1.6833333333333331,1.6833333333333331,1740568359,,False,1,7fa3c_00008,2025-02-26_11-12-39,36.86141228675842,36.86141228675842,998664,cnl-brain9,155.198.99.250,36.86141228675842,1,0.4,75.0,3.0,7fa3c_00008
9,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740568359,,False,1,7fa3c_00009,2025-02-26_11-12-39,37.109453201293945,37.109453201293945,998665,cnl-brain9,155.198.99.250,37.109453201293945,1,0.4,75.0,5.0,7fa3c_00009
