,metric/num_BTSP_events_(moved_0),metric/num_BTSP_events_(moved_1),metric/num_BTSP_events_(moved_2),metric/num_BTSP_events_(moved_3),metric/num_BTSP_events_(moved_4),metric/num_BTSP_events_(moved_5),metric/num_BTSP_events_(moved_6),metric/num_BTSP_events_(moved_7),metric/num_BTSP_positions_(moved_0),metric/num_BTSP_positions_(moved_1),metric/num_BTSP_positions_(moved_2),metric/num_BTSP_positions_(moved_3),metric/num_BTSP_positions_(moved_4),metric/num_BTSP_positions_(moved_5),metric/num_BTSP_positions_(moved_6),metric/num_BTSP_positions_(moved_7),metric/first_BTSP_time_(moved_0),metric/first_BTSP_time_(moved_1),metric/first_BTSP_time_(moved_2),metric/first_BTSP_time_(moved_3),metric/first_BTSP_time_(moved_4),metric/first_BTSP_time_(moved_5),metric/first_BTSP_time_(moved_6),metric/first_BTSP_time_(moved_7),metric/max_BTSP_ramp_(moved_0),metric/max_BTSP_ramp_(moved_1),metric/max_BTSP_ramp_(moved_2),metric/max_BTSP_ramp_(moved_3),metric/max_BTSP_ramp_(moved_4),metric/max_BTSP_ramp_(moved_5),metric/max_BTSP_ramp_(moved_6),metric/max_BTSP_ramp_(moved_7),metric/PC_weight_ratio_pre_post_(moved_0),metric/PC_weight_ratio_pre_post_(moved_1),metric/PC_weight_ratio_pre_post_(moved_2),metric/PC_weight_ratio_pre_post_(moved_3),metric/PC_weight_ratio_pre_post_(moved_4),metric/PC_weight_ratio_pre_post_(moved_5),metric/PC_weight_ratio_pre_post_(moved_6),metric/PC_weight_ratio_pre_post_(moved_7),metric/first_BTSP_relative_position_(moved_0),metric/first_BTSP_relative_position_(moved_1),metric/first_BTSP_relative_position_(moved_2),metric/first_BTSP_relative_position_(moved_3),metric/first_BTSP_relative_position_(moved_4),metric/first_BTSP_relative_position_(moved_5),metric/first_BTSP_relative_position_(moved_6),metric/first_BTSP_relative_position_(moved_7),metric/PC_weight_peak_relative_position_(moved_0),metric/PC_weight_peak_relative_position_(moved_1),metric/PC_weight_peak_relative_position_(moved_2),metric/PC_weight_peak_relative_position_(moved_3),metric/PC_weight_peak_relative_position_(moved_4),metric/PC_weight_peak_relative_position_(moved_5),metric/PC_weight_peak_relative_position_(moved_6),metric/PC_weight_peak_relative_position_(moved_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,77.55000000000217,469.9799999998143,733.3799999995748,875.3999999994456,1122.3899999992211,1330.319999999032,1573.0199999988113,1942.829999998475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.016433612863056,1.2410624790185965,1.055097244054097,1.0356689761568936,0.8659474812130166,0.9289577759124669,0.9989321067557899,1.040944776718678,-0.005639510641083589,-0.008306037658361909,-0.02015299198288023,-0.04648859426989249,-0.044700309051215026,0.006334631694212334,-0.004485226279631327,-0.0012111521794540003,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.350000000000001,-0.35000000000000053,-0.5500000000000007,-0.2500000000000009,-0.45000000000000107,1747058442,,False,1,125a3_00000,2025-05-12_15-00-42,177.15777945518494,177.15777945518494,40203,cnl-brain9,155.198.99.250,177.15777945518494,1,0.12,0.2,1.1,125a3_00000
1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,42.27000000000084,311.0099999999589,550.2299999997414,795.3599999995184,1115.6399999992273,,1569.5399999988144,1815.239999998591,1.0,1.0,1.0,1.25,1.0,0.5,1.0,1.25,0.9971060652437292,1.1757808895442792,1.2485745723874977,0.974221567602604,0.927690578401462,1.0061678527220868,0.9892867988871145,0.9718323035751628,-0.003481933782766067,-0.011721750454189106,-0.015487803559395719,9.191728055668591e-05,-0.05375975956678092,,0.026412390804554153,-0.008676633043705806,0.049999999999998934,-0.15000000000000124,-0.350000000000001,-0.2500000000000009,-0.35000000000000053,-0.5500000000000007,-0.7500000000000009,-0.9500000000000011,1747058426,,False,1,125a3_00001,2025-05-12_15-00-26,159.87877535820007,159.87877535820007,40204,cnl-brain9,155.198.99.250,159.87877535820007,1,0.12,0.25,1.1,125a3_00001
2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,47.07000000000102,365.3399999999095,613.289999999684,913.8299999994107,1082.1899999992577,1348.5599999990154,1599.5099999987872,1921.2599999984945,1.0,1.25,1.0,1.0,1.25,1.25,1.0,1.25,0.9864844173163081,1.1532255725686231,0.9411004013718917,1.0750755998155321,1.147280732275615,1.2845092940617489,0.7891624237292814,0.8671851246135436,-0.027981071295564597,-0.003182507210550689,-0.027802979760765734,-0.030342404209867002,-0.01499087182688763,2.5723668742205774e-05,-0.03420103592727264,0.005799660470056089,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.45000000000000107,-0.6500000000000008,-0.850000000000001,-0.2500000000000009,-0.45000000000000107,1747058444,,False,1,125a3_00002,2025-05-12_15-00-44,178.66583156585693,178.66583156585693,40205,cnl-brain9,155.198.99.250,178.66583156585693,1,0.12,0.30000000000000004,1.1,125a3_00002
3,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,47.340000000001034,,553.7999999997381,794.3399999995194,1055.8799999992816,1345.8599999990179,1560.179999998823,1829.9399999985776,1.25,0.5,1.25,1.0,1.25,1.0,1.25,1.25,1.3394364317479228,1.3394364317479228,1.1679986783785161,1.2995464543394533,0.9784726930267457,0.8308011830887229,0.982187111282747,0.9477733397707733,-0.04745631820377927,,-0.026637830472995283,-0.037039293758888814,-0.010851807878820896,0.018890985768960533,-0.009949296479499381,-0.0009833242548831223,-0.05000000000000071,-0.2500000000000009,-0.350000000000001,-0.5500000000000012,-0.4500000000000006,-0.05000000000000071,-0.2500000000000009,-0.350000000000001,1747058409,,False,1,125a3_00003,2025-05-12_15-00-09,143.95399284362793,143.95399284362793,40206,cnl-brain9,155.198.99.250,143.95399284362793,1,0.12,0.35000000000000003,1.1,125a3_00003
4,2,2,0,1,1,2,0,2,1,1,0,1,1,1,0,1,43.47000000000089,324.47999999994664,,882.0599999994396,1084.2599999992558,1366.619999998999,,1826.279999998581,1.25,1.25,0.75,1.25,1.0,1.0,0.75,1.25,0.9302552614648515,1.0801519499060048,1.0801519499060048,1.1400709284493424,1.244605480061625,1.0870617211138296,1.0870617211138296,0.8352357910118434,-0.00919668454800826,-0.03619430579527183,,-0.02768719712483181,-0.03899557491013583,-0.020142676216701183,,-0.01266404272717736,0.049999999999998934,-0.15000000000000124,-0.350000000000001,-0.5500000000000012,-0.7500000000000009,-0.1500000000000008,-0.350000000000001,-0.1500000000000008,1747058432,,False,1,125a3_00004,2025-05-12_15-00-32,166.0634343624115,166.0634343624115,40207,cnl-brain9,155.198.99.250,166.0634343624115,1,0.12,0.4,1.1,125a3_00004
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1747058450,,False,1,125a3_00005,2025-05-12_15-00-50,184.38875794410706,184.38875794410706,40212,cnl-brain9,155.198.99.250,184.38875794410706,1,0.12,0.2,1.2,125a3_00005
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,155.1900000000051,405.1199999998733,643.0799999996569,860.5499999994591,1108.4999999992338,1430.9399999989405,1783.8899999986195,1886.1599999985265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9221806600007205,1.3990089572336954,1.151533197042652,1.362344370429546,1.4127176976079736,1.554742627186598,1.0716913699880593,0.8393653890836748,0.0007507534084982836,-0.017721369455470093,-0.024953395453199523,-0.030778570303930497,-0.026988398424883986,-0.015835102286924307,-0.014382948956870312,-0.004357258629132499,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.45000000000000107,-0.6500000000000008,-0.850000000000001,-0.2500000000000009,-0.1500000000000008,1747058443,,False,1,125a3_00006,2025-05-12_15-00-43,177.5378167629242,177.5378167629242,40211,cnl-brain9,155.198.99.250,177.5378167629242,1,0.12,0.25,1.2,125a3_00006
7,2,0,1,1,1,1,1,2,2,0,1,1,1,1,1,1,49.44000000000111,,572.3699999997212,846.6599999994718,1085.159999999255,1363.5599999990018,1602.8699999987841,1871.6999999985396,1.0,0.75,1.25,1.0,1.0,1.25,1.25,1.0,0.957578782315685,0.957578782315685,1.3402117653399725,1.0098887101539609,1.1108501212150939,0.8598976536990514,0.9895394734690749,0.8649197415014691,-0.016283681128796523,,-0.00467629867900099,-0.015000470606091554,-0.01190712939889993,-0.004048128845955734,-0.012720459273563467,-0.022675838249654134,0.049999999999998934,-0.15000000000000124,-0.350000000000001,-0.2500000000000009,-0.35000000000000053,-0.2500000000000009,-0.45000000000000107,-0.1500000000000008,1747058447,,False,1,125a3_00007,2025-05-12_15-00-47,180.54124522209167,180.54124522209167,40210,cnl-brain9,155.198.99.250,180.54124522209167,1,0.12,0.30000000000000004,1.2,125a3_00007
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.71000000000112,307.88999999996173,547.5899999997438,821.8499999994943,1132.499999999212,1334.9999999990278,1611.689999998776,1827.5999999985797,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,0.9420940120100589,1.2910550519686292,1.0803234052890096,0.9988679664919601,0.9592366141012671,0.9972277714206983,1.0085265697843173,0.7293650625758926,-0.00928377321463092,0.007924806886261404,-0.03445678762639126,-0.015011096567850934,-0.032866759377120136,-0.03273778846676212,-0.03597999802519425,0.0007309834407531746,0.049999999999998934,-0.15000000000000124,-0.2500000000000009,-0.350000000000001,-0.4500000000000006,-0.6500000000000008,-0.850000000000001,0.049999999999998934,1747058429,,False,1,125a3_00008,2025-05-12_15-00-29,163.10333847999573,163.10333847999573,40209,cnl-brain9,155.198.99.250,163.10333847999573,1,0.12,0.35000000000000003,1.2,125a3_00008
9,2,1,0,1,1,1,1,1,2,1,0,1,1,1,1,1,49.38000000000111,324.3899999999467,,818.6099999994973,1075.0199999992642,1318.139999999043,1576.0499999988085,1819.8599999985868,1.25,1.0,0.75,1.25,1.25,1.25,1.25,1.25,0.9196025020945539,1.120143552912049,1.120143552912049,1.1192908519779152,0.8994103549330317,1.1418313435990732,1.0023700434159406,1.0106136683404938,-0.014754978768667382,-0.01937312135713487,,-0.012718338955227892,-0.005850843443832687,-0.025548674738741894,-0.009491700383177815,-0.01487151626363259,0.049999999999998934,-0.15000000000000124,-0.350000000000001,-0.5500000000000012,-0.15000000000000036,-0.35000000000000053,-0.45000000000000107,-0.6500000000000012,1747058430,,False,1,125a3_00009,2025-05-12_15-00-30,164.93353629112244,164.93353629112244,40208,cnl-brain9,155.198.99.250,164.93353629112244,1,0.12,0.4,1.2,125a3_00009
