,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,2,3,9,1,1,3,42.69000000000086,335.6099999999365,598.7999999996972,3.0,4.25,17.75,0.9876305838268135,1.0463008403696077,1.0658155886617853,-0.0010263209722050082,-0.002683327886463971,0.0637471926861104,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569486,,False,1,1de84_00000,2025-02-26_11-31-26,39.64506936073303,39.64506936073303,1025370,cnl-brain9,155.198.99.250,39.64506936073303,1,0.4,50.0,0.8,1de84_00000
1,1,1,1,1,1,1,43.20000000000088,312.3299999999577,612.6299999996846,2.25,2.25,1.5,0.9647679637884349,1.0379234004322142,1.147434426688963,0.007523860588503961,-0.004480433773495829,0.025272729465162236,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740569486,,False,1,1de84_00001,2025-02-26_11-31-26,39.938950061798096,39.938950061798096,1025531,cnl-brain9,155.198.99.250,39.938950061798096,1,0.4,50.0,1.3,1de84_00001
2,1,1,0,1,1,0,43.680000000000895,314.99999999995526,,1.5,1.5,0.0,0.9312369152900786,1.064580033130938,1.064580033130938,0.012208943200910038,-0.005408841973256973,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569490,,False,1,1de84_00002,2025-02-26_11-31-30,43.242496967315674,43.242496967315674,1025641,cnl-brain9,155.198.99.250,43.242496967315674,1,0.4,50.0,1.8,1de84_00002
3,1,1,0,1,1,0,44.10000000000091,371.0399999999043,,1.0,1.0,0.0,1.1681654134692099,1.1601285978883173,1.1601285978883173,0.005569095881729824,0.013566961078049555,,0.016666666666666385,1.6833333333333331,1.6833333333333331,1740569487,,False,1,1de84_00003,2025-02-26_11-31-27,40.073769092559814,40.073769092559814,1025789,cnl-brain9,155.198.99.250,40.073769092559814,1,0.4,50.0,3.0,1de84_00003
4,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740569487,,False,1,1de84_00004,2025-02-26_11-31-27,40.17681384086609,40.17681384086609,1025853,cnl-brain9,155.198.99.250,40.17681384086609,1,0.4,50.0,5.0,1de84_00004
5,7,3,9,4,2,3,43.650000000000894,316.10999999995425,615.7799999996818,21.5,17.25,19.5,0.9662870499589727,1.0072568621933073,0.9884959911301322,0.0038953184621342007,0.00909218449260596,0.0558041696801177,0.8166666666666665,-0.11666666666666714,-0.11666666666666714,1740569488,,False,1,1de84_00005,2025-02-26_11-31-28,41.591609954833984,41.591609954833984,1025919,cnl-brain9,155.198.99.250,41.591609954833984,1,0.4,75.0,0.8,1de84_00005
6,1,1,1,1,1,1,44.220000000000915,297.719999999971,594.3899999997012,2.25,2.25,1.75,1.0030179983294665,1.0626348546793012,1.095816768001699,0.008912188061237503,-0.004811453778452712,0.017760522875363893,0.11666666666666647,-0.11666666666666714,-0.01666666666666705,1740569487,,False,1,1de84_00006,2025-02-26_11-31-27,40.35303521156311,40.35303521156311,1025957,cnl-brain9,155.198.99.250,40.35303521156311,1,0.4,75.0,1.3,1de84_00006
7,1,1,0,1,1,0,43.950000000000905,333.5399999999384,,1.5,1.75,0.0,0.9235045441889722,1.056102651778505,1.056102651778505,0.0016891105558427544,-0.004139116175949642,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569485,,False,1,1de84_00007,2025-02-26_11-31-25,38.83208513259888,38.83208513259888,1025956,cnl-brain9,155.198.99.250,38.83208513259888,1,0.4,75.0,1.8,1de84_00007
8,1,1,0,1,1,0,44.04000000000091,337.9199999999344,,1.0,1.0,0.0,0.9233922611919779,1.0630940513933713,1.0630940513933713,-0.0014938584474262218,0.011227121574687082,,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569485,,False,1,1de84_00008,2025-02-26_11-31-25,38.643450021743774,38.643450021743774,1025955,cnl-brain9,155.198.99.250,38.643450021743774,1,0.4,75.0,3.0,1de84_00008
9,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740569487,,False,1,1de84_00009,2025-02-26_11-31-27,40.853187084198,40.853187084198,1025954,cnl-brain9,155.198.99.250,40.853187084198,1,0.4,75.0,5.0,1de84_00009
10,1,2,9,1,1,3,42.96000000000087,335.15999999993693,595.8899999996999,3.75,2.75,22.0,0.9613175139327463,1.0219757968397098,1.049700891239093,0.018651793210310075,0.0024231701047399135,0.0652309657048269,0.11666666666666647,-0.11666666666666714,-0.11666666666666714,1740569487,,False,1,1de84_00010,2025-02-26_11-31-27,40.16648077964783,40.16648077964783,1025953,cnl-brain9,155.198.99.250,40.16648077964783,1,0.4,100.0,0.8,1de84_00010
