,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,1.0,1.0,46.530000000001,-0.03385994239777901,1.0,-0.049999999999998934,0.31885981614403525,1.1658848355207483,1759202201,,False,1,d7f4a_00000,2025-09-30_04-16-41,15.69907832145691,15.69907832145691,4029725,cnl-brain9,155.198.99.250,15.69907832145691,1,0.12,0.2,0.8,d7f4a_00000
1,3.0,1.0,48.450000000001076,0.018226890340451884,1.25,-0.049999999999998934,0.6872671341668068,1.3065774447534824,1759202201,,False,1,d7f4a_00001,2025-09-30_04-16-41,15.411156415939331,15.411156415939331,4029792,cnl-brain9,155.198.99.250,15.411156415939331,1,0.12,0.25,0.8,d7f4a_00001
2,2.0,2.0,111.06000000000344,0.018057994039610392,1.5,-0.049999999999998934,0.5227362273986009,1.5667767780015658,1759202201,,False,1,d7f4a_00002,2025-09-30_04-16-41,14.788041114807129,14.788041114807129,4029810,cnl-brain9,155.198.99.250,14.788041114807129,1,0.12,0.30000000000000004,0.8,d7f4a_00002
3,5.0,2.0,78.3300000000022,-0.014048081344301355,2.0,-0.049999999999998934,0.4978240674985215,1.3051916834877868,1759202201,,False,1,d7f4a_00003,2025-09-30_04-16-41,15.378741979598999,15.378741979598999,4029811,cnl-brain9,155.198.99.250,15.378741979598999,1,0.12,0.35000000000000003,0.8,d7f4a_00003
4,6.0,2.0,50.280000000001145,-0.01432250137737423,2.25,-0.049999999999998934,0.5593839676980759,1.3932127278637332,1759202203,,False,1,d7f4a_00004,2025-09-30_04-16-43,17.128246784210205,17.128246784210205,4029879,cnl-brain9,155.198.99.250,17.128246784210205,1,0.12,0.4,0.8,d7f4a_00004
5,1.0,1.0,43.8300000000009,-0.006690017795470737,1.0,-0.049999999999998934,0.35682688977960586,1.2840925412757733,1759202202,,False,1,d7f4a_00005,2025-09-30_04-16-42,15.63904356956482,15.63904356956482,4029878,cnl-brain9,155.198.99.250,15.63904356956482,1,0.12,0.2,0.9,d7f4a_00005
6,3.0,2.0,47.82000000000105,-0.003165759595144202,1.0,0.05000000000000071,0.49762062905554894,0.933895880412274,1759202202,,False,1,d7f4a_00006,2025-09-30_04-16-42,16.092066764831543,16.092066764831543,4029877,cnl-brain9,155.198.99.250,16.092066764831543,1,0.12,0.25,0.9,d7f4a_00006
7,2.0,1.0,46.80000000000101,0.05028864094081831,1.0,-0.049999999999998934,0.5630163479028218,1.111820689910781,1759202201,,False,1,d7f4a_00007,2025-09-30_04-16-41,14.770187139511108,14.770187139511108,4029876,cnl-brain9,155.198.99.250,14.770187139511108,1,0.12,0.30000000000000004,0.9,d7f4a_00007
8,2.0,1.0,43.7400000000009,0.04312576616346453,1.25,-0.14999999999999902,0.7226635839705708,0.8017396688715204,1759202201,,False,1,d7f4a_00008,2025-09-30_04-16-41,15.362679481506348,15.362679481506348,4029880,cnl-brain9,155.198.99.250,15.362679481506348,1,0.12,0.35000000000000003,0.9,d7f4a_00008
9,4.0,1.0,45.84000000000098,0.024402908805055024,1.5,0.05000000000000071,0.8519881060978545,1.0839766260184238,1759202200,,False,1,d7f4a_00009,2025-09-30_04-16-40,14.412766695022583,14.412766695022583,4029881,cnl-brain9,155.198.99.250,14.412766695022583,1,0.12,0.4,0.9,d7f4a_00009
10,1.0,1.0,117.42000000000368,-0.0028298444931782463,1.0,-0.049999999999998934,0.36631027101168856,1.1540867325112873,1759202202,,False,1,d7f4a_00010,2025-09-30_04-16-42,16.35899257659912,16.35899257659912,4029882,cnl-brain9,155.198.99.250,16.35899257659912,1,0.12,0.2,1.0,d7f4a_00010
11,1.0,1.0,49.65000000000112,-0.018945983168629166,1.0,-0.049999999999998934,0.41814542118337306,1.1179630443539186,1759202202,,False,1,d7f4a_00011,2025-09-30_04-16-42,16.367549896240234,16.367549896240234,4029883,cnl-brain9,155.198.99.250,16.367549896240234,1,0.12,0.25,1.0,d7f4a_00011
12,2.0,1.0,45.000000000000945,0.006237729387853275,1.25,0.05000000000000071,0.7609280358963528,1.1251873726529387,1759202202,,False,1,d7f4a_00012,2025-09-30_04-16-42,15.947195053100586,15.947195053100586,4029884,cnl-brain9,155.198.99.250,15.947195053100586,1,0.12,0.30000000000000004,1.0,d7f4a_00012
13,2.0,1.0,53.64000000000127,0.018801302921759078,1.25,-0.049999999999998934,0.63228181858925,1.208995757447506,1759202202,,False,1,d7f4a_00013,2025-09-30_04-16-42,15.82751750946045,15.82751750946045,4029885,cnl-brain9,155.198.99.250,15.82751750946045,1,0.12,0.35000000000000003,1.0,d7f4a_00013
