,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,9.0,2.0,58.95,0.013389989214060982,5.5,-0.049999999999998934,0.5041754513623209,2.5527374331363246,1.1640081784399483,6.268909116182603,1776479554,,False,1,c9cff_00000,2026-04-18_03-32-34,25.071752548217773,25.071752548217773,1583347,cnl-brain9,155.198.99.250,25.071752548217773,1,0.1,0.2,0.5,c9cff_00000
1,9.0,2.0,59.52,0.01087284655387144,6.5,-0.049999999999998934,0.48775895694223204,2.8322516142130505,1.1753042820660526,6.483652593516557,1776479553,,False,1,c9cff_00001,2026-04-18_03-32-33,24.471494674682617,24.471494674682617,1583348,cnl-brain9,155.198.99.250,24.471494674682617,1,0.1,0.25,0.5,c9cff_00001
2,9.0,2.0,60.27,0.014205485340005097,5.25,-0.049999999999998934,0.5057269087616612,2.6286144449864204,1.1719788130880435,6.195402481181861,1776479554,,False,1,c9cff_00002,2026-04-18_03-32-34,25.21675992012024,25.21675992012024,1583349,cnl-brain9,155.198.99.250,25.21675992012024,1,0.1,0.30000000000000004,0.5,c9cff_00002
3,9.0,2.0,58.86,0.007545699085905078,6.25,-0.049999999999998934,0.5235844980098379,2.62151348177267,1.163365708671661,6.339730575728927,1776479554,,False,1,c9cff_00003,2026-04-18_03-32-34,24.915377616882324,24.915377616882324,1583351,cnl-brain9,155.198.99.250,24.915377616882324,1,0.1,0.35000000000000003,0.5,c9cff_00003
4,9.0,1.0,59.52,0.004490555853142286,6.25,-0.049999999999998934,0.49468860171071194,3.044363429810088,1.1703031622112943,6.376498917577538,1776479554,,False,1,c9cff_00004,2026-04-18_03-32-34,25.100794076919556,25.100794076919556,1583350,cnl-brain9,155.198.99.250,25.100794076919556,1,0.1,0.4,0.5,c9cff_00004
5,1.0,1.0,60.57,0.013602737529044617,1.0,-0.049999999999998934,0.5504715331257088,1.1136096625067282,0.7219538845195743,1.6755554243430502,1776479554,,False,1,c9cff_00005,2026-04-18_03-32-34,25.144206047058105,25.144206047058105,1583352,cnl-brain9,155.198.99.250,25.144206047058105,1,0.1,0.2,0.875,c9cff_00005
6,2.0,2.0,59.67,0.0028728166045439707,1.5,-0.049999999999998934,0.4628739488686109,1.236679436976925,0.8101196401989907,3.8443778400124735,1776479553,,False,1,c9cff_00006,2026-04-18_03-32-33,24.558427333831787,24.558427333831787,1583354,cnl-brain9,155.198.99.250,24.558427333831787,1,0.1,0.25,0.875,c9cff_00006
7,2.0,2.0,58.56,0.0036290428181140477,1.25,-0.049999999999998934,0.527812273744805,1.2089813674809897,0.7980325984236143,3.891159905414606,1776479554,,False,1,c9cff_00007,2026-04-18_03-32-34,24.97644829750061,24.97644829750061,1583353,cnl-brain9,155.198.99.250,24.97644829750061,1,0.1,0.30000000000000004,0.875,c9cff_00007
8,3.0,1.0,59.13,0.00998643685605538,1.5,-0.049999999999998934,0.5640154008704159,1.2446082799957905,0.9040505410286461,4.531901292134757,1776479555,,False,1,c9cff_00008,2026-04-18_03-32-35,25.500123023986816,25.500123023986816,1583357,cnl-brain9,155.198.99.250,25.500123023986816,1,0.1,0.35000000000000003,0.875,c9cff_00008
9,3.0,2.0,59.13,0.018418633292163644,1.75,-0.049999999999998934,0.5978002359294821,1.2446325540397989,0.7897987543497242,3.7925138108750054,1776479555,,False,1,c9cff_00009,2026-04-18_03-32-35,25.79268717765808,25.79268717765808,1583359,cnl-brain9,155.198.99.250,25.79268717765808,1,0.1,0.4,0.875,c9cff_00009
10,0.0,0.0,,,0.75,,0.0,,,0.7582106381065502,1776479554,,False,1,c9cff_00010,2026-04-18_03-32-34,25.040770530700684,25.040770530700684,1583358,cnl-brain9,155.198.99.250,25.040770530700684,1,0.1,0.2,1.25,c9cff_00010
11,1.0,1.0,60.75,0.011517621464615768,1.0,-0.049999999999998934,0.5324759534039814,1.1254020905446052,0.7221646904127444,1.688538318197128,1776479554,,False,1,c9cff_00011,2026-04-18_03-32-34,25.206499338150024,25.206499338150024,1583355,cnl-brain9,155.198.99.250,25.206499338150024,1,0.1,0.25,1.25,c9cff_00011
12,1.0,1.0,61.23,0.014304451214632419,1.0,-0.049999999999998934,0.5469576520665829,1.1269832715643666,0.7218262107701467,1.8022348591956552,1776479554,,False,1,c9cff_00012,2026-04-18_03-32-34,25.377432346343994,25.377432346343994,1583356,cnl-brain9,155.198.99.250,25.377432346343994,1,0.1,0.30000000000000004,1.25,c9cff_00012
13,1.0,1.0,60.12,0.007945385326320498,1.0,-0.049999999999998934,0.5019752771347656,1.1405605140020465,0.722770668126554,1.7230123499506411,1776479555,,False,1,c9cff_00013,2026-04-18_03-32-35,25.52465796470642,25.52465796470642,1583360,cnl-brain9,155.198.99.250,25.52465796470642,1,0.1,0.35000000000000003,1.25,c9cff_00013
14,1.0,1.0,58.47,0.008736370612625333,1.25,-0.049999999999998934,0.49388730679401904,1.1581253793744501,0.724007208133763,1.8614031370675805,1776479555,,False,1,c9cff_00014,2026-04-18_03-32-35,25.58582067489624,25.58582067489624,1583361,cnl-brain9,155.198.99.250,25.58582067489624,1,0.1,0.4,1.25,c9cff_00014
15,0.0,0.0,,,0.5,,0.0,,,0.76003692951096,1776479554,,False,1,c9cff_00015,2026-04-18_03-32-34,24.887341499328613,24.887341499328613,1583363,cnl-brain9,155.198.99.250,24.887341499328613,1,0.1,0.2,1.625,c9cff_00015
16,0.0,0.0,,,0.75,,0.0,,,0.7526930942222367,1776479554,,False,1,c9cff_00016,2026-04-18_03-32-34,25.37085771560669,25.37085771560669,1583377,cnl-brain9,155.198.99.250,25.37085771560669,1,0.1,0.25,1.625,c9cff_00016
17,0.0,0.0,,,0.75,,0.0,,,0.7521600277818911,1776479554,,False,1,c9cff_00017,2026-04-18_03-32-34,24.885475635528564,24.885475635528564,1583362,cnl-brain9,155.198.99.250,24.885475635528564,1,0.1,0.30000000000000004,1.625,c9cff_00017
18,0.0,0.0,,,0.75,,0.0,,,0.7542965376448146,1776479555,,False,1,c9cff_00018,2026-04-18_03-32-35,25.532819986343384,25.532819986343384,1583374,cnl-brain9,155.198.99.250,25.532819986343384,1,0.1,0.35000000000000003,1.625,c9cff_00018
19,1.0,1.0,148.59,0.012923787173813928,1.0,-0.049999999999998934,0.511618972205266,1.126851128495549,0.7230107611494399,1.5023593570094167,1776479555,,False,1,c9cff_00019,2026-04-18_03-32-35,25.56832242012024,25.56832242012024,1583371,cnl-brain9,155.198.99.250,25.56832242012024,1,0.1,0.4,1.625,c9cff_00019
20,0.0,0.0,,,0.5,,0.0,,,0.7540191900472684,1776479555,,False,1,c9cff_00020,2026-04-18_03-32-35,25.68323516845703,25.68323516845703,1583368,cnl-brain9,155.198.99.250,25.68323516845703,1,0.1,0.2,2.0,c9cff_00020
21,0.0,0.0,,,0.5,,0.0,,,0.7492249705207671,1776479555,,False,1,c9cff_00021,2026-04-18_03-32-35,25.630156755447388,25.630156755447388,1583372,cnl-brain9,155.198.99.250,25.630156755447388,1,0.1,0.25,2.0,c9cff_00021
22,0.0,0.0,,,0.75,,0.0,,,0.7519009304791102,1776479555,,False,1,c9cff_00022,2026-04-18_03-32-35,25.7231764793396,25.7231764793396,1583365,cnl-brain9,155.198.99.250,25.7231764793396,1,0.1,0.30000000000000004,2.0,c9cff_00022
