,metric/num_BTSP_events_(moved_0),metric/num_BTSP_positions_(moved_0),metric/first_BTSP_time_(moved_0),metric/first_BTSP_relative_position_(moved_0),metric/max_BTSP_ramp_(moved_0),metric/PC_weight_peak_relative_position_(moved_0),metric/PC_weight_FWHM_(moved_0),metric/PC_weight_ratio_pre_post_(moved_0),metric/num_BTSP_events_(moved_1),metric/num_BTSP_positions_(moved_1),metric/first_BTSP_time_(moved_1),metric/first_BTSP_relative_position_(moved_1),metric/max_BTSP_ramp_(moved_1),metric/PC_weight_peak_relative_position_(moved_1),metric/PC_weight_FWHM_(moved_1),metric/PC_weight_ratio_pre_post_(moved_1),metric/num_BTSP_events_(moved_2),metric/num_BTSP_positions_(moved_2),metric/first_BTSP_time_(moved_2),metric/first_BTSP_relative_position_(moved_2),metric/max_BTSP_ramp_(moved_2),metric/PC_weight_peak_relative_position_(moved_2),metric/PC_weight_FWHM_(moved_2),metric/PC_weight_ratio_pre_post_(moved_2),metric/num_BTSP_events_(moved_3),metric/num_BTSP_positions_(moved_3),metric/first_BTSP_time_(moved_3),metric/first_BTSP_relative_position_(moved_3),metric/max_BTSP_ramp_(moved_3),metric/PC_weight_peak_relative_position_(moved_3),metric/PC_weight_FWHM_(moved_3),metric/PC_weight_ratio_pre_post_(moved_3),metric/num_BTSP_events_(moved_4),metric/num_BTSP_positions_(moved_4),metric/first_BTSP_time_(moved_4),metric/first_BTSP_relative_position_(moved_4),metric/max_BTSP_ramp_(moved_4),metric/PC_weight_peak_relative_position_(moved_4),metric/PC_weight_FWHM_(moved_4),metric/PC_weight_ratio_pre_post_(moved_4),metric/num_BTSP_events_(moved_5),metric/num_BTSP_positions_(moved_5),metric/first_BTSP_time_(moved_5),metric/first_BTSP_relative_position_(moved_5),metric/max_BTSP_ramp_(moved_5),metric/PC_weight_peak_relative_position_(moved_5),metric/PC_weight_FWHM_(moved_5),metric/PC_weight_ratio_pre_post_(moved_5),metric/num_BTSP_events_(moved_6),metric/num_BTSP_positions_(moved_6),metric/first_BTSP_time_(moved_6),metric/first_BTSP_relative_position_(moved_6),metric/max_BTSP_ramp_(moved_6),metric/PC_weight_peak_relative_position_(moved_6),metric/PC_weight_FWHM_(moved_6),metric/PC_weight_ratio_pre_post_(moved_6),metric/num_BTSP_events_(moved_7),metric/num_BTSP_positions_(moved_7),metric/first_BTSP_time_(moved_7),metric/first_BTSP_relative_position_(moved_7),metric/max_BTSP_ramp_(moved_7),metric/PC_weight_peak_relative_position_(moved_7),metric/PC_weight_FWHM_(moved_7),metric/PC_weight_ratio_pre_post_(moved_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,2.0,1.0,55.260000000001334,0.010870458257649318,1.0,-0.049999999999998934,0.6352233733662329,1.2494070067616725,0.0,0.0,,,0.75,0.15000000000000124,0.6352233733662329,1.2494070067616725,1.0,1.0,579.9599999997143,0.001760276295319052,1.25,0.5500000000000012,0.9980062884442504,1.4848634038170931,2.0,2.0,823.0799999994932,0.005686795200440464,1.25,1.1500000000000012,1.8201629816948923,1.4139095016295042,2.0,1.0,1063.4999999992747,0.007433636235896435,1.25,1.9500000000000013,1.5492262277535556,1.385718302848714,2.0,2.0,1301.8799999990579,0.0024727131682501513,1.25,-0.04999999999999927,2.6134513789195903,1.0208742841774292,1.0,1.0,1565.579999998818,0.0023747488670915473,1.25,-4.85,0.5827504885494608,1.0189739258697863,2.0,1.0,1802.6399999986024,0.012510287164404055,1.0,-0.34999999999999876,0.9653277235272566,0.6695245563138349,1748699697,,False,1,68a36_00000,2025-05-31_14-54-57,179.70776557922363,179.70776557922363,1522302,cnl-brain9,155.198.99.250,179.70776557922363,1,0.12,0.2,0.8,68a36_00000
1,2.0,1.0,56.370000000001376,0.0066084104432211355,1.25,-0.049999999999998934,0.6619969881822638,1.243247867048933,1.0,1.0,336.9599999999353,0.006239313831132964,1.0,0.15000000000000124,0.7065552253312641,1.8352660781029466,2.0,1.0,576.8699999997172,0.0033535508753512744,1.5,0.05000000000000071,1.079769869777555,0.6988212059035819,3.0,1.0,817.6499999994982,0.01372296596712319,1.5,-0.04999999999999938,1.6540515803596585,0.5195526584404662,3.0,1.0,1056.8999999992807,0.010787872875364979,1.5,-0.049999999999999156,0.6898068595555154,0.5422644756111784,3.0,1.0,1298.6099999990608,0.01064290545976776,1.5,-0.04999999999999927,0.541740990929368,0.9125846727691359,3.0,2.0,1562.219999998821,0.009586738735886335,1.5,-4.85,0.5538831492607879,0.909281369002605,3.0,1.0,1802.2499999986028,0.02595721001603657,1.5,1.3500000000000014,1.01519333767705,0.46742859405346665,1748699684,,False,1,68a36_00001,2025-05-31_14-54-44,166.57708978652954,166.57708978652954,1522303,cnl-brain9,155.198.99.250,166.57708978652954,1,0.12,0.25,0.8,68a36_00001
2,2.0,2.0,54.09000000000129,0.0026016372863519877,1.5,-0.049999999999998934,0.6515365834005622,1.2883473076194505,1.0,1.0,337.64999999993466,0.002148349006081407,1.25,0.15000000000000124,0.6993223010731113,1.8785950153654978,3.0,2.0,581.7299999997127,-0.004495658117760648,1.75,0.05000000000000071,1.0321009901130553,0.7690090151292511,3.0,2.0,820.5299999994955,0.02477241591884205,1.75,-0.04999999999999938,1.595132031671067,0.49740573109387176,4.0,1.0,1059.3899999992784,0.019118675009735187,1.75,-0.049999999999999156,0.7150565327491318,0.5758605237689125,4.0,2.0,1297.4699999990619,0.015568468935782231,1.5,-0.04999999999999927,0.5504856656763264,0.8650511590982717,3.0,2.0,1560.209999998823,0.012793810269299044,1.75,-0.049999999999998934,0.6512701479735723,0.6021236901970409,4.0,1.0,1800.899999998604,0.01954422139205647,1.75,-0.04999999999999849,0.8083721634687051,2.3860381193384432,1748699685,,False,1,68a36_00002,2025-05-31_14-54-45,168.19013690948486,168.19013690948486,1522304,cnl-brain9,155.198.99.250,168.19013690948486,1,0.12,0.30000000000000004,0.8,68a36_00002
3,2.0,2.0,54.09000000000129,0.013195339125492644,1.5,-0.049999999999998934,0.6540294291733342,1.2831238831811462,1.0,1.0,335.15999999993693,0.000251818949308813,1.25,0.050000000000001155,0.6920008938804445,1.0929172268086982,3.0,2.0,573.1799999997205,-0.0005004914060005028,1.75,0.05000000000000071,1.0321331097791004,0.7770481607580548,3.0,2.0,813.0599999995023,0.010369986078841098,1.75,-0.04999999999999938,1.5546612748149569,0.4603643956930186,4.0,1.0,1053.3899999992839,0.012363561035731552,2.0,-0.049999999999999156,0.6583099692447278,0.5560127709534489,4.0,2.0,1293.6599999990653,0.02463114132167188,1.75,-0.04999999999999927,0.5435072124634606,0.8812759770293997,3.0,2.0,1558.3499999988246,0.010610758673935905,1.75,-0.049999999999998934,0.6523079880837743,0.6282529806316821,4.0,1.0,1794.8999999986095,0.011757036286068612,1.75,-0.04999999999999849,0.765417714481992,2.628763181089557,1748699686,,False,1,68a36_00003,2025-05-31_14-54-46,168.44691729545593,168.44691729545593,1522305,cnl-brain9,155.198.99.250,168.44691729545593,1,0.12,0.35000000000000003,0.8,68a36_00003
4,2.0,2.0,55.20000000000133,0.002048542755371141,1.75,-0.049999999999998934,0.6518131669043932,1.2604601205210064,2.0,1.0,338.5199999999339,-0.0006517009333077972,1.75,0.050000000000001155,0.7067354474630712,1.3758116334922055,4.0,2.0,581.3399999997131,0.017822027114432704,2.25,0.05000000000000071,1.0188456445701783,0.683810302131686,5.0,2.0,821.5199999994946,0.01529766787051745,2.0,-0.04999999999999938,1.3746789548894287,0.38904595476453224,4.0,1.0,1059.1799999992786,0.02913733588444778,1.75,-0.049999999999999156,0.6535525798130473,0.48988161450716206,4.0,2.0,1299.47999999906,0.013640178960949267,2.0,-0.04999999999999927,0.546626853508822,0.8542264389716184,4.0,2.0,1563.8999999988196,0.008266560604213602,2.0,-0.049999999999998934,0.599321965371864,0.5022378926813292,4.0,1.0,1800.3899999986045,0.013668964703155595,2.0,-0.04999999999999849,0.6383488993451962,1.8117831125006159,1748699681,,False,1,68a36_00004,2025-05-31_14-54-41,164.2882149219513,164.2882149219513,1522306,cnl-brain9,155.198.99.250,164.2882149219513,1,0.12,0.4,0.8,68a36_00004
5,1.0,1.0,55.11000000000133,-0.0007467136882057801,1.25,-0.049999999999998934,0.6372953265118793,1.1577261922335682,1.0,1.0,338.21999999993415,-0.006863354979504521,1.0,0.050000000000001155,0.6985672029100232,1.1989619986073194,1.0,1.0,578.9999999997152,-0.0009254398444507039,1.25,0.45000000000000107,0.9724086201299218,1.4955962358745591,2.0,2.0,817.1399999994986,0.009562561618562615,1.0,-0.04999999999999938,1.682696863786409,0.6720004718667513,2.0,1.0,1055.9399999992816,0.015700311386843913,1.0,-0.049999999999999156,2.5611349410978144,0.7076486340723396,2.0,2.0,1294.3499999990647,0.018332317061234615,1.25,-0.04999999999999927,2.5384780138782643,0.9320911284371634,1.0,1.0,1556.4899999988263,0.0034406176976027325,1.25,-4.85,0.6301735809698246,0.9298798747169155,2.0,1.0,1874.7299999985369,0.016135350216750943,1.0,-0.04999999999999849,2.1493149521767294,1.9721793619938077,1748699689,,False,1,68a36_00005,2025-05-31_14-54-49,171.05977606773376,171.05977606773376,1522307,cnl-brain9,155.198.99.250,171.05977606773376,1,0.12,0.2,0.9,68a36_00005
6,1.0,1.0,55.320000000001336,0.008139685553482323,1.25,-0.049999999999998934,0.6628254397384503,1.1394591144572315,1.0,1.0,337.7999999999345,-0.0039405742027778246,1.25,0.050000000000001155,0.7451454656895482,1.1443223558256554,1.0,1.0,579.9299999997144,-0.003182195473693028,1.25,0.45000000000000107,1.0452299121471262,1.3568328861146794,2.0,2.0,819.9599999994961,0.00595154559156752,1.25,-0.04999999999999938,1.7009110034933514,0.6845410884838291,2.0,1.0,1060.7699999992772,0.01155592862782262,1.25,-0.049999999999999156,2.5819896890868397,0.7182297192026226,2.0,2.0,1298.2499999990612,0.009159504884072578,1.25,-0.04999999999999927,0.5886880761444475,1.0042541390081519,1.0,1.0,1561.109999998822,-0.0026431987218948905,1.25,-4.85,0.6002167984414521,1.0023259676452048,2.0,1.0,1797.629999998607,0.016750122052299865,1.0,-3.449999999999999,1.2383987054386072,1.00578012345508,1748699672,,False,1,68a36_00006,2025-05-31_14-54-32,155.18427920341492,155.18427920341492,1522313,cnl-brain9,155.198.99.250,155.18427920341492,1,0.12,0.25,0.9,68a36_00006
7,2.0,1.0,55.35000000000134,0.00737428670894591,1.25,-0.049999999999998934,0.7054451812241438,1.2231115515182984,1.0,1.0,337.6199999999347,0.006697690386239241,1.0,0.050000000000001155,0.7338054077291956,1.083859791938249,2.0,2.0,578.8499999997154,-3.161968260068093e-05,1.5,0.05000000000000071,1.062626919195273,0.6563923788531333,3.0,2.0,816.9899999994988,0.014734601850687312,1.5,-0.04999999999999938,1.66289960960522,0.5518849285979964,3.0,1.0,1096.199999999245,0.014108570575887436,1.5,-0.049999999999999156,2.5100692343665676,0.574818601987708,3.0,2.0,1334.729999999028,0.015324872044156557,1.5,-0.04999999999999927,0.5491943205875442,0.9004860910749027,2.0,2.0,1593.059999998793,0.022078260351567458,1.5,-4.85,0.5633878774930027,0.8970704144287974,3.0,1.0,1832.0099999985757,0.017728145757414104,1.25,-0.04999999999999849,1.200489053870625,3.143030542470761,1748699682,,False,1,68a36_00007,2025-05-31_14-54-42,164.63855624198914,164.63855624198914,1522312,cnl-brain9,155.198.99.250,164.63855624198914,1,0.12,0.30000000000000004,0.9,68a36_00007
8,2.0,1.0,55.71000000000135,0.0014001339733660245,1.5,-0.049999999999998934,0.6964445542077713,1.270786613195322,1.0,1.0,337.1699999999351,0.0038517495813676916,1.25,0.15000000000000124,0.7415692630379325,1.7892982168129323,2.0,1.0,579.269999999715,0.0011859656295172272,1.5,0.05000000000000071,1.0706465443112991,0.6666999759650595,3.0,2.0,820.5299999994955,0.017520023292319387,1.75,-0.04999999999999938,1.6606153045970151,0.535239915823222,3.0,1.0,1058.2799999992794,0.01208869720854433,1.75,-0.049999999999999156,2.5588078646023904,0.6292853101360022,3.0,2.0,1297.409999999062,0.01607360895678067,1.5,-0.04999999999999927,0.5710710809765711,0.9287021417989654,3.0,1.0,1561.6499999988216,0.0111053322131891,1.5,-0.049999999999998934,0.7063708619723776,0.6538062594902997,3.0,1.0,1799.819999998605,0.018139034563183998,1.5,1.3500000000000014,1.0919899320775488,0.5196784717971282,1748699683,,False,1,68a36_00008,2025-05-31_14-54-43,165.5252561569214,165.5252561569214,1522311,cnl-brain9,155.198.99.250,165.5252561569214,1,0.12,0.35000000000000003,0.9,68a36_00008
9,2.0,2.0,55.260000000001334,-0.000942998016050911,1.75,-0.049999999999998934,0.6701856672108337,1.2593814104989258,1.0,1.0,338.5199999999339,0.007935797415353996,1.25,0.15000000000000124,0.7171655469310174,1.8020678964728087,2.0,1.0,577.1099999997169,-0.0024197075869825113,1.75,0.45000000000000107,1.1021598015354517,1.4578859757201006,3.0,2.0,819.1199999994968,0.012554002579618917,1.75,-0.04999999999999938,1.6779998805107703,0.5330973220061932,3.0,1.0,1057.0499999992805,0.017639022791465786,1.75,-0.049999999999999156,2.5561739384602253,0.6044389054558118,3.0,2.0,1297.1099999990622,0.019436732869430928,1.75,-0.04999999999999927,0.5533155254618605,0.8975403866633394,3.0,2.0,1559.8799999988232,0.0080578206652131,1.75,-0.049999999999998934,0.6775522272744956,0.6208091962490005,3.0,1.0,1796.3699999986081,0.019280334318623638,1.5,1.3500000000000014,1.0506365564949287,0.4543344962541797,1748699697,,False,1,68a36_00009,2025-05-31_14-54-57,180.07743382453918,180.07743382453918,1522310,cnl-brain9,155.198.99.250,180.07743382453918,1,0.12,0.4,0.9,68a36_00009
