,metric/num_BTSP_events_(shifted_0),metric/num_BTSP_positions_(shifted_0),metric/first_BTSP_time_(shifted_0),metric/first_BTSP_relative_position_(shifted_0),metric/max_BTSP_ramp_(shifted_0),metric/PC_weight_peak_relative_position_(shifted_0),metric/PC_weight_width_(shifted_0),metric/PC_weight_ratio_pre_post_(shifted_0),metric/num_BTSP_events_(shifted_1),metric/num_BTSP_positions_(shifted_1),metric/first_BTSP_time_(shifted_1),metric/first_BTSP_relative_position_(shifted_1),metric/max_BTSP_ramp_(shifted_1),metric/PC_weight_peak_relative_position_(shifted_1),metric/PC_weight_width_(shifted_1),metric/PC_weight_ratio_pre_post_(shifted_1),metric/num_BTSP_events_(shifted_2),metric/num_BTSP_positions_(shifted_2),metric/first_BTSP_time_(shifted_2),metric/first_BTSP_relative_position_(shifted_2),metric/max_BTSP_ramp_(shifted_2),metric/PC_weight_peak_relative_position_(shifted_2),metric/PC_weight_width_(shifted_2),metric/PC_weight_ratio_pre_post_(shifted_2),metric/num_BTSP_events_(shifted_3),metric/num_BTSP_positions_(shifted_3),metric/first_BTSP_time_(shifted_3),metric/first_BTSP_relative_position_(shifted_3),metric/max_BTSP_ramp_(shifted_3),metric/PC_weight_peak_relative_position_(shifted_3),metric/PC_weight_width_(shifted_3),metric/PC_weight_ratio_pre_post_(shifted_3),metric/num_BTSP_events_(shifted_4),metric/num_BTSP_positions_(shifted_4),metric/first_BTSP_time_(shifted_4),metric/first_BTSP_relative_position_(shifted_4),metric/max_BTSP_ramp_(shifted_4),metric/PC_weight_peak_relative_position_(shifted_4),metric/PC_weight_width_(shifted_4),metric/PC_weight_ratio_pre_post_(shifted_4),metric/num_BTSP_events_(shifted_5),metric/num_BTSP_positions_(shifted_5),metric/first_BTSP_time_(shifted_5),metric/first_BTSP_relative_position_(shifted_5),metric/max_BTSP_ramp_(shifted_5),metric/PC_weight_peak_relative_position_(shifted_5),metric/PC_weight_width_(shifted_5),metric/PC_weight_ratio_pre_post_(shifted_5),metric/num_BTSP_events_(shifted_6),metric/num_BTSP_positions_(shifted_6),metric/first_BTSP_time_(shifted_6),metric/first_BTSP_relative_position_(shifted_6),metric/max_BTSP_ramp_(shifted_6),metric/PC_weight_peak_relative_position_(shifted_6),metric/PC_weight_width_(shifted_6),metric/PC_weight_ratio_pre_post_(shifted_6),metric/num_BTSP_events_(shifted_7),metric/num_BTSP_positions_(shifted_7),metric/first_BTSP_time_(shifted_7),metric/first_BTSP_relative_position_(shifted_7),metric/max_BTSP_ramp_(shifted_7),metric/PC_weight_peak_relative_position_(shifted_7),metric/PC_weight_width_(shifted_7),metric/PC_weight_ratio_pre_post_(shifted_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,2.0,2.0,78.2100000000022,-0.013013098491739594,1.25,-0.049999999999998934,0.5120870538094264,1.4214545693459892,1.0,1.0,335.90999999993625,-0.007835381727278268,1.0,0.050000000000001155,0.5325483988928559,1.3101061164113648,2.0,1.0,617.8799999996799,0.0036553244172803367,1.25,0.45000000000000107,0.8131297876552517,1.5199581499521788,2.0,1.0,834.329999999483,0.032543992486779416,1.25,0.9500000000000011,1.5632735830612297,0.8948222328862867,3.0,1.0,1074.119999999265,0.049116717583773895,1.25,1.8500000000000012,1.6009133185362594,2.033354939947448,4.0,2.0,1323.5999999990381,-0.002810304984090295,1.25,-0.04999999999999927,0.5007739492056746,0.6969199634659801,3.0,2.0,1581.9899999988031,0.04608790669988405,1.25,1.1500000000000004,0.49767591499936825,0.6947627774992,1.0,1.0,1892.6999999985205,0.010495182425603211,1.0,2.550000000000001,0.49449029388583554,0.6947926389881612,1759202485,,False,1,438f9_00000,2025-09-30_04-21-25,119.09819316864014,119.09819316864014,4039115,cnl-brain9,155.198.99.250,119.09819316864014,1,0.12,0.2,0.8,438f9_00000
1,3.0,1.0,46.95000000000102,0.020083993758695406,1.25,0.05000000000000071,0.6330639200199002,1.2166440726210355,2.0,1.0,320.78999999995,0.0041004429255853125,1.0,0.15000000000000124,0.7654506548349747,1.683748824578933,3.0,2.0,594.2699999997013,0.025922905393966467,1.5,0.05000000000000071,1.189227637528647,0.723781410170773,4.0,1.0,906.2699999994176,0.054071142292663854,1.5,0.5500000000000007,1.6801375831970726,0.8394949462139248,5.0,1.0,1121.7899999992217,0.03728359244399648,1.5,-0.049999999999999156,2.3354621461051392,0.4018354698361633,4.0,2.0,1370.3399999989956,-0.010987661528791604,1.25,-0.04999999999999927,0.39872958201230846,0.8352051949524225,5.0,2.0,1635.929999998754,0.011722843541863703,1.5,-0.049999999999998934,0.5557438557490766,0.5053664991270287,4.0,1.0,1908.4499999985062,0.026519437037295646,1.25,1.450000000000002,0.5104685440449455,1.1569809973940235,1759202485,,False,1,438f9_00001,2025-09-30_04-21-25,118.91885304450989,118.91885304450989,4039212,cnl-brain9,155.198.99.250,118.91885304450989,1,0.12,0.25,0.8,438f9_00001
2,2.0,1.0,47.70000000000105,0.034635695745100836,1.0,-0.049999999999998934,0.7259125028156936,1.1218302495698862,2.0,1.0,340.1399999999324,0.02579316232230955,1.25,0.050000000000001155,0.666761551952475,1.1600860458766196,3.0,1.0,616.3199999996813,0.04337446004489154,1.25,0.05000000000000071,1.0362161256864733,0.6703477302308394,3.0,2.0,827.6099999994891,0.029705273144453148,1.75,0.05000000000000071,1.5992934218395964,0.9696042759239673,4.0,1.0,1113.2699999992294,0.03812442800796445,1.75,0.8500000000000008,2.3515323964059744,1.0569848010349514,4.0,1.0,1341.8699999990215,0.02849837521817966,1.5,-0.04999999999999927,0.6043714953604373,0.7280557221241981,5.0,2.0,1603.2899999987837,0.002646162234976046,1.5,-0.049999999999998934,0.6399918399116427,0.6895539775841864,0.0,0.0,,,0.75,1.3500000000000014,0.6399918399116427,0.6895539775841864,1759202482,,False,1,438f9_00002,2025-09-30_04-21-22,115.59046411514282,115.59046411514282,4039250,cnl-brain9,155.198.99.250,115.59046411514282,1,0.12,0.30000000000000004,0.8,438f9_00002
3,3.0,1.0,69.75000000000188,0.05003460655170988,1.5,-0.049999999999998934,0.5829206874247355,1.283295934929135,2.0,1.0,323.24999999994776,0.04471261499971435,1.0,0.15000000000000124,0.7264654017543974,1.730053962459932,6.0,2.0,571.4699999997221,0.025869928203220205,1.75,0.05000000000000071,1.0173916373154115,0.6647720012112439,5.0,2.0,840.3899999994775,0.022661968057741788,1.5,0.6500000000000008,1.30176880911768,1.2282118682471286,4.0,1.0,1122.0599999992214,0.04440313428990983,1.75,0.8500000000000008,1.949479405283922,0.89766404600759,5.0,2.0,1340.0399999990232,0.01349310588479058,1.75,-0.04999999999999927,0.4248294899577109,0.8440095876811392,6.0,1.0,1627.3499999987619,0.046267592043994554,1.25,1.1500000000000004,0.45229117736594593,0.9013113850654292,3.0,1.0,1999.6799999984232,0.016260253943998215,1.5,2.550000000000001,0.44479915329803227,0.9040496988588438,1759202492,,False,1,438f9_00003,2025-09-30_04-21-32,125.27127313613892,125.27127313613892,4039428,cnl-brain9,155.198.99.250,125.27127313613892,1,0.12,0.35000000000000003,0.8,438f9_00003
4,5.0,2.0,46.14000000000099,0.04441954839715434,2.25,-0.049999999999998934,0.7400030188749191,1.2557489034358722,3.0,1.0,332.15999999993966,0.03245117911804174,1.5,0.15000000000000124,0.8836344503174676,1.6183157768189285,5.0,2.0,583.4999999997111,0.008538662126880148,1.75,0.05000000000000071,0.9792997330985802,0.6562599844113824,5.0,2.0,820.5899999994955,0.049709754969255115,2.25,-0.04999999999999938,1.0846724649692594,0.4354658708648894,4.0,1.0,1101.59999999924,-0.009805934397243643,2.25,-0.049999999999999156,0.42772980667104443,0.4616591683194304,6.0,1.0,1308.5399999990518,0.03192197319352552,1.5,-0.04999999999999927,0.5356926986548085,0.901938671200176,5.0,2.0,1560.5999999988226,0.018512728718723892,2.0,-0.049999999999998934,0.46595958107235713,0.5804020245414243,4.0,1.0,1808.3999999985972,0.04255114866982712,1.25,1.3500000000000014,0.42893520660864937,0.45368434434886923,1759202484,,False,1,438f9_00004,2025-09-30_04-21-24,116.98024153709412,116.98024153709412,4039631,cnl-brain9,155.198.99.250,116.98024153709412,1,0.12,0.4,0.8,438f9_00004
5,2.0,1.0,50.97000000000117,0.002786162049229546,1.0,-0.049999999999998934,0.9649934227044819,1.1070392325506067,0.0,0.0,,,0.75,0.15000000000000124,0.9649934227044819,1.1070392325506067,2.0,1.0,596.9099999996989,0.012391009101544448,1.0,0.1500000000000008,1.4524652114714,0.9891127664120418,2.0,1.0,912.329999999412,-0.01485979592512443,1.0,0.05000000000000071,2.0592086090246977,0.9141679823698631,2.0,1.0,1176.9599999991715,0.002188573673987726,1.25,0.7500000000000007,2.7256515743199787,0.9091953685629237,2.0,1.0,1348.7099999990153,0.015602944839668842,1.0,1.7500000000000007,2.7144489328088515,0.854013033747874,2.0,1.0,1600.889999998786,0.025068174083789252,1.0,2.9500000000000006,2.6566078062844474,0.8704722715348727,1.0,1.0,1871.36999999854,0.02701788283024875,1.0,-1.649999999999999,3.0114962187240093,0.8697817172253361,1759202485,,False,1,438f9_00005,2025-09-30_04-21-25,118.38364553451538,118.38364553451538,4039715,cnl-brain9,155.198.99.250,118.38364553451538,1,0.12,0.2,0.9,438f9_00005
6,2.0,2.0,49.1400000000011,0.03719160964698842,1.25,0.05000000000000071,0.5083483979547894,1.2353356181378286,1.0,1.0,443.78999999983813,0.010134783526486668,1.25,0.15000000000000124,0.7335362221777082,1.4663852662121055,1.0,1.0,579.0299999997152,-0.017596779256304096,1.0,0.5500000000000012,1.100723383881419,1.603906543169172,2.0,2.0,914.5199999994101,-0.0049662955989417945,1.25,1.1500000000000012,1.6979416693638583,1.6322284128312443,3.0,1.0,1093.5899999992473,0.02483999503048251,1.25,-0.049999999999999156,0.9074620588023465,0.6957449992463709,3.0,1.0,1369.6199999989963,0.004560405747012886,1.25,2.950000000000001,1.6414191777306013,1.5438237742371153,2.0,1.0,1650.269999998741,0.0010272496483034743,1.25,1.1500000000000004,1.7571808339909047,0.8591989553027763,1.0,1.0,2085.56999999863,-0.029921002945855424,1.0,-0.4499999999999984,1.8481726994075824,1.0109138272782814,1759202490,,False,1,438f9_00006,2025-09-30_04-21-30,123.50011014938354,123.50011014938354,4039761,cnl-brain9,155.198.99.250,123.50011014938354,1,0.12,0.25,0.9,438f9_00006
7,2.0,2.0,43.650000000000894,0.04450439697048081,1.25,-0.049999999999998934,0.5012633354774372,1.2811522318694513,1.0,1.0,331.3199999999404,-0.018358102769435725,1.0,0.050000000000001155,0.6444633116309699,1.2217505944869607,2.0,2.0,579.4199999997148,-0.015287601546738028,1.5,0.05000000000000071,1.085583075212679,0.8201084743290677,4.0,2.0,821.2799999994949,0.023370553535662086,1.25,0.5500000000000007,1.745588088555678,1.1473405411243744,3.0,1.0,1121.2799999992221,0.05049690942236129,1.25,0.8500000000000008,2.4039802755444706,0.8830540387090228,4.0,2.0,1329.209999999033,0.03253177066857649,1.5,-0.04999999999999927,0.5230223306553714,0.8899464243736903,3.0,1.0,1628.8499999987605,0.010750949358991235,1.25,1.1500000000000004,0.5156315306632782,0.8859841883481115,3.0,1.0,1849.25999999856,0.029415943819633306,1.0,2.550000000000001,0.5015730923843116,0.8852941218900554,1759202485,,False,1,438f9_00007,2025-09-30_04-21-25,118.37105965614319,118.37105965614319,4039768,cnl-brain9,155.198.99.250,118.37105965614319,1,0.12,0.30000000000000004,0.9,438f9_00007
8,3.0,1.0,49.32000000000111,0.05457704721858647,1.25,0.05000000000000071,0.7363900148587108,1.006325385885984,2.0,1.0,359.54999999991475,0.02520237864720709,1.0,0.15000000000000124,0.9087918239098891,1.4984926385140507,2.0,2.0,595.7699999997,-0.002775248773190242,1.5,0.1500000000000008,1.3066017007211985,0.8631770629377535,4.0,1.0,833.1599999994841,0.04126600304130035,1.25,0.2500000000000009,1.9053833099678488,1.0677630505696838,5.0,1.0,1076.1899999992631,-0.002921235912868969,1.5,0.05000000000000093,1.612822779624342,0.8998580750566912,3.0,2.0,1410.2699999989593,-0.00010479043382904951,1.75,1.050000000000001,1.5645883250968091,0.8741228761556753,4.0,2.0,1606.7699999987806,0.039888292367603384,1.5,-0.049999999999998934,0.6912681918104031,0.7118317099668767,3.0,1.0,1850.1299999985592,-0.02059398746456953,1.5,-2.3499999999999988,1.4782905768647892,0.9113765022464686,1759202492,,False,1,438f9_00008,2025-09-30_04-21-32,125.45466351509094,125.45466351509094,4039767,cnl-brain9,155.198.99.250,125.45466351509094,1,0.12,0.35000000000000003,0.9,438f9_00008
9,3.0,2.0,50.64000000000116,-0.004603415884795847,1.75,-0.049999999999998934,0.5353219230285484,1.3168005532015952,2.0,1.0,337.22999999993505,0.025415477416957266,1.0,0.15000000000000124,0.730676948482277,1.7373966724674041,4.0,1.0,593.7599999997018,0.00587711642401878,1.75,0.05000000000000071,1.1730441736736248,0.7684987179036095,4.0,2.0,850.1099999994686,0.043259279219086455,2.0,0.05000000000000071,1.5833655934468926,0.7458687104083844,3.0,1.0,1165.289999999182,-0.008307564306010873,1.25,0.8500000000000008,1.6371927502862937,0.823760312209671,4.0,1.0,1334.9699999990278,0.04113770204274969,1.75,1.8500000000000008,1.558114807307616,0.7877298289572281,5.0,1.0,1622.819999998766,0.04784344257473716,1.75,-0.049999999999998934,0.6274688381735851,0.6750451063921247,0.0,0.0,,,0.75,1.450000000000002,0.5943935337884669,1.4176650771337167,1759202485,,False,1,438f9_00009,2025-09-30_04-21-25,118.69021582603455,118.69021582603455,4039766,cnl-brain9,155.198.99.250,118.69021582603455,1,0.12,0.4,0.9,438f9_00009
