,metric/num_BTSP_events_(shifted_0),metric/num_BTSP_positions_(shifted_0),metric/first_BTSP_time_(shifted_0),metric/first_BTSP_relative_position_(shifted_0),metric/max_BTSP_ramp_(shifted_0),metric/PC_weight_peak_relative_position_(shifted_0),metric/PC_weight_width_(shifted_0),metric/PC_weight_ratio_pre_post_(shifted_0),metric/num_BTSP_events_(shifted_1),metric/num_BTSP_positions_(shifted_1),metric/first_BTSP_time_(shifted_1),metric/first_BTSP_relative_position_(shifted_1),metric/max_BTSP_ramp_(shifted_1),metric/PC_weight_peak_relative_position_(shifted_1),metric/PC_weight_width_(shifted_1),metric/PC_weight_ratio_pre_post_(shifted_1),metric/num_BTSP_events_(shifted_2),metric/num_BTSP_positions_(shifted_2),metric/first_BTSP_time_(shifted_2),metric/first_BTSP_relative_position_(shifted_2),metric/max_BTSP_ramp_(shifted_2),metric/PC_weight_peak_relative_position_(shifted_2),metric/PC_weight_width_(shifted_2),metric/PC_weight_ratio_pre_post_(shifted_2),metric/num_BTSP_events_(shifted_3),metric/num_BTSP_positions_(shifted_3),metric/first_BTSP_time_(shifted_3),metric/first_BTSP_relative_position_(shifted_3),metric/max_BTSP_ramp_(shifted_3),metric/PC_weight_peak_relative_position_(shifted_3),metric/PC_weight_width_(shifted_3),metric/PC_weight_ratio_pre_post_(shifted_3),metric/num_BTSP_events_(shifted_4),metric/num_BTSP_positions_(shifted_4),metric/first_BTSP_time_(shifted_4),metric/first_BTSP_relative_position_(shifted_4),metric/max_BTSP_ramp_(shifted_4),metric/PC_weight_peak_relative_position_(shifted_4),metric/PC_weight_width_(shifted_4),metric/PC_weight_ratio_pre_post_(shifted_4),metric/num_BTSP_events_(shifted_5),metric/num_BTSP_positions_(shifted_5),metric/first_BTSP_time_(shifted_5),metric/first_BTSP_relative_position_(shifted_5),metric/max_BTSP_ramp_(shifted_5),metric/PC_weight_peak_relative_position_(shifted_5),metric/PC_weight_width_(shifted_5),metric/PC_weight_ratio_pre_post_(shifted_5),metric/num_BTSP_events_(shifted_6),metric/num_BTSP_positions_(shifted_6),metric/first_BTSP_time_(shifted_6),metric/first_BTSP_relative_position_(shifted_6),metric/max_BTSP_ramp_(shifted_6),metric/PC_weight_peak_relative_position_(shifted_6),metric/PC_weight_width_(shifted_6),metric/PC_weight_ratio_pre_post_(shifted_6),metric/num_BTSP_events_(shifted_7),metric/num_BTSP_positions_(shifted_7),metric/first_BTSP_time_(shifted_7),metric/first_BTSP_relative_position_(shifted_7),metric/max_BTSP_ramp_(shifted_7),metric/PC_weight_peak_relative_position_(shifted_7),metric/PC_weight_width_(shifted_7),metric/PC_weight_ratio_pre_post_(shifted_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,2.0,1.0,55.050000000001326,0.006834061961786819,1.25,-0.049999999999998934,0.5546128133015054,1.2446255148262266,1.0,1.0,495.4199999997912,0.011155605367084043,1.0,0.15000000000000124,0.5546128133015054,1.2446255148262266,1.0,1.0,575.3399999997185,0.0012117533546551762,1.25,0.5500000000000012,0.9190146184878709,2.0074753716069385,2.0,2.0,817.4399999994984,0.010521413457061257,1.25,1.1500000000000012,0.9021162580378328,1.9959730190337575,2.0,1.0,1060.5599999992774,0.019374602543591246,1.25,1.9500000000000013,0.9337569281086648,1.9738945020758092,2.0,2.0,1299.8699999990597,0.009152653538332167,1.25,2.950000000000001,1.0111231826507754,1.9719448629975789,2.0,2.0,1564.2899999988192,-0.005691337779706096,1.25,-0.049999999999998934,0.6563248770206824,0.7254869751611728,2.0,1.0,1799.849999998605,0.020858089240937794,1.0,-0.4499999999999984,1.154236035830046,1.020000283085457,1759200342,,False,1,32438_00000,2025-09-30_03-45-42,151.27173590660095,151.27173590660095,4006598,cnl-brain9,155.198.99.250,151.27173590660095,1,0.12,0.2,0.8,32438_00000
1,2.0,1.0,53.670000000001274,0.005645605284008592,1.25,-0.049999999999998934,0.5428693284303998,1.2082152088274472,1.0,1.0,332.0999999999397,0.002397242143687528,1.0,0.15000000000000124,0.610382865865331,1.786775572468355,2.0,2.0,574.0199999997197,-0.0015308596765359894,1.5,0.45000000000000107,1.0147270873965932,1.492304868776604,2.0,2.0,815.0699999995005,0.015210781773037585,1.5,1.0500000000000012,1.5828716037620416,1.4528771825249087,3.0,1.0,1055.6099999992819,0.017873873127685957,1.25,-0.049999999999999156,0.5506263410710401,0.6211278941327875,3.0,1.0,1297.0799999990622,0.016481058245339075,1.25,-0.04999999999999927,0.5589156218328212,0.9013028036068884,2.0,2.0,1559.129999998824,0.010550662382978082,1.5,1.1500000000000004,0.5497211357527061,0.8978816645845243,3.0,1.0,1796.8199999986077,0.017570460159357815,1.25,-0.4499999999999984,1.3507120034670868,0.8590523987832104,1759200340,,False,1,32438_00001,2025-09-30_03-45-40,148.86913418769836,148.86913418769836,4006599,cnl-brain9,155.198.99.250,148.86913418769836,1,0.12,0.25,0.8,32438_00001
2,2.0,2.0,54.84000000000132,0.0005653280457464938,1.5,-0.049999999999998934,0.48506212239112667,1.2765701410369896,1.0,1.0,339.479999999933,0.005270901817801654,1.25,0.15000000000000124,0.5825633702351727,1.7814303281948096,2.0,1.0,576.6599999997173,0.0037675395760889963,1.5,0.5500000000000012,1.0232482261141032,2.245417186761075,3.0,2.0,816.689999999499,0.010996689504278123,1.75,-0.04999999999999938,1.577622698297927,0.5463309089249263,3.0,1.0,1057.2599999992804,0.01112443729856416,1.75,-0.049999999999999156,0.5332523227293728,0.6085740142741675,3.0,2.0,1295.039999999064,0.014184050252958325,1.5,-0.04999999999999927,0.49670066630196336,0.9240842798719043,3.0,2.0,1557.869999998825,0.009580676967182455,1.75,-0.049999999999998934,0.6464772581050076,0.6964145236814341,3.0,1.0,1795.409999998609,0.021695136057267916,1.5,1.3500000000000014,0.584897503330307,0.565437338462763,1759200341,,False,1,32438_00002,2025-09-30_03-45-41,149.43907737731934,149.43907737731934,4006600,cnl-brain9,155.198.99.250,149.43907737731934,1,0.12,0.30000000000000004,0.8,32438_00002
3,2.0,2.0,55.62000000000135,0.0033387156662700868,1.75,-0.049999999999998934,0.503269659565813,1.2633909226413749,3.0,1.0,338.09999999993425,-0.0037148449615291845,1.5,0.050000000000001155,0.6302348373102196,1.2632796633943495,4.0,2.0,579.6599999997146,-0.0046089008293082045,2.0,0.05000000000000071,0.9409474496072057,0.5818061307181316,6.0,2.0,818.3999999994975,0.010611174539292278,2.0,-0.04999999999999938,0.49681535459529913,0.36859432547195703,4.0,1.0,1095.6899999992454,0.027064457031791056,1.5,0.7500000000000007,0.43566407378167415,0.3496796800311519,4.0,2.0,1336.799999999026,0.021741966831690607,1.75,-0.04999999999999927,0.41720005303952923,0.8584554521811092,4.0,2.0,1598.639999998788,0.019707429482513028,1.75,-0.049999999999998934,0.47724314029663883,0.5521718333726552,4.0,1.0,1835.9699999985721,0.006272948058947847,1.75,-0.04999999999999849,0.42122202017006716,2.0001954632080645,1759200338,,False,1,32438_00003,2025-09-30_03-45-38,146.33075785636902,146.33075785636902,4006601,cnl-brain9,155.198.99.250,146.33075785636902,1,0.12,0.35000000000000003,0.8,32438_00003
4,2.0,1.0,55.47000000000134,0.000867401628728004,1.75,-0.049999999999998934,0.5669382862365522,1.2469412519425316,5.0,1.0,336.8099999999354,-0.003411754239226905,2.5,0.050000000000001155,0.5940716336361302,2.09053774679215,5.0,1.0,576.8099999997172,-0.00032714445156756256,2.25,0.05000000000000071,0.8007045741751435,0.6173487501395777,5.0,2.0,817.9799999994979,0.01974252308702118,2.25,-0.04999999999999938,1.2566753996086018,0.36451381562448426,4.0,1.0,1058.3099999992794,0.027898566117015022,2.0,-0.049999999999999156,0.4575941561059631,0.48635921511143904,5.0,2.0,1295.8499999990634,0.023072640184262805,1.75,-0.04999999999999927,0.4431782228912687,0.8615395517343906,4.0,2.0,1596.0299999987903,0.012577500945209152,2.25,-0.049999999999998934,0.43916064680140643,0.5104793285348469,4.0,1.0,1837.7099999985705,0.014579784430504894,2.0,-0.04999999999999849,0.4149564511946173,2.1406390416982597,1759200332,,False,1,32438_00004,2025-09-30_03-45-32,140.79315423965454,140.79315423965454,4006602,cnl-brain9,155.198.99.250,140.79315423965454,1,0.12,0.4,0.8,32438_00004
5,1.0,1.0,56.01000000000136,0.009393918779779575,1.0,-0.049999999999998934,0.5331783860570267,1.1413486675764144,1.0,1.0,340.19999999993234,-0.002830250274254542,1.0,0.050000000000001155,0.6276546303912736,1.1856964256298461,1.0,1.0,582.5999999997119,0.004989831616360796,1.0,0.45000000000000107,0.9680297636566357,1.4325168977224114,2.0,2.0,824.2799999994921,0.014521514326454987,1.0,-0.04999999999999938,0.631345707573332,0.683464799792031,2.0,1.0,1062.8099999992753,0.014830187345139745,1.0,-0.049999999999999156,0.6525420665865267,0.6841674440653416,2.0,2.0,1301.0999999990586,0.013930387355668428,1.0,-0.04999999999999927,0.6183879915156184,0.9386187748306827,1.0,1.0,1563.8699999988196,0.004951500024861666,1.0,1.1500000000000004,0.6116120323995503,0.9371392120593736,2.0,1.0,1802.1599999986029,0.014984919971297472,1.0,-0.04999999999999849,1.411449643510157,2.1257223847619566,1759200335,,False,1,32438_00005,2025-09-30_03-45-35,143.77398347854614,143.77398347854614,4006608,cnl-brain9,155.198.99.250,143.77398347854614,1,0.12,0.2,0.9,32438_00005
6,1.0,1.0,56.100000000001366,0.0015648240928585189,1.25,-0.049999999999998934,0.49675760471985697,1.1579596746868617,1.0,1.0,338.99999999993344,-0.007402143805082861,1.25,0.050000000000001155,0.6398453086206981,1.1740375902065143,2.0,1.0,579.1499999997151,0.001674068407752305,1.25,0.05000000000000071,0.9601859773360304,0.7839197691839592,2.0,2.0,820.019999999496,0.002775208797562101,1.25,-0.04999999999999938,1.5242886626055654,0.5725782070490701,2.0,1.0,1059.1799999992786,0.01487399950014523,1.5,1.4500000000000008,1.5742590532945746,0.7955981365371124,2.0,2.0,1297.409999999062,0.00957827090475194,1.25,-0.04999999999999927,0.5477149397508012,0.9696692530600483,1.0,1.0,1558.6199999988244,0.012126858156401354,1.0,1.1500000000000004,0.5424960426888734,0.967854594482343,2.0,1.0,1797.659999998607,0.0240080989204543,1.0,2.550000000000001,0.5388480712079462,0.9706570133013671,1759200340,,False,1,32438_00006,2025-09-30_03-45-40,149.40860986709595,149.40860986709595,4006607,cnl-brain9,155.198.99.250,149.40860986709595,1,0.12,0.25,0.9,32438_00006
7,2.0,1.0,54.3900000000013,0.005504231003425009,1.5,-0.049999999999998934,0.5317805031905549,1.1376559987447354,1.0,1.0,333.7799999999382,0.00922622474522683,1.0,0.15000000000000124,0.6106773690290761,1.8117114051186922,2.0,2.0,576.5699999997174,-0.0021574661860328526,1.5,0.05000000000000071,1.0203804045885572,0.6651766375898939,2.0,2.0,816.5399999994992,0.022065352603656052,1.5,1.1500000000000012,1.6107540873119688,2.1820089973754357,3.0,1.0,1056.539999999281,0.01767396141323374,1.25,-0.049999999999999156,0.5884521322025791,0.6358770615324917,2.0,2.0,1298.2199999990612,0.009777732335996325,1.5,0.9500000000000008,0.5415417456872575,0.537152668515253,2.0,2.0,1560.119999998823,-0.0002786084790278309,1.5,2.150000000000001,0.5402036251858449,0.5376704268890852,2.0,1.0,1797.2999999986073,0.011721874851671643,1.25,-0.4499999999999984,1.3154528444593931,1.0351460626080808,1759200334,,False,1,32438_00007,2025-09-30_03-45-34,142.30030488967896,142.30030488967896,4006606,cnl-brain9,155.198.99.250,142.30030488967896,1,0.12,0.30000000000000004,0.9,32438_00007
8,2.0,2.0,55.35000000000134,-0.005263429419233301,1.75,-0.049999999999998934,0.48078867954078364,1.2574947353957486,1.0,1.0,338.6099999999338,0.0009430422153355877,1.25,0.15000000000000124,0.5637819797294452,1.8849264111179276,2.0,2.0,579.4799999997148,-0.00013429915011986537,1.5,0.45000000000000107,0.9771933415340421,1.5308777824762405,2.0,1.0,822.179999999494,0.0066714340169595765,1.5,1.0500000000000012,1.5539854867526492,1.5090300385972464,3.0,1.0,1062.5099999992756,0.025314836840562682,1.5,-0.049999999999999156,0.578206940760273,0.6522057048466587,3.0,1.0,1301.2199999990585,0.012184265402781058,1.5,-0.04999999999999927,0.5125616993280206,0.8952611601913417,2.0,2.0,1563.35999999882,0.005086182568303954,1.75,1.1500000000000004,0.5066764496536006,0.8919827085381746,3.0,1.0,1799.5799999986052,0.01706820439204826,1.5,-0.04999999999999849,1.2870016517620404,2.7182306870517112,1759200336,,False,1,32438_00008,2025-09-30_03-45-36,144.94428539276123,144.94428539276123,4006604,cnl-brain9,155.198.99.250,144.94428539276123,1,0.12,0.35000000000000003,0.9,32438_00008
9,2.0,1.0,57.690000000001426,0.010357200934673738,1.5,-0.049999999999998934,0.5421226191544015,1.2316069546946606,1.0,1.0,337.97999999993436,0.005779627006047061,1.25,0.15000000000000124,0.6301107566172304,1.6951296605744253,2.0,2.0,579.9899999997143,-0.0037769480059486327,1.75,0.05000000000000071,1.053560118005605,0.6873457546330631,3.0,2.0,818.6399999994973,0.01637565212604475,1.75,-0.04999999999999938,1.577979485989387,0.5418141066052337,3.0,1.0,1059.2699999992785,0.015059540232122304,1.5,-0.049999999999999156,0.6436759292360468,0.6682974457638395,3.0,2.0,1300.529999999059,0.017652317530139516,1.5,-0.04999999999999927,0.5049336987757439,0.8977210838758585,2.0,2.0,1564.499999998819,0.014773463808665177,1.75,1.1500000000000004,0.5004162721203214,0.8945315283861485,2.0,1.0,1801.8299999986032,0.014580070901931919,1.25,2.550000000000001,0.49808680766356456,0.8974807515026276,1759200330,,False,1,32438_00009,2025-09-30_03-45-30,138.6025550365448,138.6025550365448,4006603,cnl-brain9,155.198.99.250,138.6025550365448,1,0.12,0.4,0.9,32438_00009
